Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/08/10 14:47:57	;
Operador: Touristcheck	;
Objetivo de estadísticas: Avda. Del Mar - Marcelino Roca	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2026/06/01 00:00:00 - 2026/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
890768	;Aumentar por77.9%	;Disminuir por26.6%	;949773	;Aumentar por79.9%	;Disminuir por26.7%	;31305	;Disminuir por21.0%	;Disminuir por16.3%	;16274	;Disminuir por18.6%	;Disminuir por10.1%	;36251	;Aumentar por49.8%	;Disminuir por19.6%	;31231	;Aumentar por76.0%	;Disminuir por19.2%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;06/01 00:00 - 01:00	;66	;Aumentar por312.5%	;Disminuir por86.4%	;38	;Aumentar por660.0%	;Disminuir por85.7%	;7	;Aumentar por133.3%	;Aumentar por75.0%	;4	;Aumentar por33.3%	;Aumentar por300.0%	;10	;Aumentar por400.0%	;Disminuir por52.4%	;1	; --%	;Disminuir por83.3%	;
2	;06/01 01:00 - 02:00	;25	;Aumentar por66.7%	;Disminuir por88.8%	;11	;Aumentar por10.0%	;Disminuir por85.9%	;6	;Aumentar por500.0%	;Sin cambios	;2	; --%	;Disminuir por33.3%	;2	;Aumentar por100.0%	;Disminuir por88.9%	;1	; --%	;Disminuir por80.0%	;
3	;06/01 02:00 - 03:00	;8	;Aumentar por300.0%	;Disminuir por91.8%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;2	; --%	;Disminuir por33.3%	;1	; --%	;Sin cambios	;0	; --%	;Disminuir por100.0%	;2	; --%	;Disminuir por33.3%	;
4	;06/01 03:00 - 04:00	;2	;Sin cambios	;Disminuir por96.0%	;4	;Disminuir por42.9%	;Disminuir por77.8%	;3	; --%	;Disminuir por50.0%	;1	;Disminuir por50.0%	;Disminuir por66.7%	;2	;Aumentar por100.0%	;Disminuir por50.0%	;0	; --%	; --%	;
5	;06/01 04:00 - 05:00	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;1	;Disminuir por75.0%	;Disminuir por75.0%	;1	;Disminuir por50.0%	;Sin cambios	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;
6	;06/01 05:00 - 06:00	;5	; --%	; --%	;5	; --%	;Disminuir por44.4%	;2	; --%	;Sin cambios	;3	; --%	;Aumentar por200.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;
7	;06/01 06:00 - 07:00	;8	;Aumentar por300.0%	;Disminuir por27.3%	;5	;Aumentar por150.0%	;Disminuir por61.5%	;6	;Aumentar por200.0%	; --%	;5	; --%	; --%	;2	; --%	;Aumentar por100.0%	;3	; --%	; --%	;
8	;06/01 07:00 - 08:00	;34	;Aumentar por466.7%	;Aumentar por25.9%	;38	;Aumentar por533.3%	;Aumentar por22.6%	;19	;Aumentar por850.0%	;Aumentar por280.0%	;7	;Aumentar por75.0%	;Aumentar por75.0%	;6	; --%	;Aumentar por50.0%	;1	; --%	;Sin cambios	;
9	;06/01 08:00 - 09:00	;74	;Aumentar por362.5%	;Disminuir por51.0%	;46	;Aumentar por283.3%	;Disminuir por37.0%	;40	;Aumentar por233.3%	;Aumentar por344.4%	;11	;Aumentar por450.0%	;Aumentar por175.0%	;9	;Aumentar por200.0%	;Aumentar por80.0%	;3	;Sin cambios	;Aumentar por50.0%	;
10	;06/01 09:00 - 10:00	;103	;Aumentar por194.3%	;Disminuir por42.8%	;151	;Aumentar por243.2%	;Sin cambios	;32	;Aumentar por166.7%	;Aumentar por88.2%	;12	;Disminuir por7.7%	;Aumentar por50.0%	;17	;Aumentar por112.5%	;Aumentar por6.3%	;8	;Aumentar por166.7%	;Disminuir por27.3%	;
