Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/08/10 14:49:44	;
Operador: Touristcheck	;
Objetivo de estadísticas: Ayuntamiento	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2026/06/01 00:00:00 - 2026/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
130991	;Aumentar por11.4%	;Disminuir por16.0%	;165487	;Aumentar por22.0%	;Disminuir por14.7%	;2218	;Disminuir por6.3%	;Disminuir por28.9%	;14605	;Disminuir por20.9%	;Disminuir por10.4%	;1859	;Aumentar por16.4%	;Disminuir por12.0%	;12897	;Aumentar por63.3%	;Disminuir por5.9%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;06/01 00:00 - 01:00	;8	;Aumentar por60.0%	;Disminuir por83.7%	;7	; --%	;Disminuir por94.1%	;0	; --%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;4	; --%	;Disminuir por75.0%	;
2	;06/01 01:00 - 02:00	;2	;Disminuir por71.4%	;Disminuir por88.2%	;1	; --%	;Disminuir por97.7%	;0	; --%	; --%	;1	; --%	;Disminuir por66.7%	;0	; --%	; --%	;1	; --%	;Disminuir por90.0%	;
3	;06/01 02:00 - 03:00	;3	; --%	;Sin cambios	;2	; --%	;Disminuir por81.8%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
4	;06/01 03:00 - 04:00	;14	;Aumentar por1300.0%	;Aumentar por1300.0%	;10	; --%	;Aumentar por900.0%	;0	; --%	; --%	;3	; --%	;Aumentar por200.0%	;0	; --%	; --%	;0	; --%	; --%	;
5	;06/01 04:00 - 05:00	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;
6	;06/01 05:00 - 06:00	;1	;Sin cambios	;Sin cambios	;1	; --%	;Sin cambios	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
7	;06/01 06:00 - 07:00	;6	; --%	;Aumentar por500.0%	;8	; --%	;Aumentar por300.0%	;1	; --%	; --%	;2	; --%	; --%	;0	; --%	; --%	;2	; --%	;Aumentar por100.0%	;
8	;06/01 07:00 - 08:00	;10	;Aumentar por233.3%	;Aumentar por42.9%	;16	; --%	;Aumentar por433.3%	;0	; --%	; --%	;3	;Aumentar por50.0%	;Aumentar por50.0%	;1	; --%	;Disminuir por50.0%	;6	; --%	;Aumentar por20.0%	;
9	;06/01 08:00 - 09:00	;8	;Aumentar por166.7%	;Disminuir por57.9%	;44	;Aumentar por633.3%	;Aumentar por76.0%	;3	; --%	;Aumentar por50.0%	;31	;Aumentar por1450.0%	;Aumentar por287.5%	;1	; --%	; --%	;8	; --%	;Aumentar por166.7%	;
10	;06/01 09:00 - 10:00	;41	;Aumentar por925.0%	;Aumentar por7.9%	;34	;Aumentar por385.7%	;Disminuir por35.8%	;7	; --%	; --%	;25	;Aumentar por1150.0%	;Aumentar por316.7%	;1	;Sin cambios	; --%	;11	; --%	;Aumentar por57.1%	;
11	;06/01 10:00 - 11:00	;69	;Disminuir por16.9%	;Disminuir por43.0%	;52	;Aumentar por13.0%	;Disminuir por48.0%	;2	;Sin cambios	;Sin cambios	;31	;Aumentar por181.8%	;Aumentar por82.4%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;6	;Aumentar por500.0%	;Disminuir por25.0%	;
12	;06/01 11:00 - 12:00	;79	;Disminuir por6.0%	;Disminuir por57.3%	;79	;Disminuir por41.0%	;Disminuir por50.0%	;10	; --%	; --%	;24	;Aumentar por2300.0%	;Aumentar por166.7%	;0	; --%	;Disminuir por100.0%	;11	; --%	;Disminuir por15.4%	;
13	;06/01 12:00 - 13:00	;79	;Disminuir por31.9%	;Disminuir por33.1%	;74	;Disminuir por43.1%	;Disminuir por59.6%	;2	; --%	;Disminuir por33.3%	;17	;Aumentar por750.0%	;Aumentar por142.9%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;7	;Aumentar por600.0%	;Disminuir por46.2%	;
14	;06/01 13:00 - 14:00	;51	;Disminuir por15.0%	;Disminuir por44.6%	;48	;Disminuir por56.8%	;Disminuir por72.1%	;1	;Sin cambios	; --%	;13	;Aumentar por225.0%	;Aumentar por225.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;4	;Aumentar por300.0%	;Disminuir por60.0%	;
15	;06/01 14:00 - 15:00	;36	;Aumentar por20.0%	;Disminuir por37.9%	;40	;Aumentar por21.2%	;Disminuir por48.7%	;3	; --%	; --%	;16	;Aumentar por300.0%	;Aumentar por433.3%	;1	; --%	; --%	;6	; --%	;Disminuir por40.0%	;
16	;06/01 15:00 - 16:00	;48	;Aumentar por100.0%	;Disminuir por51.5%	;64	;Aumentar por77.8%	;Disminuir por55.6%	;1	; --%	; --%	;12	;Aumentar por500.0%	;Aumentar por300.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;9	;Aumentar por800.0%	;Aumentar por125.0%	;
17	;06/01 16:00 - 17:00	;28	;Aumentar por21.7%	;Disminuir por66.3%	;31	;Disminuir por8.8%	;Disminuir por70.2%	;3	; --%	; --%	;11	;Aumentar por1000.0%	;Aumentar por120.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;8	; --%	;Disminuir por20.0%	;
18	;06/01 17:00 - 18:00	;66	;Aumentar por144.4%	;Aumentar por6.5%	;55	;Aumentar por34.1%	;Disminuir por40.9%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;10	;Aumentar por66.7%	;Aumentar por66.7%	;0	; --%	; --%	;6	; --%	;Disminuir por14.3%	;
19	;06/01 18:00 - 19:00	;136	;Aumentar por2166.7%	;Aumentar por10.6%	;81	;Aumentar por211.5%	;Disminuir por53.2%	;4	; --%	;Aumentar por33.3%	;16	;Aumentar por1500.0%	;Aumentar por77.8%	;4	; --%	;Aumentar por300.0%	;4	; --%	;Disminuir por73.3%	;
20	;06/01 19:00 - 20:00	;49	;Aumentar por716.7%	;Disminuir por72.2%	;54	;Aumentar por1700.0%	;Disminuir por66.0%	;2	;Sin cambios	; --%	;11	;Aumentar por83.3%	;Aumentar por120.0%	;0	; --%	; --%	;7	; --%	;Aumentar por16.7%	;
