Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/08/11 10:04:29	;
Operador: Touristcheck	;
Objetivo de estadísticas: C Mayor - Baluarte Del Principe	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2026/06/01 00:00:00 - 2026/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
331870	;Aumentar por39.9%	;Disminuir por38.7%	;247340	;Aumentar por41.5%	;Disminuir por35.7%	;17423	;Disminuir por34.7%	;Disminuir por13.5%	;3945	;Disminuir por56.2%	;Aumentar por13.8%	;10821	;Aumentar por61.1%	;Disminuir por17.3%	;2776	;Aumentar por97.0%	;Aumentar por29.4%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;06/01 00:00 - 01:00	;10	;Sin cambios	;Disminuir por89.6%	;9	;Disminuir por35.7%	;Disminuir por87.5%	;1	;Disminuir por66.7%	;Disminuir por66.7%	;0	; --%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;
2	;06/01 01:00 - 02:00	;1	;Disminuir por80.0%	;Disminuir por90.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;2	;Aumentar por100.0%	;Aumentar por100.0%	;0	; --%	; --%	;
3	;06/01 02:00 - 03:00	;0	;Disminuir por100.0%	;Disminuir por100.0%	;1	;Sin cambios	;Disminuir por50.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;
4	;06/01 03:00 - 04:00	;0	; --%	;Disminuir por100.0%	;0	;Disminuir por100.0%	; --%	;1	; --%	;Sin cambios	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;0	; --%	; --%	;
5	;06/01 04:00 - 05:00	;1	; --%	; --%	;1	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
6	;06/01 05:00 - 06:00	;0	;Disminuir por100.0%	; --%	;1	; --%	;Sin cambios	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
7	;06/01 06:00 - 07:00	;7	;Aumentar por600.0%	;Aumentar por133.3%	;2	; --%	;Disminuir por33.3%	;19	; --%	; --%	;13	; --%	; --%	;2	; --%	;Aumentar por100.0%	;1	; --%	; --%	;
8	;06/01 07:00 - 08:00	;7	;Sin cambios	;Disminuir por30.0%	;10	;Aumentar por900.0%	;Aumentar por150.0%	;18	;Aumentar por800.0%	;Aumentar por200.0%	;8	; --%	; --%	;4	;Aumentar por100.0%	;Aumentar por100.0%	;0	; --%	; --%	;
9	;06/01 08:00 - 09:00	;12	;Aumentar por20.0%	;Disminuir por58.6%	;15	;Aumentar por66.7%	;Disminuir por31.8%	;33	;Aumentar por312.5%	;Aumentar por560.0%	;9	; --%	; --%	;3	;Aumentar por50.0%	;Sin cambios	;1	; --%	; --%	;
10	;06/01 09:00 - 10:00	;18	;Disminuir por28.0%	;Disminuir por57.1%	;14	;Disminuir por6.7%	;Disminuir por44.0%	;23	;Aumentar por109.1%	;Aumentar por283.3%	;3	; --%	; --%	;7	;Aumentar por133.3%	;Aumentar por16.7%	;0	; --%	; --%	;
11	;06/01 10:00 - 11:00	;111	;Disminuir por42.8%	;Disminuir por59.0%	;58	;Disminuir por1.7%	;Disminuir por46.8%	;33	;Aumentar por10.0%	;Aumentar por106.3%	;1	;Disminuir por66.7%	; --%	;9	;Aumentar por50.0%	;Disminuir por35.7%	;0	;Disminuir por100.0%	; --%	;
12	;06/01 11:00 - 12:00	;211	;Disminuir por37.8%	;Disminuir por52.2%	;99	;Disminuir por32.7%	;Disminuir por46.8%	;18	;Aumentar por80.0%	;Aumentar por80.0%	;0	; --%	; --%	;11	;Aumentar por120.0%	;Disminuir por21.4%	;1	; --%	;Sin cambios	;
13	;06/01 12:00 - 13:00	;125	;Disminuir por67.4%	;Disminuir por72.6%	;186	;Disminuir por16.6%	;Disminuir por39.6%	;9	;Aumentar por12.5%	;Aumentar por200.0%	;1	; --%	; --%	;8	;Aumentar por100.0%	;Disminuir por27.3%	;1	;Disminuir por75.0%	;Sin cambios	;
14	;06/01 13:00 - 14:00	;77	;Disminuir por67.8%	;Disminuir por72.5%	;103	;Disminuir por50.7%	;Disminuir por57.8%	;16	;Aumentar por100.0%	;Aumentar por433.3%	;0	; --%	; --%	;4	;Disminuir por20.0%	;Aumentar por33.3%	;2	;Disminuir por66.7%	;Aumentar por100.0%	;
15	;06/01 14:00 - 15:00	;81	;Disminuir por57.4%	;Disminuir por46.4%	;89	;Disminuir por47.3%	;Disminuir por51.1%	;15	;Aumentar por275.0%	;Aumentar por150.0%	;2	; --%	;Sin cambios	;5	;Aumentar por25.0%	;Disminuir por16.7%	;0	;Disminuir por100.0%	; --%	;
16	;06/01 15:00 - 16:00	;67	;Disminuir por57.3%	;Disminuir por68.1%	;41	;Disminuir por69.9%	;Disminuir por77.0%	;13	;Disminuir por27.8%	;Aumentar por550.0%	;4	;Disminuir por42.9%	; --%	;6	;Aumentar por500.0%	;Aumentar por200.0%	;1	;Disminuir por50.0%	;Disminuir por50.0%	;
17	;06/01 16:00 - 17:00	;76	;Disminuir por52.5%	;Disminuir por61.4%	;39	;Disminuir por82.1%	;Disminuir por78.0%	;9	;Disminuir por40.0%	;Aumentar por28.6%	;1	;Sin cambios	; --%	;3	;Aumentar por200.0%	;Disminuir por66.7%	;2	;Disminuir por60.0%	;Sin cambios	;
18	;06/01 17:00 - 18:00	;139	;Aumentar por0.7%	;Disminuir por57.6%	;74	;Disminuir por38.3%	;Disminuir por60.0%	;12	;Aumentar por9.1%	;Aumentar por500.0%	;1	;Sin cambios	; --%	;11	;Aumentar por266.7%	;Aumentar por266.7%	;0	; --%	;Disminuir por100.0%	;
19	;06/01 18:00 - 19:00	;173	;Aumentar por108.4%	;Disminuir por46.8%	;120	;Aumentar por100.0%	;Disminuir por32.6%	;14	;Aumentar por55.6%	;Aumentar por100.0%	;0	; --%	; --%	;8	;Aumentar por166.7%	;Disminuir por42.9%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;
20	;06/01 19:00 - 20:00	;200	;Aumentar por669.2%	;Disminuir por48.5%	;162	;Aumentar por1250.0%	;Disminuir por44.7%	;8	;Disminuir por11.1%	;Aumentar por60.0%	;0	; --%	; --%	;9	;Aumentar por125.0%	;Aumentar por28.6%	;0	;Disminuir por100.0%	; --%	;
21	;06/01 20:00 - 21:00	;206	;Aumentar por1616.7%	;Disminuir por21.7%	;150	;Aumentar por837.5%	;Disminuir por34.8%	;9	;Aumentar por800.0%	;Aumentar por350.0%	;0	; --%	; --%	;15	; --%	;Aumentar por275.0%	;0	; --%	; --%	;
22	;06/01 21:00 - 22:00	;131	;Aumentar por835.7%	;Disminuir por8.4%	;143	;Aumentar por1000.0%	;Aumentar por8.3%	;6	;Aumentar por200.0%	;Aumentar por100.0%	;0	; --%	; --%	;1	;Sin cambios	;Disminuir por75.0%	;1	; --%	; --%	;
23	;06/01 22:00 - 23:00	;49	;Aumentar por880.0%	;Disminuir por19.7%	;67	;Aumentar por1575.0%	;Disminuir por13.0%	;4	;Aumentar por100.0%	;Aumentar por300.0%	;1	; --%	; --%	;1	;Sin cambios	;Disminuir por50.0%	;2	; --%	; --%	;
24	;06/01 23:00 - 24:00	;25	;Aumentar por177.8%	;Aumentar por8.7%	;30	;Aumentar por400.0%	;Aumentar por42.9%	;4	;Aumentar por100.0%	;Aumentar por100.0%	;0	;Disminuir por100.0%	; --%	;1	; --%	;Disminuir por50.0%	;0	; --%	;Disminuir por100.0%	;
25	;06/02 00:00 - 01:00	;3	;Disminuir por50.0%	;Disminuir por78.6%	;2	;Disminuir por66.7%	;Disminuir por60.0%	;3	; --%	;Disminuir por25.0%	;0	; --%	;Disminuir por100.0%	;1	; --%	;Sin cambios	;0	;Disminuir por100.0%	;Disminuir por100.0%	;
26	;06/02 01:00 - 02:00	;1	;Disminuir por66.7%	;Disminuir por75.0%	;2	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
27	;06/02 02:00 - 03:00	;5	;Aumentar por400.0%	;Aumentar por150.0%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
