Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/08/11 10:06:17	;
Operador: Touristcheck	;
Objetivo de estadísticas: C Saiz De Carlos	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2026/06/01 00:00:00 - 2026/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
448783	;Aumentar por148.7%	;Disminuir por14.0%	;274829	;Aumentar por251.6%	;Disminuir por13.1%	;757	;Aumentar por169.4%	;Disminuir por52.1%	;3317	;Disminuir por8.1%	;Disminuir por26.9%	;8592	;Aumentar por253.6%	;Aumentar por10.8%	;13714	;Aumentar por188.8%	;Aumentar por16.2%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;06/01 00:00 - 01:00	;8	;Aumentar por166.7%	;Disminuir por96.6%	;8	;Aumentar por300.0%	;Disminuir por96.3%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;1	; --%	;Disminuir por83.3%	;
2	;06/01 01:00 - 02:00	;1	; --%	;Disminuir por96.6%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;1	; --%	; --%	;
3	;06/01 02:00 - 03:00	;2	;Disminuir por66.7%	;Disminuir por83.3%	;2	; --%	;Disminuir por81.8%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;
4	;06/01 03:00 - 04:00	;2	;Sin cambios	;Disminuir por88.9%	;1	; --%	;Disminuir por94.4%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;0	; --%	; --%	;1	; --%	;Sin cambios	;
5	;06/01 04:00 - 05:00	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;
6	;06/01 05:00 - 06:00	;0	; --%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;
7	;06/01 06:00 - 07:00	;1	; --%	;Sin cambios	;0	;Disminuir por100.0%	; --%	;0	; --%	; --%	;1	;Disminuir por50.0%	; --%	;3	; --%	; --%	;0	; --%	; --%	;
8	;06/01 07:00 - 08:00	;10	;Aumentar por233.3%	;Aumentar por400.0%	;10	; --%	;Aumentar por66.7%	;1	; --%	;Sin cambios	;4	; --%	;Aumentar por100.0%	;0	; --%	; --%	;0	; --%	; --%	;
9	;06/01 08:00 - 09:00	;12	;Aumentar por200.0%	;Disminuir por14.3%	;9	;Aumentar por200.0%	;Aumentar por12.5%	;0	; --%	; --%	;6	;Aumentar por500.0%	;Aumentar por500.0%	;0	; --%	; --%	;1	;Sin cambios	; --%	;
10	;06/01 09:00 - 10:00	;21	;Aumentar por90.9%	;Disminuir por54.3%	;11	;Aumentar por175.0%	;Sin cambios	;0	; --%	;Disminuir por100.0%	;2	;Disminuir por50.0%	;Aumentar por100.0%	;0	; --%	;Disminuir por100.0%	;3	;Aumentar por200.0%	;Sin cambios	;
11	;06/01 10:00 - 11:00	;55	;Disminuir por52.6%	;Disminuir por58.3%	;14	;Disminuir por6.7%	;Disminuir por66.7%	;0	; --%	;Disminuir por100.0%	;7	;Aumentar por133.3%	;Aumentar por75.0%	;0	;Disminuir por100.0%	; --%	;2	; --%	;Disminuir por50.0%	;
12	;06/01 11:00 - 12:00	;78	;Disminuir por49.7%	;Disminuir por55.4%	;35	;Aumentar por34.6%	;Disminuir por55.7%	;1	; --%	; --%	;8	;Aumentar por700.0%	;Aumentar por700.0%	;0	; --%	;Disminuir por100.0%	;4	;Aumentar por300.0%	;Aumentar por33.3%	;
13	;06/01 12:00 - 13:00	;69	;Disminuir por66.8%	;Disminuir por71.7%	;25	;Disminuir por46.8%	;Disminuir por63.8%	;0	; --%	; --%	;2	;Aumentar por100.0%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;5	;Sin cambios	;Disminuir por37.5%	;
14	;06/01 13:00 - 14:00	;52	;Disminuir por51.9%	;Disminuir por64.4%	;10	;Disminuir por52.4%	;Disminuir por89.5%	;1	; --%	; --%	;4	;Aumentar por300.0%	;Aumentar por300.0%	;1	;Disminuir por66.7%	;Sin cambios	;1	;Disminuir por50.0%	;Disminuir por66.7%	;
15	;06/01 14:00 - 15:00	;50	;Disminuir por26.5%	;Disminuir por53.7%	;20	;Disminuir por28.6%	;Disminuir por66.7%	;0	; --%	; --%	;1	;Sin cambios	; --%	;2	;Sin cambios	;Aumentar por100.0%	;4	;Aumentar por100.0%	; --%	;
16	;06/01 15:00 - 16:00	;34	;Disminuir por52.1%	;Disminuir por76.6%	;32	;Aumentar por52.4%	;Disminuir por39.6%	;0	; --%	; --%	;3	; --%	;Aumentar por200.0%	;1	;Disminuir por50.0%	; --%	;4	;Aumentar por300.0%	; --%	;
17	;06/01 16:00 - 17:00	;27	;Disminuir por55.7%	;Disminuir por81.4%	;29	;Disminuir por27.5%	;Disminuir por50.8%	;0	; --%	; --%	;4	;Aumentar por300.0%	;Aumentar por100.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;4	;Aumentar por100.0%	;Sin cambios	;
18	;06/01 17:00 - 18:00	;44	;Disminuir por36.2%	;Disminuir por68.8%	;11	;Disminuir por60.7%	;Disminuir por72.5%	;0	; --%	; --%	;3	; --%	;Aumentar por200.0%	;1	;Disminuir por66.7%	; --%	;4	;Aumentar por300.0%	;Aumentar por33.3%	;
19	;06/01 18:00 - 19:00	;106	;Aumentar por10.4%	;Disminuir por53.3%	;64	;Aumentar por120.7%	;Aumentar por10.3%	;0	; --%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;1	;Disminuir por50.0%	;Disminuir por80.0%	;4	;Sin cambios	;Aumentar por300.0%	;
20	;06/01 19:00 - 20:00	;154	;Aumentar por541.7%	;Disminuir por50.0%	;42	;Aumentar por366.7%	;Disminuir por53.8%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;1	;Sin cambios	;Disminuir por83.3%	;2	;Aumentar por100.0%	;Disminuir por33.3%	;
21	;06/01 20:00 - 21:00	;156	;Aumentar por1633.3%	;Disminuir por40.9%	;58	;Aumentar por866.7%	;Disminuir por12.1%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;1	; --%	; --%	;0	; --%	; --%	;
22	;06/01 21:00 - 22:00	;90	;Aumentar por718.2%	;Disminuir por26.8%	;26	;Aumentar por550.0%	;Disminuir por39.5%	;0	; --%	; --%	;0	; --%	; --%	;1	; --%	; --%	;5	;Aumentar por150.0%	;Aumentar por150.0%	;
23	;06/01 22:00 - 23:00	;60	;Aumentar por900.0%	;Aumentar por27.7%	;20	;Aumentar por400.0%	;Disminuir por59.2%	;1	; --%	; --%	;1	; --%	; --%	;1	;Disminuir por50.0%	; --%	;1	; --%	;Sin cambios	;
24	;06/01 23:00 - 24:00	;25	;Aumentar por525.0%	;Disminuir por19.4%	;4	; --%	;Disminuir por78.9%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;0	; --%	; --%	;1	; --%	; --%	;
25	;06/02 00:00 - 01:00	;10	;Aumentar por900.0%	;Disminuir por16.7%	;14	; --%	;Aumentar por27.3%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;1	; --%	;Sin cambios	;
26	;06/02 01:00 - 02:00	;1	; --%	;Disminuir por75.0%	;5	; --%	;Aumentar por66.7%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
27	;06/02 02:00 - 03:00	;2	;Disminuir por33.3%	;Disminuir por50.0%	;2	; --%	;Sin cambios	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;
28	;06/02 03:00 - 04:00	;0	; --%	;Disminuir por100.0%	;2	; --%	;Disminuir por60.0%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
29	;06/02 04:00 - 05:00	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
30	;06/02 05:00 - 06:00	;1	; --%	;Sin cambios	;2	;Sin cambios	;Disminuir por50.0%	;2	; --%	;Disminuir por96.3%	;5	;Aumentar por400.0%	;Disminuir por90.9%	;0	; --%	; --%	;0	; --%	; --%	;
31	;06/02 06:00 - 07:00	;3	;Aumentar por50.0%	;Aumentar por50.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;1	;Disminuir por66.7%	;Disminuir por50.0%	;0	; --%	;Disminuir por100.0%	;1	;Sin cambios	; --%	;
32	;06/02 07:00 - 08:00	;6	; --%	;Aumentar por500.0%	;1	;Disminuir por66.7%	;Disminuir por50.0%	;0	; --%	; --%	;1	;Disminuir por50.0%	;Sin cambios	;0	; --%	; --%	;0	; --%	; --%	;
33	;06/02 08:00 - 09:00	;23	;Aumentar por27.8%	;Aumentar por64.3%	;12	;Disminuir por14.3%	;Aumentar por140.0%	;0	; --%	;Disminuir por100.0%	;4	;Disminuir por33.3%	;Disminuir por42.9%	;0	; --%	; --%	;2	;Sin cambios	;Aumentar por100.0%	;
