Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:28:37	;
Operador: Touristcheck	;
Objetivo de estadísticas: Avda. Akra Leuca	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
267099	;Disminuir por55.7%	;Aumentar por20.7%	;367783	;Disminuir por44.1%	;Aumentar por56.5%	;370180	;Disminuir por40.9%	;Aumentar por57.8%	;357071	;Disminuir por46.2%	;Aumentar por43.8%	;49081	;Disminuir por61.3%	;Aumentar por2.4%	;50913	;Disminuir por63.5%	;Aumentar por1.6%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;586	;Disminuir por90.6%	; --%	;719	;Disminuir por88.9%	; --%	;1690	;Disminuir por57.7%	; --%	;1964	;Disminuir por52.1%	; --%	;285	;Disminuir por60.1%	; --%	;319	;Disminuir por58.2%	; --%	;
2	;(Martes)2025/12/02	;606	;Disminuir por89.5%	; --%	;643	;Disminuir por89.9%	; --%	;1615	;Disminuir por59.4%	; --%	;1793	;Disminuir por57.8%	; --%	;249	;Disminuir por65.1%	; --%	;270	;Disminuir por62.1%	; --%	;
3	;(Miércoles)2025/12/03	;526	;Disminuir por82.3%	; --%	;618	;Disminuir por83.0%	; --%	;2961	;Disminuir por15.0%	; --%	;3164	;Disminuir por15.0%	; --%	;220	;Disminuir por66.6%	; --%	;226	;Disminuir por68.4%	; --%	;
4	;(Jueves)2025/12/04	;587	;Disminuir por69.3%	; --%	;583	;Disminuir por66.6%	; --%	;1747	;Disminuir por22.7%	; --%	;1896	;Disminuir por22.4%	; --%	;222	;Disminuir por31.5%	; --%	;216	;Disminuir por38.1%	; --%	;
5	;(Viernes)2025/12/05	;1080	;Disminuir por48.5%	; --%	;1190	;Disminuir por45.3%	; --%	;2132	;Disminuir por8.4%	; --%	;2344	;Disminuir por8.1%	; --%	;256	;Disminuir por49.6%	; --%	;275	;Disminuir por43.3%	; --%	;
6	;(Sábado)2025/12/06	;3521	;Aumentar por92.4%	; --%	;4501	;Aumentar por124.9%	; --%	;3693	;Aumentar por39.3%	; --%	;3903	;Aumentar por39.0%	; --%	;355	;Disminuir por32.1%	; --%	;401	;Disminuir por22.9%	; --%	;
7	;(Domingo)2025/12/07	;3856	;Aumentar por87.6%	; --%	;5424	;Aumentar por163.9%	; --%	;3446	;Aumentar por27.9%	; --%	;3705	;Aumentar por31.7%	; --%	;366	;Disminuir por29.8%	; --%	;423	;Disminuir por20.5%	; --%	;
8	;(Lunes)2025/12/08	;2086	;Disminuir por26.2%	; --%	;2414	;Disminuir por16.9%	; --%	;2753	;Disminuir por3.4%	; --%	;3047	;Aumentar por0.3%	; --%	;322	;Disminuir por41.6%	; --%	;377	;Disminuir por37.1%	; --%	;
9	;(Martes)2025/12/09	;703	;Disminuir por72.7%	; --%	;734	;Disminuir por75.1%	; --%	;1546	;Disminuir por38.0%	; --%	;1792	;Disminuir por36.5%	; --%	;215	;Disminuir por48.2%	; --%	;243	;Disminuir por48.2%	; --%	;
10	;(Miércoles)2025/12/10	;496	;Disminuir por42.3%	; --%	;537	;Disminuir por4.6%	; --%	;1400	;Aumentar por53.7%	; --%	;1620	;Aumentar por122.8%	; --%	;240	;Disminuir por17.2%	; --%	;240	;Aumentar por35.6%	; --%	;
11	;(Jueves)2025/12/11	;534	;Disminuir por22.7%	; --%	;569	;Disminuir por26.3%	; --%	;1439	;Aumentar por31.2%	; --%	;1681	;Aumentar por19.1%	; --%	;200	;Disminuir por19.4%	; --%	;247	;Disminuir por15.4%	; --%	;
12	;(Viernes)2025/12/12	;690	;Disminuir por39.0%	; --%	;736	;Disminuir por36.1%	; --%	;1831	;Disminuir por15.2%	; --%	;2153	;Disminuir por4.9%	; --%	;233	;Disminuir por41.0%	; --%	;271	;Disminuir por32.9%	; --%	;
13	;(Sábado)2025/12/13	;1261	;Disminuir por45.5%	; --%	;1305	;Disminuir por62.6%	; --%	;2378	;Disminuir por31.8%	; --%	;2648	;Disminuir por26.4%	; --%	;195	;Disminuir por60.5%	; --%	;226	;Disminuir por59.3%	; --%	;
14	;(Domingo)2025/12/14	;338	;Disminuir por90.7%	; --%	;364	;Disminuir por91.1%	; --%	;1217	;Disminuir por65.0%	; --%	;1645	;Disminuir por55.9%	; --%	;45	;Disminuir por86.6%	; --%	;65	;Disminuir por81.2%	; --%	;
15	;(Lunes)2025/12/15	;238	;Disminuir por93.4%	; --%	;280	;Disminuir por93.5%	; --%	;1261	;Disminuir por62.6%	; --%	;1539	;Disminuir por54.3%	; --%	;45	;Disminuir por93.6%	; --%	;55	;Disminuir por91.4%	; --%	;
16	;(Martes)2025/12/16	;320	;Disminuir por84.8%	; --%	;339	;Disminuir por85.9%	; --%	;1277	;Disminuir por44.5%	; --%	;1497	;Disminuir por43.1%	; --%	;81	;Disminuir por82.3%	; --%	;87	;Disminuir por81.3%	; --%	;
17	;(Miércoles)2025/12/17	;153	;Disminuir por87.7%	; --%	;193	;Disminuir por84.7%	; --%	;1142	;Disminuir por41.8%	; --%	;1448	;Disminuir por29.2%	; --%	;18	;Disminuir por96.1%	; --%	;30	;Disminuir por93.8%	; --%	;
18	;(Jueves)2025/12/18	;455	;Disminuir por62.3%	; --%	;602	;Disminuir por47.6%	; --%	;1433	;Disminuir por22.2%	; --%	;1687	;Disminuir por17.2%	; --%	;177	;Disminuir por55.4%	; --%	;222	;Disminuir por43.5%	; --%	;
