Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2025/12/02 18:29:21	;
Operador: Touristcheck	;
Objetivo de estadísticas: Avda. Del Mar - Marcelino Roca	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/08/01 00:00:00 - 2025/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
525278	;Aumentar por25.7%	; --%	;565722	;Aumentar por26.4%	; --%	;11823	;Disminuir por9.9%	; --%	;5917	;Disminuir por6.9%	; --%	;17153	;Aumentar por17.9%	; --%	;15352	;Aumentar por24.6%	; --%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Viernes)2025/08/01	;15247	;Aumentar por84.3%	; --%	;16505	;Aumentar por93.2%	; --%	;491	;Aumentar por7.7%	; --%	;242	;Aumentar por6.6%	; --%	;567	;Aumentar por24.6%	; --%	;483	;Aumentar por47.3%	; --%	;
2	;(Sábado)2025/08/02	;17934	;Aumentar por74.8%	; --%	;19369	;Aumentar por81.1%	; --%	;321	;Disminuir por36.9%	; --%	;154	;Disminuir por33.3%	; --%	;620	;Aumentar por23.0%	; --%	;552	;Aumentar por8.0%	; --%	;
3	;(Domingo)2025/08/03	;18432	;Aumentar por80.4%	; --%	;20157	;Aumentar por86.3%	; --%	;253	;Disminuir por42.9%	; --%	;150	;Disminuir por21.1%	; --%	;594	;Aumentar por25.6%	; --%	;439	;Aumentar por0.9%	; --%	;
4	;(Lunes)2025/08/04	;20087	;Aumentar por71.2%	; --%	;21823	;Aumentar por71.0%	; --%	;471	;Disminuir por3.1%	; --%	;256	;Aumentar por9.4%	; --%	;518	;Aumentar por4.4%	; --%	;434	;Aumentar por9.6%	; --%	;
5	;(Martes)2025/08/05	;16196	;Aumentar por18.7%	; --%	;17771	;Aumentar por11.3%	; --%	;427	;Aumentar por36.4%	; --%	;203	;Aumentar por42.0%	; --%	;482	;Aumentar por23.9%	; --%	;368	;Aumentar por6.4%	; --%	;
6	;(Miércoles)2025/08/06	;16915	;Aumentar por20.0%	; --%	;18539	;Aumentar por30.0%	; --%	;423	;Aumentar por46.4%	; --%	;211	;Aumentar por42.6%	; --%	;538	;Aumentar por8.5%	; --%	;483	;Aumentar por9.3%	; --%	;
7	;(Jueves)2025/08/07	;17291	;Aumentar por59.8%	; --%	;19043	;Aumentar por69.8%	; --%	;384	;Disminuir por22.1%	; --%	;181	;Disminuir por26.4%	; --%	;564	;Aumentar por11.7%	; --%	;494	;Aumentar por6.5%	; --%	;
8	;(Viernes)2025/08/08	;16824	;Aumentar por23.4%	; --%	;18056	;Aumentar por23.2%	; --%	;420	;Disminuir por34.4%	; --%	;187	;Disminuir por52.7%	; --%	;539	;Disminuir por3.8%	; --%	;505	;Aumentar por7.0%	; --%	;
9	;(Sábado)2025/08/09	;16892	;Aumentar por38.0%	; --%	;18628	;Aumentar por43.0%	; --%	;298	;Disminuir por43.5%	; --%	;146	;Disminuir por45.1%	; --%	;606	;Aumentar por154.6%	; --%	;541	;Aumentar por139.4%	; --%	;
10	;(Domingo)2025/08/10	;17930	;Aumentar por61.3%	; --%	;18589	;Aumentar por52.9%	; --%	;271	;Disminuir por41.8%	; --%	;138	;Disminuir por34.0%	; --%	;620	;Aumentar por38.7%	; --%	;654	;Aumentar por86.3%	; --%	;
11	;(Lunes)2025/08/11	;16156	;Aumentar por36.3%	; --%	;17182	;Aumentar por36.0%	; --%	;429	;Disminuir por17.7%	; --%	;228	;Disminuir por3.0%	; --%	;542	;Aumentar por44.9%	; --%	;468	;Aumentar por27.9%	; --%	;
12	;(Martes)2025/08/12	;15627	;Aumentar por24.9%	; --%	;17071	;Aumentar por17.0%	; --%	;484	;Aumentar por34.1%	; --%	;232	;Aumentar por24.7%	; --%	;592	;Aumentar por154.1%	; --%	;523	;Aumentar por228.9%	; --%	;
13	;(Miércoles)2025/08/13	;17076	;Aumentar por22.3%	; --%	;18776	;Aumentar por30.9%	; --%	;426	;Aumentar por54.3%	; --%	;208	;Aumentar por57.6%	; --%	;593	;Aumentar por54.8%	; --%	;518	;Aumentar por55.6%	; --%	;
14	;(Jueves)2025/08/14	;16860	;Aumentar por47.8%	; --%	;17847	;Aumentar por50.7%	; --%	;446	;Disminuir por0.9%	; --%	;224	;Disminuir por1.3%	; --%	;627	;Aumentar por48.6%	; --%	;626	;Aumentar por92.0%	; --%	;
15	;(Viernes)2025/08/15	;18875	;Aumentar por70.9%	; --%	;20500	;Aumentar por63.2%	; --%	;372	;Disminuir por6.3%	; --%	;191	;Aumentar por4.9%	; --%	;547	;Aumentar por37.1%	; --%	;455	;Aumentar por69.8%	; --%	;
16	;(Sábado)2025/08/16	;18737	;Aumentar por46.0%	; --%	;20111	;Aumentar por47.5%	; --%	;314	;Disminuir por30.8%	; --%	;164	;Disminuir por19.6%	; --%	;509	;Aumentar por2.6%	; --%	;391	;Aumentar por10.1%	; --%	;
17	;(Domingo)2025/08/17	;17635	;Aumentar por37.8%	; --%	;18193	;Aumentar por29.7%	; --%	;259	;Disminuir por43.0%	; --%	;133	;Disminuir por38.7%	; --%	;590	;Aumentar por12.6%	; --%	;491	;Aumentar por22.4%	; --%	;
18	;(Lunes)2025/08/18	;15165	;Aumentar por11.6%	; --%	;16544	;Aumentar por13.1%	; --%	;465	;Disminuir por5.5%	; --%	;257	;Aumentar por15.2%	; --%	;504	;Disminuir por0.8%	; --%	;432	;Disminuir por4.0%	; --%	;
19	;(Martes)2025/08/19	;17941	;Aumentar por10.4%	; --%	;19925	;Aumentar por12.7%	; --%	;425	;Aumentar por40.7%	; --%	;196	;Aumentar por29.8%	; --%	;483	;Disminuir por10.1%	; --%	;474	;Disminuir por1.7%	; --%	;
20	;(Miércoles)2025/08/20	;18774	;Aumentar por20.2%	; --%	;20623	;Aumentar por33.9%	; --%	;366	;Aumentar por31.2%	; --%	;164	;Aumentar por10.1%	; --%	;587	;Aumentar por10.3%	; --%	;514	;Aumentar por4.3%	; --%	;
21	;(Jueves)2025/08/21	;17970	;Aumentar por23.6%	; --%	;19253	;Aumentar por24.0%	; --%	;401	;Disminuir por13.2%	; --%	;183	;Disminuir por23.1%	; --%	;604	;Aumentar por13.1%	; --%	;554	;Aumentar por36.1%	; --%	;
22	;(Viernes)2025/08/22	;17095	;Aumentar por33.2%	; --%	;18215	;Aumentar por35.1%	; --%	;409	;Disminuir por1.7%	; --%	;198	;Aumentar por4.2%	; --%	;477	;Disminuir por21.8%	; --%	;432	;Disminuir por22.6%	; --%	;
23	;(Sábado)2025/08/23	;18758	;Aumentar por21.8%	; --%	;19815	;Aumentar por22.9%	; --%	;487	;Aumentar por11.7%	; --%	;337	;Aumentar por71.9%	; --%	;503	;Aumentar por39.3%	; --%	;511	;Aumentar por81.2%	; --%	;
24	;(Domingo)2025/08/24	;16033	;Disminuir por11.7%	; --%	;17510	;Disminuir por12.4%	; --%	;255	;Disminuir por43.1%	; --%	;138	;Disminuir por31.3%	; --%	;487	;Aumentar por17.6%	; --%	;474	;Aumentar por8.0%	; --%	;
25	;(Lunes)2025/08/25	;15021	;Aumentar por6.9%	; --%	;16453	;Disminuir por0.8%	; --%	;428	;Disminuir por11.2%	; --%	;207	;Disminuir por12.7%	; --%	;540	;Aumentar por18.4%	; --%	;484	;Aumentar por25.1%	; --%	;
26	;(Martes)2025/08/26	;14855	;Disminuir por16.5%	; --%	;15594	;Disminuir por20.5%	; --%	;412	;Aumentar por30.4%	; --%	;206	;Aumentar por31.2%	; --%	;473	;Disminuir por23.0%	; --%	;458	;Disminuir por15.7%	; --%	;
27	;(Miércoles)2025/08/27	;17032	;Aumentar por3.2%	; --%	;17920	;Aumentar por7.5%	; --%	;369	;Aumentar por53.8%	; --%	;162	;Aumentar por57.3%	; --%	;544	;Aumentar por19.0%	; --%	;449	;Aumentar por18.8%	; --%	;
28	;(Jueves)2025/08/28	;15009	;Disminuir por2.7%	; --%	;16828	;Aumentar por5.8%	; --%	;377	;Disminuir por8.0%	; --%	;174	;Disminuir por18.3%	; --%	;457	;Disminuir por24.6%	; --%	;414	;Disminuir por14.3%	; --%	;
29	;(Viernes)2025/08/29	;15289	;Disminuir por4.1%	; --%	;16305	;Disminuir por0.8%	; --%	;413	;Disminuir por2.1%	; --%	;200	;Aumentar por0.5%	; --%	;564	;Aumentar por0.2%	; --%	;553	;Aumentar por34.5%	; --%	;
30	;(Sábado)2025/08/30	;16658	;Aumentar por10.5%	; --%	;17853	;Aumentar por8.8%	; --%	;270	;Disminuir por32.2%	; --%	;119	;Disminuir por39.9%	; --%	;662	;Aumentar por40.0%	; --%	;633	;Aumentar por51.4%	; --%	;
31	;(Domingo)2025/08/31	;14964	;Aumentar por4.7%	; --%	;14724	;Disminuir por3.7%	; --%	;257	;Disminuir por46.7%	; --%	;128	;Disminuir por44.6%	; --%	;620	;Aumentar por25.5%	; --%	;545	;Aumentar por31.6%	; --%	;

Exportar contenido:Subtipos de vehículos a motor	;
Hora del informe: 2025/08/01 00:00:00 - 2025/08/31 23:59:59	;

N.º	;Hora	;Autobuses	; 	; 	; 	; 	; 	;Monovolúmenes	; 	; 	; 	; 	; 	;Sedanes pequeños	; 	; 	; 	; 	; 	;Camiones	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Viernes)2025/08/01	;4	;Aumentar por100.0%	; --%	;5	; --%	; --%	;133	;Aumentar por5.6%	; --%	;51	;Aumentar por18.6%	; --%	;262	;Disminuir por6.8%	; --%	;146	;Disminuir por7.6%	; --%	;37	;Aumentar por15.6%	; --%	;35	;Aumentar por40.0%	; --%	;
2	;(Sábado)2025/08/02	;2	;Disminuir por60.0%	; --%	;2	;Aumentar por100.0%	; --%	;60	;Disminuir por53.8%	; --%	;17	;Disminuir por63.8%	; --%	;182	;Disminuir por33.1%	; --%	;111	;Disminuir por5.9%	; --%	;20	;Disminuir por73.0%	; --%	;13	;Disminuir por79.0%	; --%	;
3	;(Domingo)2025/08/03	;1	;Disminuir por50.0%	; --%	;2	; --%	; --%	;41	;Disminuir por69.6%	; --%	;17	;Disminuir por51.4%	; --%	;153	;Disminuir por42.0%	; --%	;115	;Disminuir por17.9%	; --%	;4	;Disminuir por78.9%	; --%	;7	;Disminuir por50.0%	; --%	;
4	;(Lunes)2025/08/04	;3	;Aumentar por200.0%	; --%	;0	; --%	; --%	;112	;Disminuir por23.8%	; --%	;55	;Aumentar por14.6%	; --%	;249	;Disminuir por3.5%	; --%	;175	;Aumentar por25.9%	; --%	;28	;Disminuir por42.9%	; --%	;16	;Disminuir por61.9%	; --%	;
5	;(Martes)2025/08/05	;5	;Aumentar por400.0%	; --%	;2	; --%	; --%	;113	;Aumentar por98.2%	; --%	;49	;Aumentar por276.9%	; --%	;222	;Aumentar por19.4%	; --%	;119	;Aumentar por5.3%	; --%	;29	;Aumentar por93.3%	; --%	;24	;Aumentar por84.6%	; --%	;
6	;(Miércoles)2025/08/06	;1	;Sin cambios	; --%	;0	; --%	; --%	;95	;Aumentar por126.2%	; --%	;44	;Aumentar por193.3%	; --%	;238	;Aumentar por18.4%	; --%	;130	;Aumentar por2.4%	; --%	;24	;Aumentar por1100.0%	; --%	;26	;Aumentar por550.0%	; --%	;
7	;(Jueves)2025/08/07	;2	;Disminuir por33.3%	; --%	;2	;Disminuir por33.3%	; --%	;99	;Disminuir por32.7%	; --%	;45	;Sin cambios	; --%	;219	;Disminuir por24.5%	; --%	;111	;Disminuir por38.7%	; --%	;23	;Aumentar por15.0%	; --%	;18	;Aumentar por28.6%	; --%	;
8	;(Viernes)2025/08/08	;5	;Aumentar por66.7%	; --%	;1	;Disminuir por50.0%	; --%	;131	;Aumentar por36.5%	; --%	;48	;Aumentar por65.5%	; --%	;207	;Disminuir por52.6%	; --%	;104	;Disminuir por68.4%	; --%	;33	;Aumentar por22.2%	; --%	;27	;Disminuir por3.6%	; --%	;
9	;(Sábado)2025/08/09	;4	;Aumentar por100.0%	; --%	;2	;Aumentar por100.0%	; --%	;43	;Disminuir por66.7%	; --%	;15	;Disminuir por76.9%	; --%	;174	;Disminuir por47.7%	; --%	;117	;Disminuir por35.7%	; --%	;13	;Disminuir por23.5%	; --%	;9	;Disminuir por25.0%	; --%	;
10	;(Domingo)2025/08/10	;2	;Sin cambios	; --%	;2	;Aumentar por100.0%	; --%	;29	;Disminuir por77.7%	; --%	;6	;Disminuir por81.3%	; --%	;163	;Disminuir por41.4%	; --%	;108	;Disminuir por30.8%	; --%	;6	;Disminuir por72.7%	; --%	;4	;Disminuir por75.0%	; --%	;
11	;(Lunes)2025/08/11	;6	;Aumentar por20.0%	; --%	;1	;Disminuir por50.0%	; --%	;103	;Disminuir por24.8%	; --%	;32	;Disminuir por20.0%	; --%	;232	;Disminuir por20.5%	; --%	;172	;Aumentar por8.9%	; --%	;18	;Disminuir por43.8%	; --%	;14	;Disminuir por56.3%	; --%	;
12	;(Martes)2025/08/12	;6	;Aumentar por500.0%	; --%	;5	;Aumentar por150.0%	; --%	;136	;Aumentar por76.6%	; --%	;54	;Aumentar por260.0%	; --%	;267	;Aumentar por6.4%	; --%	;140	;Disminuir por11.4%	; --%	;32	;Aumentar por220.0%	; --%	;29	;Aumentar por222.2%	; --%	;
13	;(Miércoles)2025/08/13	;4	;Aumentar por300.0%	; --%	;4	;Aumentar por300.0%	; --%	;98	;Aumentar por206.3%	; --%	;37	;Aumentar por362.5%	; --%	;209	;Aumentar por6.1%	; --%	;129	;Aumentar por9.3%	; --%	;35	;Aumentar por400.0%	; --%	;32	;Aumentar por966.7%	; --%	;
14	;(Jueves)2025/08/14	;5	;Aumentar por25.0%	; --%	;0	;Disminuir por100.0%	; --%	;129	;Disminuir por0.8%	; --%	;46	;Aumentar por9.5%	; --%	;229	;Disminuir por13.3%	; --%	;139	;Disminuir por13.7%	; --%	;31	;Aumentar por47.6%	; --%	;26	;Aumentar por18.2%	; --%	;
15	;(Viernes)2025/08/15	;2	;Disminuir por66.7%	; --%	;2	;Disminuir por50.0%	; --%	;78	;Disminuir por27.8%	; --%	;27	;Disminuir por34.1%	; --%	;174	;Disminuir por27.8%	; --%	;128	;Aumentar por11.3%	; --%	;17	;Disminuir por22.7%	; --%	;18	;Disminuir por5.3%	; --%	;
16	;(Sábado)2025/08/16	;2	;Sin cambios	; --%	;0	;Disminuir por100.0%	; --%	;52	;Disminuir por59.1%	; --%	;28	;Disminuir por12.5%	; --%	;168	;Disminuir por38.9%	; --%	;118	;Disminuir por16.9%	; --%	;15	;Disminuir por55.9%	; --%	;13	;Disminuir por51.9%	; --%	;
17	;(Domingo)2025/08/17	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;34	;Disminuir por76.4%	; --%	;10	;Disminuir por81.5%	; --%	;142	;Disminuir por44.7%	; --%	;112	;Disminuir por21.1%	; --%	;6	;Disminuir por68.4%	; --%	;4	;Disminuir por76.5%	; --%	;
18	;(Lunes)2025/08/18	;7	;Aumentar por75.0%	; --%	;3	;Aumentar por50.0%	; --%	;107	;Disminuir por23.0%	; --%	;44	;Disminuir por2.2%	; --%	;244	;Disminuir por13.2%	; --%	;182	;Aumentar por23.8%	; --%	;19	;Disminuir por32.1%	; --%	;15	;Disminuir por34.8%	; --%	;
19	;(Martes)2025/08/19	;4	;Aumentar por100.0%	; --%	;1	;Disminuir por50.0%	; --%	;87	;Aumentar por74.0%	; --%	;37	;Aumentar por146.7%	; --%	;198	;Aumentar por22.2%	; --%	;120	;Aumentar por2.6%	; --%	;17	;Aumentar por88.9%	; --%	;22	;Aumentar por175.0%	; --%	;
20	;(Miércoles)2025/08/20	;2	;Sin cambios	; --%	;0	;Disminuir por100.0%	; --%	;78	;Aumentar por66.0%	; --%	;24	;Aumentar por140.0%	; --%	;145	;Disminuir por21.6%	; --%	;99	;Disminuir por22.7%	; --%	;19	;Aumentar por533.3%	; --%	;16	;Aumentar por700.0%	; --%	;
21	;(Jueves)2025/08/21	;0	;Disminuir por100.0%	; --%	;2	;Disminuir por33.3%	; --%	;87	;Disminuir por24.3%	; --%	;30	;Disminuir por38.8%	; --%	;186	;Disminuir por24.7%	; --%	;126	;Disminuir por19.2%	; --%	;20	;Disminuir por33.3%	; --%	;18	;Disminuir por21.7%	; --%	;
22	;(Viernes)2025/08/22	;2	;Sin cambios	; --%	;0	;Disminuir por100.0%	; --%	;125	;Aumentar por17.9%	; --%	;48	;Aumentar por29.7%	; --%	;180	;Disminuir por25.3%	; --%	;114	;Disminuir por11.6%	; --%	;28	;Aumentar por7.7%	; --%	;28	;Aumentar por47.4%	; --%	;
23	;(Sábado)2025/08/23	;1	;Sin cambios	; --%	;0	; --%	; --%	;39	;Disminuir por65.2%	; --%	;16	;Disminuir por56.8%	; --%	;128	;Disminuir por39.0%	; --%	;73	;Disminuir por42.5%	; --%	;239	;Aumentar por696.7%	; --%	;236	;Aumentar por807.7%	; --%	;
24	;(Domingo)2025/08/24	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;33	;Disminuir por69.4%	; --%	;6	;Disminuir por86.4%	; --%	;153	;Disminuir por24.6%	; --%	;116	;Disminuir por10.1%	; --%	;8	;Disminuir por27.3%	; --%	;5	;Disminuir por37.5%	; --%	;
25	;(Lunes)2025/08/25	;0	;Disminuir por100.0%	; --%	;1	;Disminuir por75.0%	; --%	;114	;Disminuir por19.1%	; --%	;36	;Disminuir por32.1%	; --%	;210	;Disminuir por15.0%	; --%	;142	;Aumentar por11.8%	; --%	;14	;Disminuir por65.0%	; --%	;11	;Disminuir por75.0%	; --%	;
26	;(Martes)2025/08/26	;6	;Aumentar por500.0%	; --%	;2	;Aumentar por100.0%	; --%	;99	;Aumentar por130.2%	; --%	;49	;Aumentar por122.7%	; --%	;228	;Aumentar por16.9%	; --%	;121	;Aumentar por4.3%	; --%	;33	;Aumentar por175.0%	; --%	;33	;Aumentar por200.0%	; --%	;
27	;(Miércoles)2025/08/27	;2	; --%	; --%	;0	; --%	; --%	;79	;Aumentar por139.4%	; --%	;29	;Aumentar por625.0%	; --%	;138	;Disminuir por4.8%	; --%	;92	;Aumentar por8.2%	; --%	;22	;Aumentar por633.3%	; --%	;17	;Aumentar por325.0%	; --%	;
28	;(Jueves)2025/08/28	;2	;Disminuir por33.3%	; --%	;0	;Disminuir por100.0%	; --%	;87	;Disminuir por9.4%	; --%	;25	;Disminuir por40.5%	; --%	;195	;Disminuir por12.2%	; --%	;119	;Disminuir por19.0%	; --%	;17	;Disminuir por10.5%	; --%	;16	;Sin cambios	; --%	;
29	;(Viernes)2025/08/29	;12	;Aumentar por200.0%	; --%	;13	;Aumentar por550.0%	; --%	;112	;Disminuir por5.1%	; --%	;46	;Aumentar por12.2%	; --%	;195	;Disminuir por21.7%	; --%	;105	;Disminuir por16.7%	; --%	;31	;Aumentar por19.2%	; --%	;29	;Aumentar por20.8%	; --%	;
30	;(Sábado)2025/08/30	;3	;Aumentar por200.0%	; --%	;2	; --%	; --%	;56	;Disminuir por47.7%	; --%	;18	;Disminuir por47.1%	; --%	;158	;Disminuir por29.1%	; --%	;85	;Disminuir por38.8%	; --%	;16	;Disminuir por36.0%	; --%	;10	;Disminuir por47.4%	; --%	;
31	;(Domingo)2025/08/31	;1	;Disminuir por80.0%	; --%	;1	;Sin cambios	; --%	;34	;Disminuir por75.4%	; --%	;5	;Disminuir por92.4%	; --%	;159	;Disminuir por41.5%	; --%	;112	;Disminuir por15.2%	; --%	;6	;Disminuir por83.8%	; --%	;4	;Disminuir por85.7%	; --%	;
