Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:36:31	;
Operador: Touristcheck	;
Objetivo de estadísticas: Avda. Del Mar - Marcelino Roca	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1199328	;Disminuir por42.4%	;Aumentar por60.4%	;1259794	;Disminuir por42.4%	;Aumentar por61.0%	;90309	;Aumentar por1.1%	;Aumentar por141.1%	;44054	;Aumentar por1.5%	;Aumentar por142.9%	;56452	;Disminuir por35.4%	;Aumentar por60.9%	;44473	;Disminuir por38.7%	;Aumentar por58.6%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;1600	;Disminuir por92.6%	; --%	;1543	;Disminuir por93.5%	; --%	;340	;Aumentar por43.5%	; --%	;135	;Disminuir por4.9%	; --%	;149	;Disminuir por66.0%	; --%	;103	;Disminuir por74.3%	; --%	;
2	;(Martes)2025/12/02	;1448	;Disminuir por92.6%	; --%	;1305	;Disminuir por93.9%	; --%	;364	;Aumentar por52.9%	; --%	;139	;Disminuir por5.4%	; --%	;176	;Disminuir por60.7%	; --%	;110	;Disminuir por71.5%	; --%	;
3	;(Miércoles)2025/12/03	;1637	;Disminuir por88.6%	; --%	;1539	;Disminuir por89.6%	; --%	;428	;Aumentar por53.4%	; --%	;173	;Aumentar por18.5%	; --%	;141	;Disminuir por73.0%	; --%	;97	;Disminuir por76.1%	; --%	;
4	;(Jueves)2025/12/04	;1871	;Disminuir por61.9%	; --%	;1888	;Disminuir por63.3%	; --%	;439	;Disminuir por22.6%	; --%	;180	;Disminuir por36.2%	; --%	;156	;Disminuir por32.8%	; --%	;116	;Disminuir por33.3%	; --%	;
5	;(Viernes)2025/12/05	;5323	;Disminuir por33.2%	; --%	;5575	;Disminuir por30.3%	; --%	;389	;Disminuir por18.4%	; --%	;176	;Disminuir por22.5%	; --%	;249	;Disminuir por38.2%	; --%	;224	;Disminuir por14.8%	; --%	;
6	;(Sábado)2025/12/06	;18616	;Aumentar por199.1%	; --%	;21491	;Aumentar por243.9%	; --%	;192	;Disminuir por61.8%	; --%	;83	;Disminuir por67.1%	; --%	;386	;Disminuir por2.5%	; --%	;381	;Aumentar por50.0%	; --%	;
7	;(Domingo)2025/12/07	;22265	;Aumentar por223.5%	; --%	;25506	;Aumentar por262.5%	; --%	;114	;Disminuir por77.1%	; --%	;59	;Disminuir por73.4%	; --%	;319	;Disminuir por29.0%	; --%	;339	;Aumentar por11.1%	; --%	;
8	;(Lunes)2025/12/08	;11581	;Aumentar por22.0%	; --%	;10719	;Aumentar por9.8%	; --%	;189	;Disminuir por53.1%	; --%	;88	;Disminuir por55.6%	; --%	;312	;Disminuir por12.4%	; --%	;254	;Disminuir por9.9%	; --%	;
9	;(Martes)2025/12/09	;1836	;Disminuir por81.4%	; --%	;1694	;Disminuir por82.6%	; --%	;370	;Aumentar por51.6%	; --%	;147	;Aumentar por18.5%	; --%	;177	;Disminuir por52.0%	; --%	;103	;Disminuir por70.6%	; --%	;
