Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:39:31	;
Operador: Touristcheck	;
Objetivo de estadísticas: Avda. Espana - Pza. Constitucion	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
178528	;Disminuir por75.0%	;Disminuir por21.6%	;162713	;Disminuir por74.9%	;Disminuir por22.8%	;255219	;Disminuir por14.3%	;Aumentar por163.1%	;1621	;Disminuir por95.8%	;Disminuir por95.6%	;33850	;Disminuir por60.9%	;Aumentar por19.7%	;6182	;Disminuir por75.1%	;Disminuir por52.2%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;676	;Disminuir por86.2%	; --%	;569	;Disminuir por89.6%	; --%	;1282	;Aumentar por2072.9%	; --%	;3	;Disminuir por99.8%	; --%	;178	;Aumentar por42.4%	; --%	;37	;Disminuir por92.5%	; --%	;
2	;(Martes)2025/12/02	;643	;Disminuir por84.2%	; --%	;535	;Disminuir por88.1%	; --%	;1297	;Aumentar por11690.9%	; --%	;17	;Disminuir por98.9%	; --%	;189	;Aumentar por215.0%	; --%	;24	;Disminuir por93.8%	; --%	;
3	;(Miércoles)2025/12/03	;646	;Disminuir por73.8%	; --%	;510	;Disminuir por80.7%	; --%	;1411	;Aumentar por35175.0%	; --%	;6	;Disminuir por99.6%	; --%	;152	;Aumentar por141.3%	; --%	;22	;Disminuir por94.8%	; --%	;
4	;(Jueves)2025/12/04	;786	;Disminuir por39.1%	; --%	;617	;Disminuir por58.6%	; --%	;1366	;Aumentar por19414.3%	; --%	;3	;Disminuir por99.8%	; --%	;200	;Aumentar por354.5%	; --%	;27	;Disminuir por90.8%	; --%	;
5	;(Viernes)2025/12/05	;1333	;Disminuir por1.4%	; --%	;1153	;Disminuir por30.6%	; --%	;1477	;Aumentar por29440.0%	; --%	;9	;Disminuir por99.4%	; --%	;241	;Aumentar por382.0%	; --%	;58	;Disminuir por84.7%	; --%	;
6	;(Sábado)2025/12/06	;3900	;Aumentar por223.1%	; --%	;3228	;Aumentar por94.1%	; --%	;1680	;Aumentar por23900.0%	; --%	;17	;Disminuir por99.0%	; --%	;292	;Aumentar por508.3%	; --%	;56	;Disminuir por85.9%	; --%	;
7	;(Domingo)2025/12/07	;4892	;Aumentar por257.9%	; --%	;4227	;Aumentar por170.8%	; --%	;1930	;Aumentar por32066.7%	; --%	;13	;Disminuir por99.1%	; --%	;260	;Aumentar por348.3%	; --%	;57	;Disminuir por84.5%	; --%	;
8	;(Lunes)2025/12/08	;1766	;Disminuir por3.4%	; --%	;1701	;Disminuir por8.8%	; --%	;1241	;Aumentar por9446.2%	; --%	;11	;Disminuir por99.2%	; --%	;255	;Aumentar por355.4%	; --%	;60	;Disminuir por83.9%	; --%	;
9	;(Martes)2025/12/09	;651	;Disminuir por63.1%	; --%	;574	;Disminuir por71.2%	; --%	;1133	;Aumentar por22560.0%	; --%	;7	;Disminuir por99.3%	; --%	;178	;Aumentar por278.7%	; --%	;38	;Disminuir por87.3%	; --%	;
