Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:42:08	;
Operador: Touristcheck	;
Objetivo de estadísticas: Avda. Papa Luna - C. Navarra	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
91078	;Disminuir por42.7%	;Aumentar por51.0%	;103086	;Disminuir por40.5%	;Aumentar por56.4%	;392083	;Disminuir por23.1%	;Aumentar por82.7%	;416797	;Disminuir por18.5%	;Aumentar por97.1%	;64516	;Disminuir por27.6%	;Aumentar por76.2%	;83586	;Disminuir por28.6%	;Aumentar por81.8%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;104	;Disminuir por94.5%	; --%	;164	;Disminuir por92.3%	; --%	;1123	;Disminuir por67.5%	; --%	;1185	;Disminuir por66.7%	; --%	;157	;Disminuir por78.4%	; --%	;192	;Disminuir por78.4%	; --%	;
2	;(Martes)2025/12/02	;117	;Disminuir por92.7%	; --%	;204	;Disminuir por91.9%	; --%	;1032	;Disminuir por63.0%	; --%	;1078	;Disminuir por66.3%	; --%	;123	;Disminuir por81.5%	; --%	;188	;Disminuir por78.1%	; --%	;
3	;(Miércoles)2025/12/03	;126	;Disminuir por87.2%	; --%	;298	;Disminuir por78.9%	; --%	;1175	;Disminuir por52.0%	; --%	;1300	;Disminuir por53.7%	; --%	;87	;Disminuir por86.1%	; --%	;141	;Disminuir por82.0%	; --%	;
4	;(Jueves)2025/12/04	;92	;Disminuir por86.6%	; --%	;151	;Disminuir por74.0%	; --%	;1189	;Disminuir por43.2%	; --%	;1218	;Disminuir por41.9%	; --%	;122	;Disminuir por50.2%	; --%	;159	;Disminuir por56.4%	; --%	;
5	;(Viernes)2025/12/05	;165	;Disminuir por77.1%	; --%	;262	;Disminuir por79.8%	; --%	;1394	;Disminuir por32.2%	; --%	;1332	;Disminuir por37.9%	; --%	;134	;Disminuir por71.2%	; --%	;197	;Disminuir por67.8%	; --%	;
6	;(Sábado)2025/12/06	;305	;Disminuir por54.2%	; --%	;381	;Disminuir por70.0%	; --%	;1822	;Disminuir por37.3%	; --%	;2108	;Disminuir por29.0%	; --%	;267	;Disminuir por42.1%	; --%	;376	;Disminuir por36.9%	; --%	;
7	;(Domingo)2025/12/07	;359	;Disminuir por44.1%	; --%	;461	;Disminuir por45.8%	; --%	;2013	;Disminuir por7.4%	; --%	;2414	;Aumentar por17.6%	; --%	;298	;Disminuir por25.9%	; --%	;424	;Disminuir por18.1%	; --%	;
8	;(Lunes)2025/12/08	;234	;Disminuir por65.3%	; --%	;370	;Disminuir por68.5%	; --%	;1262	;Disminuir por43.5%	; --%	;1663	;Disminuir por23.2%	; --%	;239	;Disminuir por35.8%	; --%	;339	;Disminuir por36.8%	; --%	;
9	;(Martes)2025/12/09	;129	;Disminuir por74.8%	; --%	;153	;Disminuir por85.2%	; --%	;1278	;Disminuir por24.4%	; --%	;1343	;Disminuir por30.8%	; --%	;128	;Disminuir por65.8%	; --%	;171	;Disminuir por70.3%	; --%	;
10	;(Miércoles)2025/12/10	;104	;Disminuir por52.7%	; --%	;232	;Disminuir por22.1%	; --%	;1088	;Aumentar por23.2%	; --%	;1084	;Aumentar por34.0%	; --%	;144	;Disminuir por17.7%	; --%	;183	;Disminuir por1.6%	; --%	;
11	;(Jueves)2025/12/11	;123	;Disminuir por60.6%	; --%	;172	;Disminuir por63.8%	; --%	;1161	;Aumentar por15.6%	; --%	;1199	;Aumentar por1.8%	; --%	;115	;Disminuir por45.5%	; --%	;170	;Disminuir por45.5%	; --%	;
12	;(Viernes)2025/12/12	;118	;Disminuir por73.2%	; --%	;171	;Disminuir por65.3%	; --%	;1130	;Disminuir por56.1%	; --%	;1250	;Disminuir por50.9%	; --%	;120	;Disminuir por57.9%	; --%	;178	;Disminuir por52.8%	; --%	;
13	;(Sábado)2025/12/13	;126	;Disminuir por84.6%	; --%	;132	;Disminuir por84.2%	; --%	;1163	;Disminuir por56.9%	; --%	;1343	;Disminuir por46.2%	; --%	;124	;Disminuir por69.8%	; --%	;171	;Disminuir por67.6%	; --%	;
14	;(Domingo)2025/12/14	;66	;Disminuir por89.5%	; --%	;67	;Disminuir por87.9%	; --%	;617	;Disminuir por78.2%	; --%	;712	;Disminuir por74.8%	; --%	;26	;Disminuir por89.3%	; --%	;35	;Disminuir por88.2%	; --%	;
15	;(Lunes)2025/12/15	;47	;Disminuir por94.0%	; --%	;82	;Disminuir por87.4%	; --%	;915	;Disminuir por64.8%	; --%	;982	;Disminuir por61.9%	; --%	;29	;Disminuir por94.0%	; --%	;29	;Disminuir por95.2%	; --%	;
16	;(Martes)2025/12/16	;60	;Disminuir por89.4%	; --%	;147	;Disminuir por67.4%	; --%	;968	;Disminuir por52.8%	; --%	;994	;Disminuir por58.8%	; --%	;52	;Disminuir por86.9%	; --%	;50	;Disminuir por90.2%	; --%	;
17	;(Miércoles)2025/12/17	;25	;Disminuir por94.0%	; --%	;32	;Disminuir por92.2%	; --%	;959	;Disminuir por47.6%	; --%	;969	;Disminuir por49.6%	; --%	;14	;Disminuir por95.4%	; --%	;20	;Disminuir por94.4%	; --%	;
18	;(Jueves)2025/12/18	;125	;Disminuir por72.2%	; --%	;236	;Disminuir por59.5%	; --%	;1113	;Disminuir por42.7%	; --%	;1177	;Disminuir por41.3%	; --%	;132	;Disminuir por51.6%	; --%	;148	;Disminuir por60.2%	; --%	;
19	;(Viernes)2025/12/19	;113	;Disminuir por71.7%	; --%	;153	;Disminuir por61.3%	; --%	;1158	;Disminuir por39.1%	; --%	;1211	;Disminuir por36.6%	; --%	;124	;Disminuir por59.6%	; --%	;158	;Disminuir por64.3%	; --%	;
20	;(Sábado)2025/12/20	;122	;Disminuir por58.4%	; --%	;131	;Disminuir por54.2%	; --%	;1060	;Disminuir por46.3%	; --%	;1142	;Disminuir por40.8%	; --%	;90	;Disminuir por44.1%	; --%	;204	;Disminuir por13.6%	; --%	;
21	;(Domingo)2025/12/21	;123	;Disminuir por73.1%	; --%	;135	;Disminuir por71.2%	; --%	;971	;Disminuir por48.8%	; --%	;1089	;Disminuir por37.6%	; --%	;126	;Disminuir por63.0%	; --%	;186	;Disminuir por57.5%	; --%	;
22	;(Lunes)2025/12/22	;136	;Disminuir por67.2%	; --%	;286	;Disminuir por14.1%	; --%	;1177	;Disminuir por44.6%	; --%	;1316	;Disminuir por22.3%	; --%	;130	;Disminuir por55.0%	; --%	;152	;Disminuir por55.2%	; --%	;
23	;(Martes)2025/12/23	;93	;Disminuir por79.3%	; --%	;167	;Disminuir por62.8%	; --%	;1010	;Disminuir por44.3%	; --%	;1062	;Disminuir por41.2%	; --%	;93	;Disminuir por73.6%	; --%	;157	;Disminuir por65.5%	; --%	;
24	;(Miércoles)2025/12/24	;134	;Disminuir por64.1%	; --%	;215	;Disminuir por54.4%	; --%	;894	;Disminuir por51.8%	; --%	;913	;Disminuir por50.0%	; --%	;108	;Disminuir por70.7%	; --%	;169	;Disminuir por61.9%	; --%	;
25	;(Jueves)2025/12/25	;25	;Disminuir por93.3%	; --%	;45	;Disminuir por88.3%	; --%	;891	;Disminuir por47.8%	; --%	;954	;Disminuir por43.9%	; --%	;19	;Disminuir por93.9%	; --%	;23	;Disminuir por94.6%	; --%	;
26	;(Viernes)2025/12/26	;65	;Disminuir por85.3%	; --%	;87	;Disminuir por81.7%	; --%	;1007	;Disminuir por42.1%	; --%	;1031	;Disminuir por40.1%	; --%	;30	;Disminuir por90.4%	; --%	;40	;Disminuir por90.4%	; --%	;
27	;(Sábado)2025/12/27	;45	;Disminuir por91.2%	; --%	;76	;Disminuir por87.5%	; --%	;897	;Disminuir por53.8%	; --%	;930	;Disminuir por51.0%	; --%	;13	;Disminuir por96.9%	; --%	;6	;Disminuir por98.9%	; --%	;
28	;(Domingo)2025/12/28	;85	;Disminuir por84.4%	; --%	;129	;Disminuir por83.5%	; --%	;1024	;Disminuir por54.0%	; --%	;1069	;Disminuir por49.1%	; --%	;45	;Disminuir por88.9%	; --%	;53	;Disminuir por90.2%	; --%	;
29	;(Lunes)2025/12/29	;119	;Disminuir por76.2%	; --%	;218	;Disminuir por58.9%	; --%	;1161	;Disminuir por48.3%	; --%	;1155	;Disminuir por46.2%	; --%	;73	;Disminuir por82.5%	; --%	;76	;Disminuir por85.4%	; --%	;
30	;(Martes)2025/12/30	;146	;Disminuir por71.5%	; --%	;223	;Disminuir por61.7%	; --%	;1300	;Disminuir por33.3%	; --%	;1451	;Disminuir por35.7%	; --%	;194	;Disminuir por53.1%	; --%	;267	;Disminuir por48.7%	; --%	;
31	;(Miércoles)2025/12/31	;186	;Disminuir por57.6%	; --%	;237	;Disminuir por56.8%	; --%	;1250	;Disminuir por33.1%	; --%	;1180	;Disminuir por36.7%	; --%	;162	;Disminuir por56.3%	; --%	;261	;Disminuir por39.0%	; --%	;
32	;(Jueves)2026/01/01	;148	;Disminuir por68.2%	; --%	;177	;Disminuir por65.4%	; --%	;1210	;Disminuir por34.4%	; --%	;1556	;Disminuir por14.5%	; --%	;153	;Disminuir por56.9%	; --%	;250	;Disminuir por40.5%	; --%	;
33	;(Viernes)2026/01/02	;135	;Disminuir por67.9%	; --%	;173	;Disminuir por70.0%	; --%	;1345	;Disminuir por25.3%	; --%	;1427	;Disminuir por18.8%	; --%	;147	;Disminuir por59.1%	; --%	;227	;Disminuir por51.2%	; --%	;
34	;(Sábado)2026/01/03	;114	;Disminuir por76.4%	; --%	;117	;Disminuir por78.6%	; --%	;1032	;Disminuir por51.2%	; --%	;1177	;Disminuir por45.5%	; --%	;146	;Disminuir por63.9%	; --%	;211	;Disminuir por60.4%	; --%	;
35	;(Domingo)2026/01/04	;62	;Disminuir por87.8%	; --%	;75	;Disminuir por90.0%	; --%	;785	;Disminuir por62.6%	; --%	;904	;Disminuir por55.8%	; --%	;28	;Disminuir por94.0%	; --%	;50	;Disminuir por92.1%	; --%	;
36	;(Lunes)2026/01/05	;151	;Disminuir por73.8%	; --%	;166	;Disminuir por80.5%	; --%	;1075	;Disminuir por51.2%	; --%	;1067	;Disminuir por48.2%	; --%	;80	;Disminuir por80.8%	; --%	;104	;Disminuir por78.9%	; --%	;
37	;(Martes)2026/01/06	;101	;Disminuir por81.3%	; --%	;196	;Disminuir por72.4%	; --%	;887	;Disminuir por50.8%	; --%	;1025	;Disminuir por51.8%	; --%	;70	;Disminuir por82.9%	; --%	;98	;Disminuir por83.4%	; --%	;
38	;(Miércoles)2026/01/07	;108	;Disminuir por69.1%	; --%	;206	;Disminuir por47.8%	; --%	;1075	;Disminuir por43.7%	; --%	;1146	;Disminuir por42.1%	; --%	;137	;Disminuir por63.8%	; --%	;183	;Disminuir por59.1%	; --%	;
39	;(Jueves)2026/01/08	;121	;Disminuir por74.0%	; --%	;155	;Disminuir por73.9%	; --%	;1054	;Disminuir por46.5%	; --%	;1148	;Disminuir por42.1%	; --%	;148	;Disminuir por61.1%	; --%	;201	;Disminuir por55.3%	; --%	;
40	;(Viernes)2026/01/09	;109	;Disminuir por73.5%	; --%	;206	;Disminuir por67.1%	; --%	;1113	;Disminuir por40.9%	; --%	;1188	;Disminuir por36.0%	; --%	;147	;Disminuir por56.4%	; --%	;223	;Disminuir por52.2%	; --%	;
41	;(Sábado)2026/01/10	;87	;Disminuir por81.1%	; --%	;158	;Disminuir por66.2%	; --%	;1117	;Disminuir por49.3%	; --%	;1204	;Disminuir por44.8%	; --%	;131	;Disminuir por65.1%	; --%	;187	;Disminuir por58.6%	; --%	;
42	;(Domingo)2026/01/11	;140	;Disminuir por72.6%	; --%	;172	;Disminuir por65.4%	; --%	;776	;Disminuir por70.7%	; --%	;975	;Disminuir por60.4%	; --%	;182	;Disminuir por56.4%	; --%	;328	;Disminuir por29.9%	; --%	;
43	;(Lunes)2026/01/12	;103	;Disminuir por85.0%	; --%	;215	;Disminuir por73.6%	; --%	;1023	;Disminuir por62.2%	; --%	;1078	;Disminuir por57.2%	; --%	;169	;Disminuir por62.6%	; --%	;202	;Disminuir por65.5%	; --%	;
44	;(Martes)2026/01/13	;112	;Disminuir por81.4%	; --%	;175	;Disminuir por70.7%	; --%	;1035	;Disminuir por57.9%	; --%	;1072	;Disminuir por61.2%	; --%	;141	;Disminuir por69.5%	; --%	;185	;Disminuir por69.5%	; --%	;
45	;(Miércoles)2026/01/14	;84	;Disminuir por84.8%	; --%	;166	;Disminuir por65.8%	; --%	;940	;Disminuir por55.7%	; --%	;1015	;Disminuir por52.0%	; --%	;153	;Disminuir por57.7%	; --%	;192	;Disminuir por57.6%	; --%	;
46	;(Jueves)2026/01/15	;115	;Disminuir por76.0%	; --%	;178	;Disminuir por61.0%	; --%	;1019	;Disminuir por46.6%	; --%	;1068	;Disminuir por42.6%	; --%	;143	;Disminuir por59.8%	; --%	;213	;Disminuir por49.4%	; --%	;
47	;(Viernes)2026/01/16	;114	;Disminuir por77.4%	; --%	;172	;Disminuir por65.1%	; --%	;1034	;Disminuir por51.0%	; --%	;1040	;Disminuir por48.6%	; --%	;130	;Disminuir por69.0%	; --%	;186	;Disminuir por64.2%	; --%	;
48	;(Sábado)2026/01/17	;30	;Disminuir por93.9%	; --%	;45	;Disminuir por92.7%	; --%	;891	;Disminuir por55.2%	; --%	;880	;Disminuir por54.7%	; --%	;24	;Disminuir por94.0%	; --%	;44	;Disminuir por90.4%	; --%	;
49	;(Domingo)2026/01/18	;103	;Disminuir por83.5%	; --%	;111	;Disminuir por81.1%	; --%	;758	;Disminuir por72.1%	; --%	;878	;Disminuir por65.1%	; --%	;156	;Disminuir por64.6%	; --%	;254	;Disminuir por47.4%	; --%	;
50	;(Lunes)2026/01/19	;78	;Disminuir por90.2%	; --%	;89	;Disminuir por89.1%	; --%	;1069	;Disminuir por65.8%	; --%	;1120	;Disminuir por60.9%	; --%	;55	;Disminuir por89.0%	; --%	;89	;Disminuir por85.7%	; --%	;
51	;(Martes)2026/01/20	;24	;Disminuir por97.1%	; --%	;26	;Disminuir por96.4%	; --%	;548	;Disminuir por78.6%	; --%	;474	;Disminuir por83.4%	; --%	;13	;Disminuir por97.5%	; --%	;11	;Disminuir por98.4%	; --%	;
