Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2025/12/02 18:43:36	;
Operador: Touristcheck	;
Objetivo de estadísticas: Ayuntamiento	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/09/01 00:00:00 - 2025/09/30 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
63898	;Disminuir por25.7%	; --%	;72108	;Disminuir por31.5%	; --%	;830	;Disminuir por33.1%	; --%	;5089	;Disminuir por15.4%	; --%	;815	;Disminuir por19.1%	; --%	;3631	;Disminuir por38.0%	; --%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/09/01	;1106	;Disminuir por49.4%	; --%	;1130	;Disminuir por57.3%	; --%	;33	;Disminuir por13.2%	; --%	;189	;Disminuir por4.5%	; --%	;26	;Disminuir por16.1%	; --%	;120	;Disminuir por11.8%	; --%	;
2	;(Martes)2025/09/02	;1545	;Disminuir por40.6%	; --%	;1951	;Disminuir por41.7%	; --%	;8	;Disminuir por57.9%	; --%	;41	;Disminuir por73.5%	; --%	;12	;Disminuir por36.8%	; --%	;74	;Disminuir por58.0%	; --%	;
3	;(Miércoles)2025/09/03	;1830	;Disminuir por56.6%	; --%	;2389	;Disminuir por58.1%	; --%	;35	;Aumentar por118.8%	; --%	;221	;Aumentar por110.5%	; --%	;29	;Disminuir por21.6%	; --%	;181	;Sin cambios	; --%	;
4	;(Jueves)2025/09/04	;1939	;Disminuir por21.6%	; --%	;2464	;Disminuir por21.9%	; --%	;55	;Aumentar por44.7%	; --%	;246	;Aumentar por11.3%	; --%	;39	;Aumentar por30.0%	; --%	;195	;Disminuir por0.5%	; --%	;
5	;(Viernes)2025/09/05	;2307	;Disminuir por17.3%	; --%	;2812	;Disminuir por16.8%	; --%	;36	;Aumentar por2.9%	; --%	;268	;Aumentar por29.5%	; --%	;34	;Disminuir por30.6%	; --%	;117	;Disminuir por39.4%	; --%	;
6	;(Sábado)2025/09/06	;2410	;Disminuir por22.7%	; --%	;3000	;Disminuir por14.5%	; --%	;28	;Disminuir por9.7%	; --%	;197	;Disminuir por3.9%	; --%	;34	;Disminuir por26.1%	; --%	;172	;Disminuir por9.9%	; --%	;
7	;(Domingo)2025/09/07	;5151	;Aumentar por84.2%	; --%	;5743	;Aumentar por68.0%	; --%	;28	;Disminuir por31.7%	; --%	;155	;Disminuir por22.1%	; --%	;17	;Disminuir por34.6%	; --%	;190	;Disminuir por6.4%	; --%	;
8	;(Lunes)2025/09/08	;4302	;Aumentar por101.2%	; --%	;4834	;Aumentar por66.5%	; --%	;21	;Disminuir por69.1%	; --%	;139	;Disminuir por46.5%	; --%	;39	;Aumentar por11.4%	; --%	;114	;Disminuir por46.2%	; --%	;
9	;(Martes)2025/09/09	;5992	;Aumentar por121.6%	; --%	;6485	;Aumentar por99.1%	; --%	;20	;Disminuir por9.1%	; --%	;124	;Disminuir por10.8%	; --%	;25	;Aumentar por25.0%	; --%	;103	;Disminuir por44.6%	; --%	;
10	;(Miércoles)2025/09/10	;2676	;Disminuir por3.5%	; --%	;2687	;Disminuir por28.0%	; --%	;43	;Aumentar por186.7%	; --%	;186	;Aumentar por51.2%	; --%	;30	;Disminuir por14.3%	; --%	;76	;Disminuir por61.0%	; --%	;
11	;(Jueves)2025/09/11	;2509	;Aumentar por10.8%	; --%	;2525	;Disminuir por12.3%	; --%	;22	;Aumentar por15.8%	; --%	;149	;Disminuir por18.6%	; --%	;15	;Disminuir por59.5%	; --%	;67	;Disminuir por67.6%	; --%	;
12	;(Viernes)2025/09/12	;2451	;Disminuir por11.9%	; --%	;2553	;Disminuir por24.2%	; --%	;35	;Disminuir por5.4%	; --%	;168	;Disminuir por30.3%	; --%	;28	;Aumentar por21.7%	; --%	;78	;Disminuir por56.9%	; --%	;
13	;(Sábado)2025/09/13	;3776	;Aumentar por19.2%	; --%	;4026	;Aumentar por7.6%	; --%	;12	;Disminuir por78.9%	; --%	;78	;Disminuir por63.9%	; --%	;23	;Disminuir por8.0%	; --%	;66	;Disminuir por66.7%	; --%	;
14	;(Domingo)2025/09/14	;2843	;Aumentar por6.4%	; --%	;3139	;Disminuir por6.5%	; --%	;13	;Disminuir por77.6%	; --%	;69	;Disminuir por72.5%	; --%	;29	;Disminuir por21.6%	; --%	;72	;Disminuir por64.0%	; --%	;
15	;(Lunes)2025/09/15	;982	;Disminuir por67.7%	; --%	;1089	;Disminuir por71.2%	; --%	;28	;Aumentar por40.0%	; --%	;205	;Aumentar por15.8%	; --%	;38	;Aumentar por11.8%	; --%	;123	;Disminuir por35.9%	; --%	;
16	;(Martes)2025/09/16	;1406	;Disminuir por54.1%	; --%	;1460	;Disminuir por60.1%	; --%	;33	;Aumentar por17.9%	; --%	;179	;Aumentar por24.3%	; --%	;16	;Disminuir por40.7%	; --%	;124	;Disminuir por31.5%	; --%	;
17	;(Miércoles)2025/09/17	;1267	;Disminuir por59.9%	; --%	;1503	;Disminuir por61.2%	; --%	;34	;Aumentar por142.9%	; --%	;221	;Aumentar por95.6%	; --%	;31	;Aumentar por3.3%	; --%	;136	;Disminuir por28.8%	; --%	;
18	;(Jueves)2025/09/18	;1215	;Disminuir por43.9%	; --%	;1410	;Disminuir por48.0%	; --%	;33	;Aumentar por26.9%	; --%	;218	;Aumentar por5.3%	; --%	;46	;Aumentar por84.0%	; --%	;180	;Disminuir por0.6%	; --%	;
19	;(Viernes)2025/09/19	;2885	;Disminuir por7.3%	; --%	;3377	;Disminuir por5.6%	; --%	;62	;Aumentar por93.8%	; --%	;278	;Aumentar por28.1%	; --%	;34	;Disminuir por5.6%	; --%	;154	;Disminuir por3.1%	; --%	;
20	;(Sábado)2025/09/20	;1891	;Disminuir por43.0%	; --%	;2066	;Disminuir por47.7%	; --%	;14	;Disminuir por95.6%	; --%	;105	;Disminuir por77.8%	; --%	;34	;Aumentar por25.9%	; --%	;116	;Disminuir por43.7%	; --%	;
21	;(Domingo)2025/09/21	;3175	;Aumentar por0.3%	; --%	;3386	;Disminuir por10.1%	; --%	;11	;Disminuir por80.0%	; --%	;78	;Disminuir por66.4%	; --%	;33	;Disminuir por45.9%	; --%	;131	;Disminuir por42.8%	; --%	;
22	;(Lunes)2025/09/22	;1294	;Disminuir por53.6%	; --%	;1560	;Disminuir por54.1%	; --%	;26	;Disminuir por35.0%	; --%	;217	;Disminuir por0.5%	; --%	;27	;Disminuir por38.6%	; --%	;122	;Disminuir por39.6%	; --%	;
23	;(Martes)2025/09/23	;1293	;Disminuir por59.2%	; --%	;1406	;Disminuir por64.5%	; --%	;42	;Aumentar por100.0%	; --%	;241	;Aumentar por63.9%	; --%	;30	;Aumentar por15.4%	; --%	;139	;Disminuir por19.7%	; --%	;
24	;(Miércoles)2025/09/24	;1251	;Disminuir por52.8%	; --%	;1501	;Disminuir por52.1%	; --%	;27	;Aumentar por92.9%	; --%	;202	;Aumentar por85.3%	; --%	;21	;Disminuir por25.0%	; --%	;127	;Disminuir por25.7%	; --%	;
25	;(Jueves)2025/09/25	;1288	;Disminuir por52.3%	; --%	;1436	;Disminuir por52.9%	; --%	;42	;Aumentar por44.8%	; --%	;242	;Aumentar por8.5%	; --%	;19	;Disminuir por50.0%	; --%	;133	;Disminuir por30.4%	; --%	;
26	;(Viernes)2025/09/26	;1390	;Disminuir por46.7%	; --%	;1623	;Disminuir por43.4%	; --%	;31	;Sin cambios	; --%	;239	;Aumentar por21.9%	; --%	;40	;Aumentar por48.1%	; --%	;158	;Disminuir por15.5%	; --%	;
27	;(Sábado)2025/09/27	;1900	;Disminuir por38.4%	; --%	;2281	;Disminuir por36.1%	; --%	;23	;Disminuir por36.1%	; --%	;189	;Disminuir por0.5%	; --%	;40	;Aumentar por33.3%	; --%	;165	;Disminuir por8.8%	; --%	;
28	;(Domingo)2025/09/28	;1180	;Disminuir por56.1%	; --%	;1482	;Disminuir por52.3%	; --%	;23	;Disminuir por17.9%	; --%	;131	;Disminuir por30.3%	; --%	;16	;Disminuir por48.4%	; --%	;111	;Disminuir por35.8%	; --%	;
29	;(Lunes)2025/09/29	;4	;Disminuir por99.8%	; --%	;4	;Disminuir por99.9%	; --%	;0	;Disminuir por100.0%	; --%	;3	;Disminuir por98.6%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;
30	;(Martes)2025/09/30	;640	;Disminuir por71.7%	; --%	;786	;Disminuir por73.7%	; --%	;12	;Aumentar por140.0%	; --%	;111	;Disminuir por14.6%	; --%	;10	;Disminuir por47.4%	; --%	;87	;Disminuir por48.8%	; --%	;

Exportar contenido:Subtipos de vehículos a motor	;
Hora del informe: 2025/09/01 00:00:00 - 2025/09/30 23:59:59	;

N.º	;Hora	;Autobuses	; 	; 	; 	; 	; 	;Monovolúmenes	; 	; 	; 	; 	; 	;Sedanes pequeños	; 	; 	; 	; 	; 	;Camiones	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/09/01	;6	;Aumentar por20.0%	; --%	;22	;Aumentar por144.4%	; --%	;10	;Disminuir por9.1%	; --%	;48	;Aumentar por2.1%	; --%	;14	;Disminuir por26.3%	; --%	;107	;Disminuir por11.6%	; --%	;3	;Disminuir por40.0%	; --%	;12	;Disminuir por52.0%	; --%	;
2	;(Martes)2025/09/02	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;4	;Disminuir por86.2%	; --%	;7	;Disminuir por53.3%	; --%	;33	;Disminuir por69.2%	; --%	;0	;Disminuir por100.0%	; --%	;3	;Disminuir por76.9%	; --%	;
3	;(Miércoles)2025/09/03	;2	;Sin cambios	; --%	;13	;Aumentar por62.5%	; --%	;3	; --%	; --%	;46	;Aumentar por170.6%	; --%	;23	;Aumentar por109.1%	; --%	;140	;Aumentar por86.7%	; --%	;7	;Aumentar por250.0%	; --%	;22	;Aumentar por450.0%	; --%	;
4	;(Jueves)2025/09/04	;0	; --%	; --%	;10	;Disminuir por9.1%	; --%	;11	;Aumentar por120.0%	; --%	;51	;Aumentar por4.1%	; --%	;23	;Disminuir por4.2%	; --%	;140	;Aumentar por3.7%	; --%	;22	;Aumentar por144.4%	; --%	;46	;Aumentar por76.9%	; --%	;
5	;(Viernes)2025/09/05	;0	;Disminuir por100.0%	; --%	;6	;Disminuir por45.5%	; --%	;7	;Sin cambios	; --%	;53	;Aumentar por12.8%	; --%	;25	;Aumentar por19.0%	; --%	;190	;Aumentar por54.5%	; --%	;3	;Disminuir por50.0%	; --%	;18	;Disminuir por30.8%	; --%	;
6	;(Sábado)2025/09/06	;0	; --%	; --%	;7	;Disminuir por41.7%	; --%	;4	;Sin cambios	; --%	;41	;Sin cambios	; --%	;23	;Aumentar por4.5%	; --%	;136	;Disminuir por1.4%	; --%	;1	;Disminuir por80.0%	; --%	;12	;Disminuir por14.3%	; --%	;
7	;(Domingo)2025/09/07	;1	; --%	; --%	;7	;Aumentar por40.0%	; --%	;3	;Disminuir por78.6%	; --%	;21	;Disminuir por61.1%	; --%	;24	;Aumentar por33.3%	; --%	;116	;Aumentar por6.4%	; --%	;1	;Disminuir por88.9%	; --%	;10	;Disminuir por67.7%	; --%	;
8	;(Lunes)2025/09/08	;1	;Sin cambios	; --%	;9	;Aumentar por12.5%	; --%	;7	;Disminuir por22.2%	; --%	;25	;Disminuir por52.8%	; --%	;12	;Disminuir por58.6%	; --%	;98	;Disminuir por32.4%	; --%	;1	;Disminuir por96.6%	; --%	;6	;Disminuir por88.9%	; --%	;
9	;(Martes)2025/09/09	;0	; --%	; --%	;7	;Aumentar por133.3%	; --%	;6	;Aumentar por50.0%	; --%	;28	;Aumentar por12.0%	; --%	;11	;Disminuir por26.7%	; --%	;73	;Disminuir por24.7%	; --%	;3	;Sin cambios	; --%	;14	;Sin cambios	; --%	;
10	;(Miércoles)2025/09/10	;1	; --%	; --%	;3	;Disminuir por62.5%	; --%	;9	; --%	; --%	;45	;Aumentar por200.0%	; --%	;26	;Aumentar por73.3%	; --%	;119	;Aumentar por24.0%	; --%	;7	; --%	; --%	;19	;Aumentar por375.0%	; --%	;
11	;(Jueves)2025/09/11	;0	;Disminuir por100.0%	; --%	;6	;Disminuir por33.3%	; --%	;4	;Disminuir por20.0%	; --%	;31	;Disminuir por35.4%	; --%	;17	;Aumentar por54.5%	; --%	;96	;Disminuir por13.5%	; --%	;1	;Disminuir por50.0%	; --%	;16	;Aumentar por6.7%	; --%	;
12	;(Viernes)2025/09/12	;0	;Disminuir por100.0%	; --%	;9	;Disminuir por18.2%	; --%	;7	;Disminuir por22.2%	; --%	;38	;Disminuir por19.1%	; --%	;23	;Aumentar por9.5%	; --%	;103	;Disminuir por33.5%	; --%	;4	;Disminuir por42.9%	; --%	;17	;Disminuir por41.4%	; --%	;
13	;(Sábado)2025/09/13	;0	; --%	; --%	;2	;Disminuir por71.4%	; --%	;2	;Disminuir por77.8%	; --%	;18	;Disminuir por61.7%	; --%	;10	;Disminuir por58.3%	; --%	;52	;Disminuir por56.7%	; --%	;0	;Disminuir por100.0%	; --%	;6	;Disminuir por84.2%	; --%	;
14	;(Domingo)2025/09/14	;0	;Disminuir por100.0%	; --%	;2	;Disminuir por81.8%	; --%	;0	;Disminuir por100.0%	; --%	;8	;Disminuir por85.5%	; --%	;14	;Disminuir por64.1%	; --%	;59	;Disminuir por59.6%	; --%	;0	;Disminuir por100.0%	; --%	;1	;Disminuir por97.5%	; --%	;
15	;(Lunes)2025/09/15	;0	; --%	; --%	;11	;Disminuir por8.3%	; --%	;1	;Disminuir por80.0%	; --%	;35	;Disminuir por25.5%	; --%	;21	;Aumentar por61.5%	; --%	;138	;Aumentar por36.6%	; --%	;6	;Aumentar por200.0%	; --%	;21	;Aumentar por23.5%	; --%	;
16	;(Martes)2025/09/16	;1	; --%	; --%	;17	;Aumentar por183.3%	; --%	;4	; --%	; --%	;31	;Aumentar por34.8%	; --%	;17	;Disminuir por29.2%	; --%	;110	;Aumentar por12.2%	; --%	;11	;Aumentar por175.0%	; --%	;21	;Aumentar por23.5%	; --%	;
17	;(Miércoles)2025/09/17	;0	;Disminuir por100.0%	; --%	;10	;Aumentar por66.7%	; --%	;0	;Disminuir por100.0%	; --%	;37	;Aumentar por60.9%	; --%	;18	;Aumentar por80.0%	; --%	;142	;Aumentar por79.7%	; --%	;16	;Aumentar por700.0%	; --%	;32	;Aumentar por540.0%	; --%	;
18	;(Jueves)2025/09/18	;1	; --%	; --%	;10	;Aumentar por66.7%	; --%	;13	;Aumentar por18.2%	; --%	;53	;Disminuir por5.4%	; --%	;15	;Aumentar por87.5%	; --%	;135	;Aumentar por10.7%	; --%	;3	;Disminuir por57.1%	; --%	;19	;Disminuir por17.4%	; --%	;
19	;(Viernes)2025/09/19	;1	; --%	; --%	;9	;Sin cambios	; --%	;19	;Aumentar por533.3%	; --%	;66	;Aumentar por46.7%	; --%	;34	;Aumentar por61.9%	; --%	;173	;Aumentar por23.6%	; --%	;9	;Aumentar por12.5%	; --%	;30	;Aumentar por36.4%	; --%	;
20	;(Sábado)2025/09/20	;1	; --%	; --%	;6	;Disminuir por33.3%	; --%	;7	;Disminuir por22.2%	; --%	;23	;Disminuir por51.1%	; --%	;4	;Disminuir por98.6%	; --%	;69	;Disminuir por82.1%	; --%	;2	;Disminuir por86.7%	; --%	;8	;Disminuir por75.0%	; --%	;
21	;(Domingo)2025/09/21	;0	; --%	; --%	;4	;Disminuir por55.6%	; --%	;0	;Disminuir por100.0%	; --%	;6	;Disminuir por89.7%	; --%	;11	;Disminuir por52.2%	; --%	;64	;Disminuir por52.6%	; --%	;0	;Disminuir por100.0%	; --%	;3	;Disminuir por90.0%	; --%	;
22	;(Lunes)2025/09/22	;0	; --%	; --%	;16	;Aumentar por220.0%	; --%	;6	;Disminuir por50.0%	; --%	;36	;Disminuir por42.9%	; --%	;13	;Disminuir por40.9%	; --%	;143	;Aumentar por19.2%	; --%	;6	;Disminuir por14.3%	; --%	;21	;Disminuir por32.3%	; --%	;
23	;(Martes)2025/09/23	;1	; --%	; --%	;10	;Aumentar por42.9%	; --%	;4	;Aumentar por300.0%	; --%	;40	;Aumentar por90.5%	; --%	;25	;Aumentar por127.3%	; --%	;160	;Aumentar por68.4%	; --%	;13	;Aumentar por62.5%	; --%	;32	;Aumentar por39.1%	; --%	;
24	;(Miércoles)2025/09/24	;0	; --%	; --%	;10	;Aumentar por66.7%	; --%	;5	; --%	; --%	;41	;Aumentar por192.9%	; --%	;22	;Aumentar por83.3%	; --%	;136	;Aumentar por67.9%	; --%	;0	;Disminuir por100.0%	; --%	;14	;Aumentar por75.0%	; --%	;
25	;(Jueves)2025/09/25	;0	; --%	; --%	;25	;Aumentar por316.7%	; --%	;16	;Aumentar por433.3%	; --%	;51	;Aumentar por8.5%	; --%	;22	;Disminuir por8.3%	; --%	;150	;Aumentar por3.4%	; --%	;3	;Aumentar por50.0%	; --%	;15	;Disminuir por40.0%	; --%	;
26	;(Viernes)2025/09/26	;0	;Disminuir por100.0%	; --%	;21	;Aumentar por90.9%	; --%	;9	;Aumentar por200.0%	; --%	;50	;Aumentar por42.9%	; --%	;13	;Disminuir por43.5%	; --%	;145	;Aumentar por12.4%	; --%	;9	;Aumentar por125.0%	; --%	;23	;Aumentar por9.5%	; --%	;
27	;(Sábado)2025/09/27	;1	;Sin cambios	; --%	;19	;Aumentar por111.1%	; --%	;0	;Disminuir por100.0%	; --%	;28	;Disminuir por46.2%	; --%	;19	;Aumentar por46.2%	; --%	;127	;Aumentar por27.0%	; --%	;3	;Disminuir por70.0%	; --%	;15	;Disminuir por46.4%	; --%	;
28	;(Domingo)2025/09/28	;0	; --%	; --%	;8	;Aumentar por14.3%	; --%	;2	;Sin cambios	; --%	;14	;Disminuir por68.9%	; --%	;19	;Sin cambios	; --%	;98	;Disminuir por18.3%	; --%	;3	;Disminuir por57.1%	; --%	;12	;Disminuir por25.0%	; --%	;
29	;(Lunes)2025/09/29	;0	; --%	; --%	;1	;Disminuir por80.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;2	;Disminuir por98.5%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;
30	;(Martes)2025/09/30	;3	; --%	; --%	;14	;Aumentar por55.6%	; --%	;3	;Aumentar por200.0%	; --%	;16	;Disminuir por42.9%	; --%	;7	;Aumentar por133.3%	; --%	;78	;Disminuir por6.0%	; --%	;0	;Disminuir por100.0%	; --%	;4	;Disminuir por60.0%	; --%	;
