Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:44:07	;
Operador: Touristcheck	;
Objetivo de estadísticas: Ayuntamiento	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
284806	;Disminuir por14.4%	;Aumentar por128.1%	;343833	;Disminuir por13.7%	;Aumentar por126.2%	;5513	;Disminuir por16.4%	;Aumentar por102.0%	;42662	;Aumentar por6.9%	;Aumentar por156.9%	;3561	;Disminuir por24.1%	;Aumentar por97.7%	;17518	;Disminuir por33.8%	;Aumentar por51.3%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;457	;Disminuir por90.7%	; --%	;600	;Disminuir por89.2%	; --%	;17	;Aumentar por13.3%	; --%	;199	;Aumentar por55.5%	; --%	;10	;Disminuir por64.3%	; --%	;57	;Disminuir por61.5%	; --%	;
2	;(Martes)2025/12/02	;538	;Disminuir por87.2%	; --%	;692	;Disminuir por85.7%	; --%	;28	;Aumentar por460.0%	; --%	;238	;Aumentar por190.2%	; --%	;10	;Disminuir por50.0%	; --%	;74	;Disminuir por36.8%	; --%	;
3	;(Miércoles)2025/12/03	;583	;Disminuir por73.0%	; --%	;853	;Disminuir por69.0%	; --%	;42	;Aumentar por147.1%	; --%	;273	;Aumentar por110.0%	; --%	;10	;Disminuir por58.3%	; --%	;78	;Disminuir por44.3%	; --%	;
4	;(Jueves)2025/12/04	;778	;Disminuir por33.0%	; --%	;971	;Disminuir por28.4%	; --%	;21	;Disminuir por63.2%	; --%	;271	;Disminuir por7.2%	; --%	;16	;Aumentar por14.3%	; --%	;70	;Disminuir por24.7%	; --%	;
5	;(Viernes)2025/12/05	;1777	;Aumentar por13.9%	; --%	;2462	;Aumentar por27.4%	; --%	;31	;Disminuir por31.1%	; --%	;218	;Disminuir por11.7%	; --%	;26	;Disminuir por3.7%	; --%	;79	;Disminuir por38.3%	; --%	;
6	;(Sábado)2025/12/06	;9695	;Aumentar por720.2%	; --%	;10786	;Aumentar por571.6%	; --%	;22	;Disminuir por24.1%	; --%	;130	;Disminuir por43.2%	; --%	;14	;Disminuir por46.2%	; --%	;62	;Disminuir por57.2%	; --%	;
7	;(Domingo)2025/12/07	;11790	;Aumentar por800.7%	; --%	;12934	;Aumentar por630.7%	; --%	;8	;Disminuir por77.8%	; --%	;67	;Disminuir por73.9%	; --%	;21	;Aumentar por40.0%	; --%	;63	;Disminuir por58.0%	; --%	;
8	;(Lunes)2025/12/08	;3322	;Aumentar por81.0%	; --%	;4597	;Aumentar por98.5%	; --%	;7	;Disminuir por72.0%	; --%	;98	;Disminuir por47.6%	; --%	;9	;Disminuir por66.7%	; --%	;65	;Disminuir por54.2%	; --%	;
9	;(Martes)2025/12/09	;756	;Disminuir por62.4%	; --%	;1010	;Disminuir por57.7%	; --%	;20	;Aumentar por81.8%	; --%	;226	;Aumentar por115.2%	; --%	;18	;Aumentar por63.6%	; --%	;69	;Aumentar por13.1%	; --%	;
10	;(Miércoles)2025/12/10	;692	;Aumentar por112.3%	; --%	;934	;Aumentar por183.9%	; --%	;18	;Aumentar por157.1%	; --%	;197	;Aumentar por146.3%	; --%	;11	;Aumentar por1000.0%	; --%	;53	;Aumentar por194.4%	; --%	;
11	;(Jueves)2025/12/11	;457	;Aumentar por12.3%	; --%	;720	;Aumentar por44.0%	; --%	;23	;Aumentar por360.0%	; --%	;203	;Aumentar por203.0%	; --%	;14	;Sin cambios	; --%	;51	;Disminuir por10.5%	; --%	;
12	;(Viernes)2025/12/12	;1076	;Disminuir por9.1%	; --%	;1651	;Aumentar por18.9%	; --%	;18	;Disminuir por52.6%	; --%	;217	;Disminuir por26.4%	; --%	;14	;Disminuir por48.1%	; --%	;73	;Disminuir por44.7%	; --%	;
13	;(Sábado)2025/12/13	;3539	;Aumentar por25.4%	; --%	;4568	;Aumentar por30.9%	; --%	;14	;Aumentar por27.3%	; --%	;124	;Disminuir por9.5%	; --%	;6	;Disminuir por77.8%	; --%	;57	;Disminuir por59.3%	; --%	;
14	;(Domingo)2025/12/14	;652	;Disminuir por77.5%	; --%	;780	;Disminuir por78.1%	; --%	;55	;Aumentar por44.7%	; --%	;183	;Disminuir por30.2%	; --%	;1	;Disminuir por95.0%	; --%	;5	;Disminuir por95.6%	; --%	;
15	;(Lunes)2025/12/15	;272	;Disminuir por90.4%	; --%	;320	;Disminuir por90.5%	; --%	;28	;Aumentar por75.0%	; --%	;196	;Aumentar por30.7%	; --%	;6	;Disminuir por78.6%	; --%	;12	;Disminuir por92.0%	; --%	;
16	;(Martes)2025/12/16	;355	;Disminuir por79.0%	; --%	;399	;Disminuir por80.5%	; --%	;39	;Aumentar por69.6%	; --%	;232	;Aumentar por58.9%	; --%	;8	;Disminuir por55.6%	; --%	;18	;Disminuir por85.2%	; --%	;
17	;(Miércoles)2025/12/17	;244	;Disminuir por72.3%	; --%	;298	;Disminuir por69.4%	; --%	;19	;Disminuir por60.4%	; --%	;229	;Disminuir por18.5%	; --%	;5	;Disminuir por54.5%	; --%	;4	;Disminuir por96.7%	; --%	;
18	;(Jueves)2025/12/18	;544	;Disminuir por47.0%	; --%	;742	;Disminuir por38.4%	; --%	;36	;Disminuir por12.2%	; --%	;239	;Disminuir por7.4%	; --%	;18	;Disminuir por25.0%	; --%	;36	;Disminuir por71.4%	; --%	;
19	;(Viernes)2025/12/19	;961	;Aumentar por11.7%	; --%	;1369	;Aumentar por40.4%	; --%	;16	;Disminuir por61.0%	; --%	;202	;Disminuir por27.6%	; --%	;12	;Disminuir por20.0%	; --%	;32	;Disminuir por73.1%	; --%	;
20	;(Sábado)2025/12/20	;2820	;Aumentar por329.9%	; --%	;3646	;Aumentar por335.6%	; --%	;13	;Disminuir por69.0%	; --%	;119	;Disminuir por61.0%	; --%	;4	;Disminuir por83.3%	; --%	;25	;Disminuir por74.5%	; --%	;
21	;(Domingo)2025/12/21	;2200	;Aumentar por90.1%	; --%	;3191	;Aumentar por138.0%	; --%	;11	;Disminuir por63.3%	; --%	;107	;Disminuir por60.8%	; --%	;8	;Disminuir por57.9%	; --%	;29	;Disminuir por78.0%	; --%	;
22	;(Lunes)2025/12/22	;881	;Disminuir por41.7%	; --%	;1307	;Disminuir por16.3%	; --%	;30	;Aumentar por172.7%	; --%	;219	;Aumentar por36.9%	; --%	;9	;Disminuir por40.0%	; --%	;30	;Disminuir por69.7%	; --%	;
23	;(Martes)2025/12/23	;1179	;Disminuir por33.7%	; --%	;1450	;Disminuir por33.6%	; --%	;32	;Aumentar por28.0%	; --%	;236	;Aumentar por58.4%	; --%	;8	;Disminuir por65.2%	; --%	;18	;Disminuir por80.6%	; --%	;
24	;(Miércoles)2025/12/24	;752	;Disminuir por4.9%	; --%	;1045	;Aumentar por18.9%	; --%	;12	;Disminuir por70.0%	; --%	;172	;Disminuir por35.3%	; --%	;10	;Disminuir por54.5%	; --%	;18	;Disminuir por84.6%	; --%	;
25	;(Jueves)2025/12/25	;677	;Disminuir por17.7%	; --%	;1001	;Aumentar por6.6%	; --%	;9	;Disminuir por65.4%	; --%	;140	;Disminuir por35.8%	; --%	;0	;Disminuir por100.0%	; --%	;2	;Disminuir por98.3%	; --%	;
26	;(Viernes)2025/12/26	;1511	;Aumentar por100.4%	; --%	;2082	;Aumentar por146.1%	; --%	;12	;Disminuir por74.5%	; --%	;172	;Disminuir por20.7%	; --%	;4	;Disminuir por80.0%	; --%	;5	;Disminuir por92.5%	; --%	;
27	;(Sábado)2025/12/27	;1109	; --%	; --%	;1339	; --%	; --%	;20	; --%	; --%	;165	; --%	; --%	;3	; --%	; --%	;2	; --%	; --%	;
28	;(Domingo)2025/12/28	;1546	; --%	; --%	;2151	; --%	; --%	;12	; --%	; --%	;53	; --%	; --%	;2	; --%	; --%	;4	; --%	; --%	;
29	;(Lunes)2025/12/29	;1570	; --%	; --%	;2048	; --%	; --%	;18	; --%	; --%	;100	; --%	; --%	;4	; --%	; --%	;6	; --%	; --%	;
30	;(Martes)2025/12/30	;2177	; --%	; --%	;3113	; --%	; --%	;38	; --%	; --%	;127	; --%	; --%	;10	; --%	; --%	;20	; --%	; --%	;
31	;(Miércoles)2025/12/31	;9042	; --%	; --%	;9823	; --%	; --%	;13	; --%	; --%	;60	; --%	; --%	;6	; --%	; --%	;23	; --%	; --%	;
32	;(Jueves)2026/01/01	;6058	; --%	; --%	;7061	; --%	; --%	;2	; --%	; --%	;25	; --%	; --%	;0	; --%	; --%	;6	; --%	; --%	;
33	;(Viernes)2026/01/02	;2516	; --%	; --%	;3127	; --%	; --%	;23	; --%	; --%	;188	; --%	; --%	;7	; --%	; --%	;31	; --%	; --%	;
34	;(Sábado)2026/01/03	;2443	; --%	; --%	;3002	; --%	; --%	;14	; --%	; --%	;152	; --%	; --%	;17	; --%	; --%	;31	; --%	; --%	;
35	;(Domingo)2026/01/04	;807	;Aumentar por1.8%	; --%	;1132	;Aumentar por13.8%	; --%	;15	;Disminuir por21.1%	; --%	;110	;Disminuir por25.7%	; --%	;1	;Disminuir por83.3%	; --%	;10	;Disminuir por91.3%	; --%	;
36	;(Lunes)2026/01/05	;436	;Disminuir por80.8%	; --%	;633	;Disminuir por76.6%	; --%	;18	;Aumentar por80.0%	; --%	;181	;Aumentar por36.1%	; --%	;11	;Disminuir por80.4%	; --%	;19	;Disminuir por88.0%	; --%	;
37	;(Martes)2026/01/06	;777	;Disminuir por50.4%	; --%	;968	;Disminuir por50.4%	; --%	;16	;Aumentar por14.3%	; --%	;111	;Aumentar por0.9%	; --%	;1	;Disminuir por92.9%	; --%	;14	;Disminuir por89.1%	; --%	;
38	;(Miércoles)2026/01/07	;268	;Disminuir por71.2%	; --%	;413	;Disminuir por63.8%	; --%	;25	;Sin cambios	; --%	;201	;Disminuir por13.4%	; --%	;16	;Disminuir por23.8%	; --%	;40	;Disminuir por71.8%	; --%	;
39	;(Jueves)2026/01/08	;270	;Disminuir por72.8%	; --%	;391	;Disminuir por62.7%	; --%	;20	;Disminuir por37.5%	; --%	;183	;Disminuir por21.1%	; --%	;16	;Disminuir por23.8%	; --%	;47	;Disminuir por69.9%	; --%	;
40	;(Viernes)2026/01/09	;276	;Disminuir por71.4%	; --%	;412	;Disminuir por65.3%	; --%	;34	;Disminuir por22.7%	; --%	;240	;Disminuir por10.4%	; --%	;14	;Disminuir por30.0%	; --%	;37	;Disminuir por71.8%	; --%	;
41	;(Sábado)2026/01/10	;628	;Disminuir por33.5%	; --%	;793	;Disminuir por26.2%	; --%	;11	;Disminuir por75.6%	; --%	;132	;Disminuir por53.7%	; --%	;6	;Disminuir por75.0%	; --%	;18	;Disminuir por88.5%	; --%	;
42	;(Domingo)2026/01/11	;425	;Disminuir por60.9%	; --%	;655	;Disminuir por53.3%	; --%	;20	;Disminuir por41.2%	; --%	;117	;Disminuir por57.1%	; --%	;8	;Disminuir por71.4%	; --%	;10	;Disminuir por94.4%	; --%	;
43	;(Lunes)2026/01/12	;201	;Disminuir por89.2%	; --%	;296	;Disminuir por87.4%	; --%	;27	;Disminuir por10.0%	; --%	;221	;Aumentar por27.0%	; --%	;12	;Disminuir por33.3%	; --%	;8	;Disminuir por94.4%	; --%	;
44	;(Martes)2026/01/13	;247	;Disminuir por82.4%	; --%	;324	;Disminuir por83.4%	; --%	;29	;Aumentar por123.1%	; --%	;208	;Aumentar por98.1%	; --%	;7	;Disminuir por63.2%	; --%	;10	;Disminuir por93.9%	; --%	;
