Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2025/12/02 18:45:23	;
Operador: Touristcheck	;
Objetivo de estadísticas: C Mayor - Baluarte Del Principe	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/10/01 00:00:00 - 2025/10/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
64939	;Disminuir por45.5%	; --%	;46637	;Disminuir por47.8%	; --%	;6262	;Disminuir por8.6%	; --%	;1044	;Disminuir por43.9%	; --%	;2325	;Disminuir por30.9%	; --%	;363	;Disminuir por55.6%	; --%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Miércoles)2025/10/01	;2242	;Disminuir por47.4%	; --%	;1591	;Disminuir por48.7%	; --%	;248	;Aumentar por18.7%	; --%	;33	;Disminuir por8.3%	; --%	;80	;Disminuir por31.6%	; --%	;11	;Disminuir por42.1%	; --%	;
2	;(Jueves)2025/10/02	;1772	;Disminuir por69.2%	; --%	;1335	;Disminuir por67.4%	; --%	;241	;Disminuir por7.3%	; --%	;30	;Disminuir por59.5%	; --%	;91	;Disminuir por29.5%	; --%	;10	;Disminuir por65.5%	; --%	;
3	;(Viernes)2025/10/03	;2084	;Disminuir por58.7%	; --%	;1425	;Disminuir por60.5%	; --%	;267	;Aumentar por5.1%	; --%	;39	;Disminuir por20.4%	; --%	;86	;Disminuir por41.5%	; --%	;10	;Disminuir por64.3%	; --%	;
4	;(Sábado)2025/10/04	;4412	;Disminuir por7.3%	; --%	;3017	;Disminuir por16.5%	; --%	;186	;Disminuir por18.1%	; --%	;24	;Disminuir por22.6%	; --%	;81	;Disminuir por36.7%	; --%	;16	;Disminuir por23.8%	; --%	;
5	;(Domingo)2025/10/05	;3805	;Disminuir por37.2%	; --%	;2496	;Disminuir por47.3%	; --%	;120	;Disminuir por57.0%	; --%	;12	;Disminuir por40.0%	; --%	;74	;Disminuir por15.9%	; --%	;13	;Disminuir por48.0%	; --%	;
6	;(Lunes)2025/10/06	;2133	;Disminuir por65.5%	; --%	;1492	;Disminuir por66.3%	; --%	;207	;Aumentar por12.5%	; --%	;22	;Aumentar por100.0%	; --%	;87	;Disminuir por34.1%	; --%	;7	;Disminuir por75.9%	; --%	;
7	;(Martes)2025/10/07	;1959	;Disminuir por59.6%	; --%	;1360	;Disminuir por64.2%	; --%	;249	;Aumentar por13.7%	; --%	;55	;Disminuir por34.5%	; --%	;90	;Disminuir por39.2%	; --%	;11	;Disminuir por62.1%	; --%	;
8	;(Miércoles)2025/10/08	;1652	;Disminuir por49.6%	; --%	;1200	;Disminuir por48.5%	; --%	;279	;Aumentar por73.3%	; --%	;86	;Aumentar por160.6%	; --%	;98	;Disminuir por3.9%	; --%	;16	;Disminuir por36.0%	; --%	;
9	;(Jueves)2025/10/09	;2657	;Disminuir por49.1%	; --%	;2104	;Disminuir por52.8%	; --%	;97	;Disminuir por41.6%	; --%	;3	;Disminuir por93.0%	; --%	;88	;Disminuir por20.0%	; --%	;9	;Disminuir por72.7%	; --%	;
10	;(Viernes)2025/10/10	;3261	;Disminuir por11.1%	; --%	;2487	;Disminuir por16.1%	; --%	;258	;Aumentar por41.8%	; --%	;46	;Aumentar por142.1%	; --%	;57	;Disminuir por49.1%	; --%	;16	;Disminuir por70.4%	; --%	;
11	;(Sábado)2025/10/11	;1863	;Disminuir por54.6%	; --%	;1257	;Disminuir por58.7%	; --%	;169	;Disminuir por23.9%	; --%	;15	;Disminuir por78.6%	; --%	;12	;Disminuir por90.5%	; --%	;8	;Disminuir por83.0%	; --%	;
12	;(Domingo)2025/10/12	;1749	;Disminuir por62.2%	; --%	;1018	;Disminuir por69.2%	; --%	;125	;Disminuir por39.9%	; --%	;19	;Disminuir por67.8%	; --%	;15	;Disminuir por87.8%	; --%	;4	;Disminuir por92.2%	; --%	;
13	;(Lunes)2025/10/13	;776	;Disminuir por88.7%	; --%	;567	;Disminuir por89.1%	; --%	;185	;Aumentar por96.8%	; --%	;4	;Disminuir por80.0%	; --%	;25	;Disminuir por77.3%	; --%	;2	;Disminuir por96.8%	; --%	;
14	;(Martes)2025/10/14	;1648	;Disminuir por57.9%	; --%	;1010	;Disminuir por68.9%	; --%	;185	;Disminuir por35.8%	; --%	;13	;Disminuir por93.9%	; --%	;62	;Disminuir por45.6%	; --%	;16	;Disminuir por73.8%	; --%	;
15	;(Miércoles)2025/10/15	;1633	;Disminuir por40.2%	; --%	;1266	;Disminuir por34.6%	; --%	;213	;Disminuir por11.6%	; --%	;26	;Disminuir por49.0%	; --%	;77	;Disminuir por39.4%	; --%	;15	;Disminuir por51.6%	; --%	;
16	;(Jueves)2025/10/16	;1285	;Disminuir por53.0%	; --%	;1035	;Disminuir por51.7%	; --%	;209	;Disminuir por25.4%	; --%	;25	;Disminuir por78.1%	; --%	;87	;Disminuir por32.0%	; --%	;14	;Disminuir por46.2%	; --%	;
17	;(Viernes)2025/10/17	;1708	;Disminuir por39.7%	; --%	;1258	;Disminuir por42.4%	; --%	;202	;Disminuir por16.9%	; --%	;26	;Disminuir por33.3%	; --%	;139	;Aumentar por21.9%	; --%	;10	;Disminuir por50.0%	; --%	;
18	;(Sábado)2025/10/18	;3494	;Aumentar por23.9%	; --%	;2940	;Aumentar por45.3%	; --%	;124	;Disminuir por48.3%	; --%	;41	;Disminuir por31.7%	; --%	;119	;Disminuir por2.5%	; --%	;14	;Aumentar por16.7%	; --%	;
19	;(Domingo)2025/10/19	;2554	;Disminuir por21.0%	; --%	;1997	;Disminuir por26.6%	; --%	;114	;Disminuir por54.9%	; --%	;21	;Disminuir por51.2%	; --%	;70	;Disminuir por43.1%	; --%	;6	;Disminuir por71.4%	; --%	;
20	;(Lunes)2025/10/20	;2024	;Disminuir por52.1%	; --%	;1273	;Disminuir por59.8%	; --%	;182	;Aumentar por41.1%	; --%	;22	;Disminuir por21.4%	; --%	;87	;Disminuir por28.1%	; --%	;10	;Disminuir por70.6%	; --%	;
21	;(Martes)2025/10/21	;1460	;Disminuir por65.8%	; --%	;1238	;Disminuir por55.8%	; --%	;209	;Aumentar por175.0%	; --%	;29	;Aumentar por190.0%	; --%	;90	;Disminuir por2.2%	; --%	;14	;Disminuir por17.6%	; --%	;
22	;(Miércoles)2025/10/22	;1488	;Disminuir por55.7%	; --%	;1170	;Disminuir por53.8%	; --%	;222	;Disminuir por15.9%	; --%	;48	;Disminuir por4.0%	; --%	;79	;Disminuir por19.4%	; --%	;10	;Disminuir por33.3%	; --%	;
23	;(Jueves)2025/10/23	;1745	;Disminuir por51.2%	; --%	;1295	;Disminuir por51.8%	; --%	;241	;Aumentar por2.6%	; --%	;39	;Disminuir por7.1%	; --%	;68	;Disminuir por38.7%	; --%	;7	;Disminuir por65.0%	; --%	;
24	;(Viernes)2025/10/24	;2368	;Disminuir por29.0%	; --%	;1494	;Disminuir por41.8%	; --%	;258	;Aumentar por4.0%	; --%	;71	;Aumentar por12.7%	; --%	;79	;Disminuir por24.8%	; --%	;14	;Disminuir por39.1%	; --%	;
25	;(Sábado)2025/10/25	;4008	;Aumentar por31.8%	; --%	;2729	;Aumentar por11.7%	; --%	;156	;Disminuir por43.9%	; --%	;20	;Disminuir por64.9%	; --%	;83	;Disminuir por22.4%	; --%	;19	;Aumentar por11.8%	; --%	;
26	;(Domingo)2025/10/26	;2208	;Disminuir por31.8%	; --%	;1502	;Disminuir por35.9%	; --%	;146	;Disminuir por74.5%	; --%	;15	;Disminuir por96.0%	; --%	;38	;Disminuir por69.1%	; --%	;8	;Disminuir por52.9%	; --%	;
27	;(Lunes)2025/10/27	;1611	;Disminuir por66.7%	; --%	;1197	;Disminuir por64.2%	; --%	;259	;Aumentar por32.8%	; --%	;96	;Aumentar por231.0%	; --%	;65	;Disminuir por39.8%	; --%	;18	;Aumentar por5.9%	; --%	;
28	;(Martes)2025/10/28	;1606	;Disminuir por47.5%	; --%	;1140	;Disminuir por50.3%	; --%	;232	;Aumentar por64.5%	; --%	;47	;Aumentar por147.4%	; --%	;73	;Disminuir por8.8%	; --%	;13	;Disminuir por23.5%	; --%	;
29	;(Miércoles)2025/10/29	;1367	;Aumentar por72.4%	; --%	;1007	;Aumentar por88.2%	; --%	;196	;Disminuir por27.1%	; --%	;15	;Disminuir por83.5%	; --%	;59	;Aumentar por555.6%	; --%	;10	; --%	; --%	;
30	;(Jueves)2025/10/30	;1137	;Disminuir por56.5%	; --%	;795	;Disminuir por52.9%	; --%	;271	;Aumentar por14.8%	; --%	;86	;Aumentar por207.1%	; --%	;76	;Disminuir por31.5%	; --%	;22	;Aumentar por29.4%	; --%	;
31	;(Viernes)2025/10/31	;1230	; --%	; --%	;942	; --%	; --%	;212	; --%	; --%	;16	; --%	; --%	;90	; --%	; --%	;10	; --%	; --%	;

Exportar contenido:Subtipos de vehículos a motor	;
Hora del informe: 2025/10/01 00:00:00 - 2025/10/31 23:59:59	;

N.º	;Hora	;Autobuses	; 	; 	; 	; 	; 	;Monovolúmenes	; 	; 	; 	; 	; 	;Sedanes pequeños	; 	; 	; 	; 	; 	;Camiones	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Miércoles)2025/10/01	;16	;Disminuir por11.1%	; --%	;0	;Disminuir por100.0%	; --%	;74	;Aumentar por12.1%	; --%	;12	;Aumentar por140.0%	; --%	;120	;Aumentar por64.4%	; --%	;8	;Aumentar por100.0%	; --%	;38	;Disminuir por26.9%	; --%	;13	;Disminuir por48.0%	; --%	;
2	;(Jueves)2025/10/02	;21	;Disminuir por4.5%	; --%	;3	;Disminuir por25.0%	; --%	;59	;Disminuir por14.5%	; --%	;4	;Disminuir por66.7%	; --%	;116	;Aumentar por12.6%	; --%	;10	;Disminuir por28.6%	; --%	;45	;Disminuir por30.8%	; --%	;13	;Disminuir por70.5%	; --%	;
3	;(Viernes)2025/10/03	;6	;Disminuir por77.8%	; --%	;0	;Disminuir por100.0%	; --%	;71	;Aumentar por26.8%	; --%	;6	;Aumentar por50.0%	; --%	;114	;Aumentar por14.0%	; --%	;4	;Disminuir por55.6%	; --%	;76	;Aumentar por7.0%	; --%	;29	;Disminuir por3.3%	; --%	;
4	;(Sábado)2025/10/04	;13	;Disminuir por40.9%	; --%	;0	;Disminuir por100.0%	; --%	;52	;Disminuir por25.7%	; --%	;4	;Disminuir por55.6%	; --%	;69	;Disminuir por23.3%	; --%	;1	;Disminuir por50.0%	; --%	;52	;Aumentar por18.2%	; --%	;19	;Aumentar por18.8%	; --%	;
5	;(Domingo)2025/10/05	;8	;Disminuir por60.0%	; --%	;0	;Disminuir por100.0%	; --%	;28	;Disminuir por68.9%	; --%	;3	;Disminuir por40.0%	; --%	;50	;Disminuir por65.0%	; --%	;2	;Disminuir por50.0%	; --%	;34	;Aumentar por30.8%	; --%	;7	;Disminuir por12.5%	; --%	;
6	;(Lunes)2025/10/06	;16	;Disminuir por11.1%	; --%	;1	; --%	; --%	;63	;Aumentar por16.7%	; --%	;5	;Aumentar por150.0%	; --%	;87	;Disminuir por6.5%	; --%	;4	;Disminuir por42.9%	; --%	;41	;Aumentar por127.8%	; --%	;12	;Aumentar por500.0%	; --%	;
7	;(Martes)2025/10/07	;24	;Aumentar por166.7%	; --%	;2	;Sin cambios	; --%	;57	;Aumentar por23.9%	; --%	;5	;Disminuir por50.0%	; --%	;115	;Aumentar por51.3%	; --%	;31	; --%	; --%	;53	;Disminuir por39.1%	; --%	;17	;Disminuir por76.4%	; --%	;
8	;(Miércoles)2025/10/08	;69	;Aumentar por666.7%	; --%	;54	;Aumentar por2600.0%	; --%	;65	;Aumentar por47.7%	; --%	;17	;Aumentar por30.8%	; --%	;116	;Aumentar por43.2%	; --%	;5	;Disminuir por37.5%	; --%	;29	;Aumentar por7.4%	; --%	;10	;Sin cambios	; --%	;
9	;(Jueves)2025/10/09	;9	;Disminuir por60.9%	; --%	;0	;Disminuir por100.0%	; --%	;22	;Disminuir por48.8%	; --%	;1	;Sin cambios	; --%	;56	;Disminuir por5.1%	; --%	;0	;Disminuir por100.0%	; --%	;10	;Disminuir por75.6%	; --%	;2	;Disminuir por92.9%	; --%	;
10	;(Viernes)2025/10/10	;36	;Aumentar por100.0%	; --%	;14	;Aumentar por366.7%	; --%	;81	;Aumentar por12.5%	; --%	;22	;Aumentar por340.0%	; --%	;116	;Aumentar por81.3%	; --%	;5	;Sin cambios	; --%	;25	;Disminuir por10.7%	; --%	;5	;Disminuir por16.7%	; --%	;
11	;(Sábado)2025/10/11	;18	;Aumentar por63.6%	; --%	;4	;Disminuir por20.0%	; --%	;37	;Disminuir por35.1%	; --%	;0	;Disminuir por100.0%	; --%	;100	;Aumentar por72.4%	; --%	;9	;Aumentar por350.0%	; --%	;14	;Disminuir por85.4%	; --%	;2	;Disminuir por96.4%	; --%	;
12	;(Domingo)2025/10/12	;5	;Disminuir por82.8%	; --%	;0	;Disminuir por100.0%	; --%	;16	;Disminuir por71.4%	; --%	;2	;Disminuir por80.0%	; --%	;85	;Aumentar por23.2%	; --%	;10	;Aumentar por11.1%	; --%	;19	;Disminuir por64.2%	; --%	;7	;Disminuir por73.1%	; --%	;
13	;(Lunes)2025/10/13	;24	;Aumentar por200.0%	; --%	;0	;Disminuir por100.0%	; --%	;38	;Aumentar por46.2%	; --%	;2	;Disminuir por60.0%	; --%	;111	;Aumentar por141.3%	; --%	;0	;Disminuir por100.0%	; --%	;12	;Disminuir por14.3%	; --%	;2	;Sin cambios	; --%	;
14	;(Martes)2025/10/14	;19	;Aumentar por533.3%	; --%	;1	;Sin cambios	; --%	;42	;Aumentar por90.9%	; --%	;0	;Disminuir por100.0%	; --%	;107	;Aumentar por55.1%	; --%	;2	;Disminuir por93.5%	; --%	;17	;Disminuir por91.2%	; --%	;10	;Disminuir por94.4%	; --%	;
15	;(Miércoles)2025/10/15	;17	;Disminuir por10.5%	; --%	;0	;Disminuir por100.0%	; --%	;38	;Disminuir por34.5%	; --%	;5	;Aumentar por25.0%	; --%	;122	;Aumentar por40.2%	; --%	;7	;Aumentar por75.0%	; --%	;36	;Disminuir por53.2%	; --%	;14	;Disminuir por61.1%	; --%	;
16	;(Jueves)2025/10/16	;19	;Aumentar por35.7%	; --%	;1	;Disminuir por75.0%	; --%	;51	;Disminuir por21.5%	; --%	;1	;Disminuir por90.0%	; --%	;105	;Aumentar por23.5%	; --%	;10	;Disminuir por9.1%	; --%	;34	;Disminuir por70.7%	; --%	;13	;Disminuir por85.4%	; --%	;
17	;(Viernes)2025/10/17	;31	;Aumentar por55.0%	; --%	;2	;Aumentar por100.0%	; --%	;49	;Disminuir por9.3%	; --%	;2	;Disminuir por33.3%	; --%	;84	;Disminuir por25.7%	; --%	;6	;Disminuir por33.3%	; --%	;38	;Disminuir por32.1%	; --%	;16	;Disminuir por38.5%	; --%	;
18	;(Sábado)2025/10/18	;15	;Disminuir por50.0%	; --%	;3	;Disminuir por62.5%	; --%	;18	;Disminuir por67.9%	; --%	;1	;Disminuir por88.9%	; --%	;38	;Disminuir por60.0%	; --%	;0	;Disminuir por100.0%	; --%	;53	;Disminuir por10.2%	; --%	;37	;Aumentar por27.6%	; --%	;
19	;(Domingo)2025/10/19	;14	;Disminuir por48.1%	; --%	;3	;Disminuir por25.0%	; --%	;19	;Disminuir por71.6%	; --%	;1	;Disminuir por90.0%	; --%	;46	;Disminuir por58.9%	; --%	;4	;Disminuir por60.0%	; --%	;35	;Disminuir por25.5%	; --%	;13	;Disminuir por31.6%	; --%	;
20	;(Lunes)2025/10/20	;21	;Aumentar por110.0%	; --%	;4	;Aumentar por33.3%	; --%	;42	;Aumentar por40.0%	; --%	;1	;Disminuir por83.3%	; --%	;84	;Aumentar por23.5%	; --%	;6	;Disminuir por14.3%	; --%	;35	;Aumentar por66.7%	; --%	;11	;Disminuir por8.3%	; --%	;
21	;(Martes)2025/10/21	;17	;Aumentar por325.0%	; --%	;2	; --%	; --%	;50	;Aumentar por284.6%	; --%	;4	;Aumentar por300.0%	; --%	;110	;Aumentar por124.5%	; --%	;13	;Aumentar por1200.0%	; --%	;32	;Aumentar por220.0%	; --%	;10	;Aumentar por25.0%	; --%	;
22	;(Miércoles)2025/10/22	;11	;Disminuir por47.6%	; --%	;1	;Disminuir por85.7%	; --%	;59	;Disminuir por21.3%	; --%	;8	;Disminuir por27.3%	; --%	;89	;Disminuir por15.2%	; --%	;10	;Disminuir por16.7%	; --%	;63	;Sin cambios	; --%	;29	;Aumentar por45.0%	; --%	;
23	;(Jueves)2025/10/23	;19	;Disminuir por32.1%	; --%	;1	;Disminuir por87.5%	; --%	;60	;Sin cambios	; --%	;11	;Sin cambios	; --%	;102	;Disminuir por2.9%	; --%	;6	;Aumentar por50.0%	; --%	;60	;Aumentar por42.9%	; --%	;21	;Aumentar por10.5%	; --%	;
24	;(Viernes)2025/10/24	;12	;Disminuir por69.2%	; --%	;1	;Disminuir por95.0%	; --%	;76	;Aumentar por58.3%	; --%	;8	;Aumentar por33.3%	; --%	;96	;Aumentar por4.3%	; --%	;10	;Aumentar por25.0%	; --%	;74	;Aumentar por7.2%	; --%	;52	;Aumentar por79.3%	; --%	;
25	;(Sábado)2025/10/25	;9	;Disminuir por57.1%	; --%	;0	;Disminuir por100.0%	; --%	;31	;Disminuir por54.4%	; --%	;2	;Disminuir por80.0%	; --%	;71	;Disminuir por36.0%	; --%	;3	;Disminuir por78.6%	; --%	;45	;Disminuir por42.3%	; --%	;15	;Disminuir por46.4%	; --%	;
26	;(Domingo)2025/10/26	;10	;Disminuir por28.6%	; --%	;1	;Sin cambios	; --%	;29	;Disminuir por62.8%	; --%	;5	;Disminuir por73.7%	; --%	;86	;Disminuir por33.8%	; --%	;3	;Disminuir por92.1%	; --%	;21	;Disminuir por94.0%	; --%	;6	;Disminuir por98.1%	; --%	;
27	;(Lunes)2025/10/27	;13	;Disminuir por7.1%	; --%	;1	;Disminuir por50.0%	; --%	;60	;Aumentar por15.4%	; --%	;15	;Aumentar por50.0%	; --%	;101	;Aumentar por7.4%	; --%	;23	;Aumentar por283.3%	; --%	;85	;Aumentar por142.9%	; --%	;57	;Aumentar por418.2%	; --%	;
28	;(Martes)2025/10/28	;20	;Aumentar por233.3%	; --%	;6	;Aumentar por500.0%	; --%	;70	;Aumentar por141.4%	; --%	;14	;Aumentar por1300.0%	; --%	;104	;Aumentar por23.8%	; --%	;12	;Aumentar por71.4%	; --%	;38	;Aumentar por72.7%	; --%	;15	;Aumentar por50.0%	; --%	;
29	;(Miércoles)2025/10/29	;11	;Disminuir por62.1%	; --%	;0	;Disminuir por100.0%	; --%	;59	;Aumentar por47.5%	; --%	;5	;Sin cambios	; --%	;108	;Disminuir por21.2%	; --%	;3	;Disminuir por87.5%	; --%	;18	;Disminuir por71.4%	; --%	;7	;Disminuir por85.1%	; --%	;
30	;(Jueves)2025/10/30	;24	;Aumentar por84.6%	; --%	;9	;Aumentar por800.0%	; --%	;62	;Disminuir por19.5%	; --%	;5	;Disminuir por54.5%	; --%	;124	;Aumentar por17.0%	; --%	;33	;Aumentar por371.4%	; --%	;61	;Aumentar por52.5%	; --%	;39	;Aumentar por333.3%	; --%	;
31	;(Viernes)2025/10/31	;20	; --%	; --%	;3	; --%	; --%	;56	; --%	; --%	;1	; --%	; --%	;105	; --%	; --%	;7	; --%	; --%	;30	; --%	; --%	;5	; --%	; --%	;
