Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:45:31	;
Operador: Touristcheck	;
Objetivo de estadísticas: C Mayor - Baluarte Del Principe	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
543656	;Disminuir por40.5%	;Aumentar por54.6%	;386888	;Disminuir por40.9%	;Aumentar por58.3%	;53923	;Aumentar por9.8%	;Aumentar por166.4%	;12946	;Aumentar por47.6%	;Aumentar por335.7%	;16214	;Disminuir por34.7%	;Aumentar por53.3%	;3708	;Disminuir por16.9%	;Aumentar por117.7%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;803	;Disminuir por92.5%	; --%	;461	;Disminuir por94.3%	; --%	;193	;Aumentar por67.8%	; --%	;33	;Aumentar por725.0%	; --%	;42	;Disminuir por67.7%	; --%	;11	;Disminuir por72.5%	; --%	;
2	;(Martes)2025/12/02	;676	;Disminuir por92.8%	; --%	;381	;Disminuir por94.9%	; --%	;241	;Aumentar por167.8%	; --%	;40	;Aumentar por566.7%	; --%	;55	;Disminuir por53.8%	; --%	;6	;Disminuir por88.0%	; --%	;
3	;(Miércoles)2025/12/03	;1031	;Disminuir por84.7%	; --%	;596	;Disminuir por87.6%	; --%	;254	;Aumentar por122.8%	; --%	;37	;Aumentar por1133.3%	; --%	;51	;Disminuir por45.7%	; --%	;11	;Disminuir por57.7%	; --%	;
4	;(Jueves)2025/12/04	;961	;Disminuir por62.1%	; --%	;560	;Disminuir por69.9%	; --%	;269	;Aumentar por4.7%	; --%	;20	;Aumentar por81.8%	; --%	;57	;Disminuir por27.8%	; --%	;7	;Sin cambios	; --%	;
5	;(Viernes)2025/12/05	;3053	;Disminuir por12.6%	; --%	;1265	;Disminuir por48.2%	; --%	;235	;Disminuir por17.0%	; --%	;40	;Disminuir por18.4%	; --%	;66	;Disminuir por32.0%	; --%	;18	;Aumentar por5.9%	; --%	;
6	;(Sábado)2025/12/06	;9760	;Aumentar por226.5%	; --%	;8504	;Aumentar por335.7%	; --%	;127	;Disminuir por51.3%	; --%	;17	;Disminuir por58.5%	; --%	;82	;Disminuir por34.9%	; --%	;55	;Aumentar por205.6%	; --%	;
7	;(Domingo)2025/12/07	;12043	;Aumentar por287.5%	; --%	;9069	;Aumentar por290.7%	; --%	;83	;Disminuir por69.4%	; --%	;10	;Disminuir por74.4%	; --%	;113	;Disminuir por18.1%	; --%	;78	;Aumentar por254.5%	; --%	;
8	;(Lunes)2025/12/08	;5448	;Aumentar por16.1%	; --%	;2942	;Disminuir por15.8%	; --%	;136	;Disminuir por31.0%	; --%	;27	;Aumentar por80.0%	; --%	;67	;Disminuir por39.1%	; --%	;37	;Aumentar por48.0%	; --%	;
9	;(Martes)2025/12/09	;1013	;Disminuir por79.2%	; --%	;546	;Disminuir por84.4%	; --%	;248	;Aumentar por62.1%	; --%	;44	;Aumentar por76.0%	; --%	;52	;Disminuir por17.5%	; --%	;6	;Disminuir por78.6%	; --%	;
10	;(Miércoles)2025/12/10	;876	;Aumentar por47.5%	; --%	;488	;Aumentar por41.9%	; --%	;191	;Aumentar por78.5%	; --%	;26	;Aumentar por30.0%	; --%	;50	;Aumentar por47.1%	; --%	;11	;Aumentar por175.0%	; --%	;
11	;(Jueves)2025/12/11	;919	;Disminuir por24.7%	; --%	;558	;Disminuir por41.5%	; --%	;210	;Aumentar por40.0%	; --%	;36	;Aumentar por24.1%	; --%	;60	;Disminuir por6.3%	; --%	;10	;Sin cambios	; --%	;
12	;(Viernes)2025/12/12	;1605	;Disminuir por33.5%	; --%	;701	;Disminuir por51.6%	; --%	;211	;Disminuir por26.5%	; --%	;13	;Disminuir por35.0%	; --%	;70	;Disminuir por34.6%	; --%	;5	;Disminuir por72.2%	; --%	;
13	;(Sábado)2025/12/13	;5544	;Disminuir por24.4%	; --%	;2614	;Disminuir por47.4%	; --%	;121	;Disminuir por4.7%	; --%	;7	;Aumentar por16.7%	; --%	;68	;Disminuir por33.3%	; --%	;14	;Disminuir por48.1%	; --%	;
14	;(Domingo)2025/12/14	;678	;Disminuir por90.2%	; --%	;537	;Disminuir por89.4%	; --%	;191	;Aumentar por3.2%	; --%	;35	;Aumentar por483.3%	; --%	;9	;Disminuir por90.3%	; --%	;2	;Disminuir por88.9%	; --%	;
15	;(Lunes)2025/12/15	;296	;Disminuir por95.6%	; --%	;273	;Disminuir por94.7%	; --%	;195	;Aumentar por27.5%	; --%	;14	;Aumentar por40.0%	; --%	;9	;Disminuir por93.1%	; --%	;3	;Disminuir por89.3%	; --%	;
16	;(Martes)2025/12/16	;343	;Disminuir por89.4%	; --%	;191	;Disminuir por92.1%	; --%	;207	;Aumentar por4.5%	; --%	;1	;Disminuir por97.6%	; --%	;27	;Disminuir por71.6%	; --%	;3	;Disminuir por88.5%	; --%	;
