Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:38:04	;
Operador: Touristcheck	;
Objetivo de estadísticas: C Saiz De Carlos	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
568026	;Disminuir por30.9%	;Aumentar por110.1%	;292491	;Disminuir por41.2%	;Aumentar por90.2%	;1254	;Disminuir por54.5%	;Aumentar por105.6%	;8940	;Disminuir por7.1%	;Aumentar por169.7%	;8552	;Disminuir por30.9%	;Aumentar por115.9%	;14968	;Disminuir por24.2%	;Aumentar por123.6%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;834	; --%	; --%	;338	; --%	; --%	;11	; --%	; --%	;33	; --%	; --%	;11	; --%	; --%	;29	; --%	; --%	;
2	;(Martes)2025/12/02	;730	; --%	; --%	;259	; --%	; --%	;2	; --%	; --%	;25	; --%	; --%	;14	; --%	; --%	;33	; --%	; --%	;
3	;(Miércoles)2025/12/03	;980	; --%	; --%	;401	; --%	; --%	;8	; --%	; --%	;26	; --%	; --%	;16	; --%	; --%	;16	; --%	; --%	;
4	;(Jueves)2025/12/04	;1187	; --%	; --%	;558	; --%	; --%	;2	; --%	; --%	;15	; --%	; --%	;15	; --%	; --%	;29	; --%	; --%	;
5	;(Viernes)2025/12/05	;5132	; --%	; --%	;2782	; --%	; --%	;3	; --%	; --%	;21	; --%	; --%	;51	; --%	; --%	;83	; --%	; --%	;
6	;(Sábado)2025/12/06	;17648	; --%	; --%	;12306	; --%	; --%	;0	; --%	; --%	;7	; --%	; --%	;83	; --%	; --%	;172	; --%	; --%	;
7	;(Domingo)2025/12/07	;20474	;Aumentar por1933.2%	; --%	;10900	;Aumentar por2878.1%	; --%	;0	; --%	; --%	;5	;Aumentar por400.0%	; --%	;79	;Aumentar por1216.7%	; --%	;91	;Aumentar por658.3%	; --%	;
8	;(Lunes)2025/12/08	;7192	;Aumentar por122.9%	; --%	;3161	;Aumentar por117.1%	; --%	;2	;Sin cambios	; --%	;14	;Disminuir por54.8%	; --%	;20	;Sin cambios	; --%	;35	;Disminuir por30.0%	; --%	;
9	;(Martes)2025/12/09	;1232	;Disminuir por49.1%	; --%	;599	;Disminuir por30.2%	; --%	;3	; --%	; --%	;24	;Disminuir por35.1%	; --%	;11	;Disminuir por8.3%	; --%	;28	;Aumentar por3.7%	; --%	;
10	;(Miércoles)2025/12/10	;1164	;Aumentar por241.3%	; --%	;535	;Aumentar por365.2%	; --%	;2	;Sin cambios	; --%	;24	;Disminuir por4.0%	; --%	;17	;Aumentar por1600.0%	; --%	;34	;Aumentar por183.3%	; --%	;
11	;(Jueves)2025/12/11	;1075	;Aumentar por165.4%	; --%	;485	;Aumentar por208.9%	; --%	;2	;Aumentar por100.0%	; --%	;22	;Aumentar por37.5%	; --%	;17	;Aumentar por142.9%	; --%	;37	;Aumentar por85.0%	; --%	;
12	;(Viernes)2025/12/12	;3212	;Aumentar por140.4%	; --%	;1977	;Aumentar por275.9%	; --%	;2	;Disminuir por66.7%	; --%	;26	;Disminuir por62.9%	; --%	;53	;Aumentar por51.4%	; --%	;55	;Sin cambios	; --%	;
13	;(Sábado)2025/12/13	;7210	;Aumentar por12.0%	; --%	;3193	;Aumentar por2.6%	; --%	;1	;Sin cambios	; --%	;9	;Disminuir por66.7%	; --%	;26	;Disminuir por67.9%	; --%	;30	;Disminuir por76.7%	; --%	;
14	;(Domingo)2025/12/14	;656	;Disminuir por88.3%	; --%	;366	;Disminuir por88.1%	; --%	;3	;Disminuir por81.3%	; --%	;22	;Disminuir por69.4%	; --%	;2	;Disminuir por94.9%	; --%	;16	;Disminuir por83.5%	; --%	;
15	;(Lunes)2025/12/15	;353	;Disminuir por94.7%	; --%	;135	;Disminuir por96.2%	; --%	;2	;Sin cambios	; --%	;45	;Aumentar por18.4%	; --%	;2	;Disminuir por97.3%	; --%	;3	;Disminuir por98.3%	; --%	;
