Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:46:08	;
Operador: Touristcheck	;
Objetivo de estadísticas: Calle Fulladosa	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
66971	;Disminuir por36.6%	;Aumentar por57.9%	;91129	;Disminuir por37.0%	;Aumentar por66.5%	;293	;Disminuir por25.6%	;Aumentar por78.7%	;3460	;Aumentar por4.9%	;Aumentar por171.8%	;2224	;Disminuir por19.7%	;Aumentar por95.9%	;4631	;Disminuir por20.8%	;Aumentar por116.6%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;83	;Disminuir por94.4%	; --%	;87	;Disminuir por94.7%	; --%	;0	;Disminuir por100.0%	; --%	;6	;Disminuir por14.3%	; --%	;6	;Disminuir por71.4%	; --%	;17	;Disminuir por22.7%	; --%	;
2	;(Martes)2025/12/02	;97	;Disminuir por91.2%	; --%	;87	;Disminuir por94.2%	; --%	;2	;Disminuir por33.3%	; --%	;16	;Aumentar por60.0%	; --%	;10	;Aumentar por25.0%	; --%	;19	;Disminuir por17.4%	; --%	;
3	;(Miércoles)2025/12/03	;127	;Disminuir por83.7%	; --%	;137	;Disminuir por84.5%	; --%	;1	; --%	; --%	;15	;Aumentar por275.0%	; --%	;3	;Disminuir por81.3%	; --%	;10	;Disminuir por52.4%	; --%	;
4	;(Jueves)2025/12/04	;176	;Disminuir por39.1%	; --%	;164	;Disminuir por45.5%	; --%	;1	; --%	; --%	;23	;Aumentar por91.7%	; --%	;4	;Disminuir por42.9%	; --%	;15	;Aumentar por50.0%	; --%	;
5	;(Viernes)2025/12/05	;258	;Disminuir por35.0%	; --%	;265	;Disminuir por41.9%	; --%	;3	; --%	; --%	;18	;Aumentar por100.0%	; --%	;4	;Disminuir por55.6%	; --%	;18	;Aumentar por20.0%	; --%	;
6	;(Sábado)2025/12/06	;574	;Aumentar por47.9%	; --%	;1011	;Aumentar por136.8%	; --%	;1	;Sin cambios	; --%	;10	;Disminuir por41.2%	; --%	;8	;Aumentar por33.3%	; --%	;35	;Aumentar por52.2%	; --%	;
7	;(Domingo)2025/12/07	;825	;Aumentar por133.7%	; --%	;1259	;Aumentar por169.6%	; --%	;0	;Disminuir por100.0%	; --%	;7	;Disminuir por68.2%	; --%	;16	;Aumentar por128.6%	; --%	;40	;Aumentar por73.9%	; --%	;
8	;(Lunes)2025/12/08	;253	;Disminuir por61.8%	; --%	;313	;Disminuir por54.7%	; --%	;0	; --%	; --%	;3	;Disminuir por70.0%	; --%	;10	;Disminuir por23.1%	; --%	;21	;Disminuir por22.2%	; --%	;
9	;(Martes)2025/12/09	;173	;Disminuir por66.1%	; --%	;117	;Disminuir por84.0%	; --%	;0	; --%	; --%	;15	;Aumentar por200.0%	; --%	;2	;Disminuir por33.3%	; --%	;14	;Disminuir por12.5%	; --%	;
10	;(Miércoles)2025/12/10	;109	;Aumentar por21.1%	; --%	;118	;Aumentar por9.3%	; --%	;1	;Disminuir por50.0%	; --%	;14	;Aumentar por100.0%	; --%	;8	;Aumentar por700.0%	; --%	;14	;Aumentar por55.6%	; --%	;
11	;(Jueves)2025/12/11	;129	;Aumentar por21.7%	; --%	;143	;Aumentar por13.5%	; --%	;1	; --%	; --%	;14	;Aumentar por100.0%	; --%	;6	;Aumentar por200.0%	; --%	;16	;Aumentar por45.5%	; --%	;
12	;(Viernes)2025/12/12	;169	;Disminuir por40.5%	; --%	;184	;Disminuir por53.4%	; --%	;2	;Aumentar por100.0%	; --%	;16	;Disminuir por42.9%	; --%	;6	;Disminuir por25.0%	; --%	;15	;Disminuir por31.8%	; --%	;
13	;(Sábado)2025/12/13	;367	;Disminuir por60.9%	; --%	;557	;Disminuir por54.8%	; --%	;1	; --%	; --%	;8	;Aumentar por166.7%	; --%	;6	;Disminuir por14.3%	; --%	;21	;Aumentar por31.3%	; --%	;
14	;(Domingo)2025/12/14	;105	;Disminuir por91.5%	; --%	;163	;Disminuir por89.2%	; --%	;1	;Disminuir por66.7%	; --%	;12	;Disminuir por20.0%	; --%	;1	;Disminuir por96.8%	; --%	;6	;Disminuir por89.8%	; --%	;
15	;(Lunes)2025/12/15	;94	;Disminuir por89.5%	; --%	;91	;Disminuir por91.7%	; --%	;3	;Aumentar por200.0%	; --%	;17	;Aumentar por112.5%	; --%	;0	;Disminuir por100.0%	; --%	;4	;Disminuir por76.5%	; --%	;
