Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2025/12/02 18:48:48	;
Operador: Touristcheck	;
Objetivo de estadísticas: Calle LLevant	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/11/01 00:00:00 - 2025/11/30 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
23608	;Disminuir por40.1%	; --%	;18109	;Disminuir por46.9%	; --%	;28669	;Disminuir por18.8%	; --%	;21639	;Disminuir por24.4%	; --%	;5125	;Disminuir por26.5%	; --%	;3861	;Disminuir por49.2%	; --%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Sábado)2025/11/01	;1324	;Aumentar por11.6%	; --%	;961	;Aumentar por3.3%	; --%	;1059	;Aumentar por6.0%	; --%	;747	;Disminuir por5.7%	; --%	;269	;Disminuir por15.4%	; --%	;210	;Aumentar por5.5%	; --%	;
2	;(Domingo)2025/11/02	;1130	;Aumentar por19.3%	; --%	;811	;Aumentar por12.3%	; --%	;952	;Disminuir por1.2%	; --%	;651	;Disminuir por9.7%	; --%	;212	;Disminuir por32.9%	; --%	;183	;Disminuir por24.1%	; --%	;
3	;(Lunes)2025/11/03	;595	;Disminuir por36.9%	; --%	;427	;Disminuir por40.7%	; --%	;885	;Disminuir por20.4%	; --%	;641	;Disminuir por27.8%	; --%	;228	;Disminuir por36.3%	; --%	;177	;Disminuir por31.4%	; --%	;
4	;(Martes)2025/11/04	;508	;Disminuir por71.8%	; --%	;432	;Disminuir por66.1%	; --%	;774	;Disminuir por37.8%	; --%	;558	;Disminuir por32.7%	; --%	;172	;Disminuir por53.0%	; --%	;139	;Disminuir por44.6%	; --%	;
5	;(Miércoles)2025/11/05	;528	;Disminuir por64.8%	; --%	;453	;Disminuir por58.7%	; --%	;769	;Disminuir por31.7%	; --%	;561	;Disminuir por31.4%	; --%	;158	;Disminuir por50.6%	; --%	;91	;Disminuir por63.6%	; --%	;
6	;(Jueves)2025/11/06	;458	;Disminuir por56.2%	; --%	;369	;Disminuir por60.1%	; --%	;785	;Disminuir por36.5%	; --%	;603	;Disminuir por28.1%	; --%	;135	;Disminuir por55.6%	; --%	;100	;Disminuir por52.6%	; --%	;
7	;(Viernes)2025/11/07	;638	;Disminuir por31.3%	; --%	;489	;Disminuir por28.5%	; --%	;862	;Disminuir por8.4%	; --%	;618	;Disminuir por6.8%	; --%	;202	;Disminuir por29.9%	; --%	;174	;Disminuir por25.0%	; --%	;
8	;(Sábado)2025/11/08	;932	;Aumentar por37.5%	; --%	;641	;Aumentar por45.7%	; --%	;941	;Aumentar por12.7%	; --%	;721	;Aumentar por28.1%	; --%	;158	;Disminuir por29.1%	; --%	;96	;Disminuir por42.5%	; --%	;
9	;(Domingo)2025/11/09	;937	;Aumentar por1.4%	; --%	;747	;Aumentar por0.3%	; --%	;922	;Aumentar por7.3%	; --%	;651	;Disminuir por7.9%	; --%	;229	;Aumentar por12.3%	; --%	;181	;Aumentar por20.7%	; --%	;
10	;(Lunes)2025/11/10	;542	;Disminuir por65.1%	; --%	;462	;Disminuir por63.2%	; --%	;895	;Disminuir por28.9%	; --%	;621	;Disminuir por39.1%	; --%	;205	;Aumentar por28.1%	; --%	;152	;Aumentar por19.7%	; --%	;
11	;(Martes)2025/11/11	;550	;Disminuir por32.7%	; --%	;460	;Disminuir por34.8%	; --%	;754	;Disminuir por30.8%	; --%	;562	;Disminuir por43.6%	; --%	;173	;Aumentar por293.2%	; --%	;155	;Aumentar por638.1%	; --%	;
12	;(Miércoles)2025/11/12	;602	;Disminuir por37.1%	; --%	;480	;Disminuir por46.9%	; --%	;750	;Disminuir por18.7%	; --%	;550	;Disminuir por40.1%	; --%	;175	;Aumentar por143.1%	; --%	;136	;Aumentar por177.6%	; --%	;
13	;(Jueves)2025/11/13	;734	;Aumentar por2.7%	; --%	;605	;Aumentar por4.7%	; --%	;802	;Disminuir por90.6%	; --%	;625	;Disminuir por92.5%	; --%	;186	;Aumentar por51.2%	; --%	;147	;Aumentar por41.3%	; --%	;
14	;(Viernes)2025/11/14	;768	;Disminuir por16.4%	; --%	;617	;Disminuir por25.6%	; --%	;907	;Disminuir por17.3%	; --%	;675	;Disminuir por22.1%	; --%	;199	;Disminuir por33.2%	; --%	;147	;Disminuir por29.7%	; --%	;
15	;(Sábado)2025/11/15	;972	;Aumentar por10.6%	; --%	;722	;Disminuir por19.9%	; --%	;954	;Disminuir por18.0%	; --%	;673	;Disminuir por12.8%	; --%	;190	;Disminuir por42.2%	; --%	;146	;Disminuir por38.9%	; --%	;
16	;(Domingo)2025/11/16	;704	;Disminuir por3.8%	; --%	;611	;Disminuir por20.5%	; --%	;843	;Aumentar por115.6%	; --%	;628	;Aumentar por96.9%	; --%	;210	;Aumentar por21.4%	; --%	;159	;Disminuir por29.3%	; --%	;
17	;(Lunes)2025/11/17	;511	;Disminuir por78.7%	; --%	;484	;Disminuir por86.2%	; --%	;814	;Aumentar por354.7%	; --%	;590	;Aumentar por220.7%	; --%	;190	;Aumentar por65.2%	; --%	;143	;Disminuir por76.0%	; --%	;
18	;(Martes)2025/11/18	;453	;Disminuir por93.7%	; --%	;342	;Disminuir por95.7%	; --%	;677	;Aumentar por25.1%	; --%	;559	;Aumentar por4.9%	; --%	;177	;Disminuir por42.3%	; --%	;116	;Disminuir por90.9%	; --%	;
19	;(Miércoles)2025/11/19	;496	;Disminuir por83.7%	; --%	;418	;Disminuir por67.2%	; --%	;728	;Aumentar por369.7%	; --%	;535	;Aumentar por282.1%	; --%	;129	;Aumentar por61.3%	; --%	;88	;Disminuir por87.3%	; --%	;
20	;(Jueves)2025/11/20	;471	;Disminuir por60.8%	; --%	;371	;Disminuir por61.2%	; --%	;3308	;Aumentar por188.4%	; --%	;3150	;Aumentar por270.2%	; --%	;137	;Disminuir por54.9%	; --%	;93	;Disminuir por67.6%	; --%	;
21	;(Viernes)2025/11/21	;485	;Disminuir por48.5%	; --%	;559	;Disminuir por32.3%	; --%	;963	;Disminuir por8.8%	; --%	;703	;Disminuir por7.5%	; --%	;85	;Disminuir por69.5%	; --%	;70	;Disminuir por69.8%	; --%	;
22	;(Sábado)2025/11/22	;1447	;Aumentar por59.5%	; --%	;984	;Aumentar por37.0%	; --%	;1180	;Aumentar por27.3%	; --%	;808	;Aumentar por11.3%	; --%	;115	;Disminuir por58.8%	; --%	;73	;Disminuir por68.8%	; --%	;
23	;(Domingo)2025/11/23	;1088	;Aumentar por18.9%	; --%	;893	;Aumentar por42.0%	; --%	;903	;Disminuir por0.3%	; --%	;642	;Disminuir por11.0%	; --%	;168	;Disminuir por23.3%	; --%	;176	;Aumentar por1.7%	; --%	;
24	;(Lunes)2025/11/24	;537	;Disminuir por40.5%	; --%	;538	;Disminuir por18.6%	; --%	;824	;Disminuir por24.5%	; --%	;641	;Disminuir por14.4%	; --%	;163	;Disminuir por40.3%	; --%	;116	;Disminuir por47.0%	; --%	;
25	;(Martes)2025/11/25	;497	;Disminuir por67.5%	; --%	;373	;Disminuir por63.5%	; --%	;694	;Disminuir por40.3%	; --%	;545	;Disminuir por26.0%	; --%	;107	;Disminuir por64.5%	; --%	;80	;Disminuir por65.1%	; --%	;
26	;(Miércoles)2025/11/26	;336	;Disminuir por66.4%	; --%	;290	;Disminuir por66.4%	; --%	;716	;Disminuir por27.1%	; --%	;531	;Disminuir por38.4%	; --%	;84	;Disminuir por29.4%	; --%	;57	;Disminuir por16.2%	; --%	;
27	;(Jueves)2025/11/27	;599	;Aumentar por17.9%	; --%	;374	;Disminuir por8.1%	; --%	;768	;Aumentar por1.5%	; --%	;578	;Aumentar por13.6%	; --%	;127	;Disminuir por24.0%	; --%	;93	;Disminuir por44.6%	; --%	;
28	;(Viernes)2025/11/28	;1470	; --%	; --%	;867	; --%	; --%	;1031	;Aumentar por51450.0%	; --%	;731	;Aumentar por73000.0%	; --%	;191	; --%	; --%	;131	;Aumentar por13000.0%	; --%	;
29	;(Sábado)2025/11/29	;1907	;Aumentar por118.2%	; --%	;1224	;Aumentar por88.9%	; --%	;1211	;Aumentar por45.7%	; --%	;841	;Aumentar por42.8%	; --%	;186	;Disminuir por1.6%	; --%	;121	;Disminuir por24.8%	; --%	;
30	;(Domingo)2025/11/30	;1389	;Aumentar por121.9%	; --%	;1105	;Aumentar por130.2%	; --%	;998	;Aumentar por34.7%	; --%	;700	;Aumentar por23.7%	; --%	;165	;Disminuir por23.6%	; --%	;111	;Disminuir por31.1%	; --%	;

Exportar contenido:Subtipos de vehículos a motor	;
Hora del informe: 2025/11/01 00:00:00 - 2025/11/30 23:59:59	;

N.º	;Hora	;Autobuses	; 	; 	; 	; 	; 	;Monovolúmenes	; 	; 	; 	; 	; 	;Sedanes pequeños	; 	; 	; 	; 	; 	;Camiones	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Sábado)2025/11/01	;32	;Disminuir por58.4%	; --%	;5	;Disminuir por84.4%	; --%	;50	;Disminuir por20.6%	; --%	;56	;Disminuir por42.9%	; --%	;963	;Aumentar por16.9%	; --%	;669	;Aumentar por6.7%	; --%	;11	;Disminuir por71.8%	; --%	;14	;Disminuir por61.1%	; --%	;
2	;(Domingo)2025/11/02	;42	;Disminuir por19.2%	; --%	;15	;Disminuir por44.4%	; --%	;35	;Disminuir por37.5%	; --%	;36	;Disminuir por50.0%	; --%	;873	;Aumentar por5.1%	; --%	;591	;Disminuir por0.2%	; --%	;5	;Disminuir por80.0%	; --%	;9	;Disminuir por71.0%	; --%	;
3	;(Lunes)2025/11/03	;36	;Disminuir por25.0%	; --%	;6	;Disminuir por57.1%	; --%	;81	;Aumentar por30.6%	; --%	;98	;Disminuir por19.0%	; --%	;745	;Disminuir por22.6%	; --%	;518	;Disminuir por26.9%	; --%	;22	;Disminuir por43.6%	; --%	;18	;Disminuir por59.1%	; --%	;
4	;(Martes)2025/11/04	;38	;Disminuir por30.9%	; --%	;3	;Disminuir por83.3%	; --%	;55	;Aumentar por31.0%	; --%	;76	;Sin cambios	; --%	;667	;Disminuir por40.6%	; --%	;454	;Disminuir por36.1%	; --%	;16	;Disminuir por30.4%	; --%	;27	;Aumentar por17.4%	; --%	;
5	;(Miércoles)2025/11/05	;34	;Disminuir por19.0%	; --%	;5	;Disminuir por76.2%	; --%	;55	;Aumentar por66.7%	; --%	;66	;Aumentar por65.0%	; --%	;664	;Disminuir por35.8%	; --%	;471	;Disminuir por36.6%	; --%	;16	;Sin cambios	; --%	;19	;Aumentar por58.3%	; --%	;
6	;(Jueves)2025/11/06	;51	;Aumentar por8.5%	; --%	;16	;Aumentar por14.3%	; --%	;57	;Disminuir por16.2%	; --%	;77	;Disminuir por14.4%	; --%	;659	;Disminuir por39.7%	; --%	;492	;Disminuir por30.6%	; --%	;18	;Disminuir por35.7%	; --%	;18	;Disminuir por33.3%	; --%	;
7	;(Viernes)2025/11/07	;43	;Disminuir por6.5%	; --%	;20	;Aumentar por33.3%	; --%	;66	;Aumentar por1.5%	; --%	;101	;Aumentar por36.5%	; --%	;736	;Disminuir por8.6%	; --%	;470	;Disminuir por14.2%	; --%	;14	;Disminuir por44.0%	; --%	;22	;Disminuir por12.0%	; --%	;
8	;(Sábado)2025/11/08	;31	;Disminuir por31.1%	; --%	;11	;Disminuir por8.3%	; --%	;28	;Disminuir por61.1%	; --%	;55	;Disminuir por21.4%	; --%	;876	;Aumentar por27.9%	; --%	;646	;Aumentar por46.2%	; --%	;9	;Disminuir por71.9%	; --%	;13	;Disminuir por62.9%	; --%	;
9	;(Domingo)2025/11/09	;34	;Disminuir por2.9%	; --%	;5	;Disminuir por70.6%	; --%	;31	;Disminuir por22.5%	; --%	;37	;Disminuir por41.3%	; --%	;853	;Aumentar por11.4%	; --%	;602	;Disminuir por0.8%	; --%	;4	;Disminuir por81.8%	; --%	;8	;Disminuir por61.9%	; --%	;
10	;(Lunes)2025/11/10	;40	;Disminuir por35.5%	; --%	;12	;Disminuir por64.7%	; --%	;103	;Aumentar por90.7%	; --%	;115	;Aumentar por15.0%	; --%	;731	;Disminuir por32.5%	; --%	;475	;Disminuir por42.1%	; --%	;21	;Disminuir por63.8%	; --%	;18	;Disminuir por71.0%	; --%	;
11	;(Martes)2025/11/11	;37	;Disminuir por9.8%	; --%	;7	;Disminuir por61.1%	; --%	;60	;Aumentar por140.0%	; --%	;78	;Aumentar por47.2%	; --%	;643	;Disminuir por35.9%	; --%	;461	;Disminuir por49.2%	; --%	;14	;Disminuir por22.2%	; --%	;16	;Disminuir por11.1%	; --%	;
12	;(Miércoles)2025/11/12	;37	;Disminuir por19.6%	; --%	;4	;Disminuir por84.6%	; --%	;61	;Aumentar por205.0%	; --%	;99	;Aumentar por115.2%	; --%	;636	;Disminuir por25.1%	; --%	;434	;Disminuir por47.6%	; --%	;16	;Aumentar por77.8%	; --%	;13	;Disminuir por35.0%	; --%	;
13	;(Jueves)2025/11/13	;39	;Disminuir por99.5%	; --%	;5	;Disminuir por99.9%	; --%	;53	;Disminuir por69.5%	; --%	;93	;Disminuir por59.7%	; --%	;685	;Disminuir por32.6%	; --%	;503	;Disminuir por38.4%	; --%	;18	;Disminuir por89.5%	; --%	;16	;Disminuir por90.5%	; --%	;
14	;(Viernes)2025/11/14	;39	;Disminuir por27.8%	; --%	;9	;Disminuir por47.1%	; --%	;83	;Aumentar por36.1%	; --%	;113	;Aumentar por18.9%	; --%	;750	;Disminuir por21.7%	; --%	;513	;Disminuir por29.5%	; --%	;37	;Aumentar por48.0%	; --%	;43	;Aumentar por87.0%	; --%	;
15	;(Sábado)2025/11/15	;43	;Disminuir por48.8%	; --%	;13	;Disminuir por56.7%	; --%	;39	;Disminuir por48.0%	; --%	;62	;Disminuir por32.6%	; --%	;862	;Disminuir por10.7%	; --%	;588	;Disminuir por4.4%	; --%	;7	;Disminuir por82.5%	; --%	;5	;Disminuir por85.7%	; --%	;
16	;(Domingo)2025/11/16	;38	;Aumentar por280.0%	; --%	;11	;Aumentar por83.3%	; --%	;34	;Disminuir por29.2%	; --%	;55	;Disminuir por27.6%	; --%	;767	;Aumentar por159.1%	; --%	;560	;Aumentar por165.4%	; --%	;6	;Disminuir por83.8%	; --%	;6	;Disminuir por76.0%	; --%	;
17	;(Lunes)2025/11/17	;31	;Aumentar por675.0%	; --%	;5	;Aumentar por150.0%	; --%	;58	;Aumentar por176.2%	; --%	;90	;Aumentar por83.7%	; --%	;714	;Aumentar por471.2%	; --%	;485	;Aumentar por336.9%	; --%	;17	;Disminuir por41.4%	; --%	;15	;Disminuir por31.8%	; --%	;
18	;(Martes)2025/11/18	;33	;Disminuir por23.3%	; --%	;5	;Disminuir por86.8%	; --%	;68	;Disminuir por38.2%	; --%	;86	;Disminuir por20.4%	; --%	;548	;Aumentar por368.4%	; --%	;445	;Aumentar por258.9%	; --%	;20	;Disminuir por90.0%	; --%	;17	;Disminuir por91.3%	; --%	;
19	;(Miércoles)2025/11/19	;35	;Aumentar por600.0%	; --%	;2	;Disminuir por33.3%	; --%	;74	;Aumentar por469.2%	; --%	;87	;Aumentar por190.0%	; --%	;606	;Aumentar por417.9%	; --%	;432	;Aumentar por374.7%	; --%	;21	;Aumentar por5.0%	; --%	;19	;Aumentar por18.8%	; --%	;
20	;(Jueves)2025/11/20	;857	;Aumentar por1940.5%	; --%	;826	;Aumentar por4758.8%	; --%	;421	;Aumentar por679.6%	; --%	;459	;Aumentar por273.2%	; --%	;607	;Disminuir por39.6%	; --%	;443	;Disminuir por33.8%	; --%	;1423	;Aumentar por2993.5%	; --%	;1422	;Aumentar por3455.0%	; --%	;
21	;(Viernes)2025/11/21	;31	;Disminuir por43.6%	; --%	;10	;Disminuir por60.0%	; --%	;119	;Aumentar por108.8%	; --%	;124	;Aumentar por61.0%	; --%	;775	;Disminuir por14.1%	; --%	;544	;Disminuir por12.5%	; --%	;36	;Disminuir por12.2%	; --%	;23	;Disminuir por30.3%	; --%	;
22	;(Sábado)2025/11/22	;35	;Disminuir por20.5%	; --%	;12	;Aumentar por9.1%	; --%	;60	;Aumentar por1.7%	; --%	;60	;Disminuir por38.8%	; --%	;1072	;Aumentar por34.3%	; --%	;716	;Aumentar por20.7%	; --%	;15	;Disminuir por42.3%	; --%	;19	;Disminuir por17.4%	; --%	;
23	;(Domingo)2025/11/23	;34	;Disminuir por19.0%	; --%	;9	;Disminuir por25.0%	; --%	;40	;Disminuir por23.1%	; --%	;38	;Disminuir por57.8%	; --%	;823	;Aumentar por6.3%	; --%	;587	;Aumentar por1.9%	; --%	;5	;Disminuir por85.7%	; --%	;9	;Disminuir por76.9%	; --%	;
24	;(Lunes)2025/11/24	;34	;Disminuir por33.3%	; --%	;5	;Disminuir por58.3%	; --%	;63	;Aumentar por12.5%	; --%	;109	;Aumentar por49.3%	; --%	;698	;Disminuir por25.9%	; --%	;499	;Disminuir por21.7%	; --%	;25	;Disminuir por41.9%	; --%	;24	;Disminuir por7.7%	; --%	;
25	;(Martes)2025/11/25	;33	;Aumentar por10.0%	; --%	;2	;Disminuir por75.0%	; --%	;53	;Aumentar por29.3%	; --%	;85	;Aumentar por49.1%	; --%	;582	;Disminuir por45.6%	; --%	;433	;Disminuir por33.8%	; --%	;26	;Aumentar por18.2%	; --%	;23	;Aumentar por27.8%	; --%	;
26	;(Miércoles)2025/11/26	;32	;Disminuir por11.1%	; --%	;2	;Disminuir por75.0%	; --%	;67	;Aumentar por139.3%	; --%	;85	;Aumentar por51.8%	; --%	;595	;Disminuir por34.0%	; --%	;420	;Disminuir por45.6%	; --%	;22	;Aumentar por29.4%	; --%	;23	;Disminuir por8.0%	; --%	;
27	;(Jueves)2025/11/27	;34	;Disminuir por10.5%	; --%	;9	;Disminuir por35.7%	; --%	;76	;Aumentar por8.6%	; --%	;112	;Aumentar por12.0%	; --%	;640	;Aumentar por1.6%	; --%	;442	;Aumentar por17.6%	; --%	;17	;Sin cambios	; --%	;17	;Disminuir por5.6%	; --%	;
28	;(Viernes)2025/11/28	;36	; --%	; --%	;9	; --%	; --%	;89	; --%	; --%	;124	;Aumentar por12300.0%	; --%	;874	;Aumentar por43600.0%	; --%	;571	; --%	; --%	;33	; --%	; --%	;26	; --%	; --%	;
29	;(Sábado)2025/11/29	;32	;Disminuir por25.6%	; --%	;4	;Disminuir por50.0%	; --%	;43	;Disminuir por29.5%	; --%	;66	;Disminuir por26.7%	; --%	;1113	;Aumentar por61.1%	; --%	;751	;Aumentar por65.1%	; --%	;10	;Disminuir por71.4%	; --%	;6	;Disminuir por81.8%	; --%	;
30	;(Domingo)2025/11/30	;32	;Disminuir por8.6%	; --%	;6	;Disminuir por33.3%	; --%	;26	;Disminuir por58.1%	; --%	;42	;Disminuir por50.0%	; --%	;944	;Aumentar por54.0%	; --%	;658	;Aumentar por46.5%	; --%	;6	;Disminuir por80.6%	; --%	;4	;Disminuir por82.6%	; --%	;
