Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:46:42	;
Operador: Touristcheck	;
Objetivo de estadísticas: Calle LLevant	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
239701	;Disminuir por35.6%	;Aumentar por91.8%	;181440	;Disminuir por35.4%	;Aumentar por93.1%	;300959	;Aumentar por1.7%	;Aumentar por190.5%	;171012	;Disminuir por8.3%	;Aumentar por160.1%	;47110	;Disminuir por35.1%	;Aumentar por76.8%	;30060	;Disminuir por46.8%	;Aumentar por55.2%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;668	; --%	; --%	;517	; --%	; --%	;879	; --%	; --%	;688	; --%	; --%	;164	; --%	; --%	;115	; --%	; --%	;
2	;(Martes)2025/12/02	;552	; --%	; --%	;468	; --%	; --%	;810	; --%	; --%	;655	; --%	; --%	;138	; --%	; --%	;123	; --%	; --%	;
3	;(Miércoles)2025/12/03	;521	; --%	; --%	;462	; --%	; --%	;870	; --%	; --%	;710	; --%	; --%	;132	; --%	; --%	;83	; --%	; --%	;
4	;(Jueves)2025/12/04	;587	; --%	; --%	;461	; --%	; --%	;924	; --%	; --%	;703	; --%	; --%	;129	; --%	; --%	;101	; --%	; --%	;
5	;(Viernes)2025/12/05	;1181	; --%	; --%	;761	; --%	; --%	;1108	; --%	; --%	;924	; --%	; --%	;150	; --%	; --%	;115	; --%	; --%	;
6	;(Sábado)2025/12/06	;2851	; --%	; --%	;1720	; --%	; --%	;2074	; --%	; --%	;1307	; --%	; --%	;215	; --%	; --%	;202	; --%	; --%	;
7	;(Domingo)2025/12/07	;3837	;Aumentar por187.8%	; --%	;2084	;Aumentar por120.8%	; --%	;1841	;Aumentar por39.8%	; --%	;859	;Disminuir por1.6%	; --%	;259	;Disminuir por11.6%	; --%	;188	;Disminuir por14.2%	; --%	;
8	;(Lunes)2025/12/08	;1952	;Aumentar por6.0%	; --%	;1411	;Aumentar por24.2%	; --%	;1592	;Aumentar por13.9%	; --%	;958	;Aumentar por8.9%	; --%	;199	;Disminuir por36.4%	; --%	;153	;Disminuir por35.7%	; --%	;
9	;(Martes)2025/12/09	;625	;Disminuir por60.2%	; --%	;471	;Disminuir por61.0%	; --%	;850	;Disminuir por35.6%	; --%	;673	;Disminuir por4.5%	; --%	;139	;Disminuir por49.1%	; --%	;105	;Disminuir por50.5%	; --%	;
10	;(Miércoles)2025/12/10	;504	;Aumentar por27.0%	; --%	;388	;Aumentar por61.0%	; --%	;751	;Aumentar por29.0%	; --%	;564	;Aumentar por55.4%	; --%	;154	;Aumentar por24.2%	; --%	;98	;Aumentar por75.0%	; --%	;
11	;(Jueves)2025/12/11	;475	;Aumentar por12.8%	; --%	;425	;Aumentar por11.8%	; --%	;754	;Aumentar por24.2%	; --%	;608	;Aumentar por33.0%	; --%	;115	;Disminuir por24.8%	; --%	;96	;Disminuir por17.9%	; --%	;
12	;(Viernes)2025/12/12	;853	;Aumentar por4.5%	; --%	;739	;Aumentar por9.3%	; --%	;936	;Disminuir por21.5%	; --%	;755	;Disminuir por13.8%	; --%	;117	;Disminuir por58.1%	; --%	;98	;Disminuir por43.7%	; --%	;
13	;(Sábado)2025/12/13	;1383	;Disminuir por39.2%	; --%	;1061	;Disminuir por40.2%	; --%	;1107	;Disminuir por37.0%	; --%	;802	;Disminuir por12.4%	; --%	;124	;Disminuir por65.0%	; --%	;84	;Disminuir por67.3%	; --%	;
14	;(Domingo)2025/12/14	;430	;Disminuir por78.2%	; --%	;417	;Disminuir por69.5%	; --%	;706	;Disminuir por59.9%	; --%	;525	;Disminuir por48.9%	; --%	;27	;Disminuir por89.2%	; --%	;17	;Disminuir por86.6%	; --%	;
15	;(Lunes)2025/12/15	;339	;Disminuir por84.2%	; --%	;319	;Disminuir por80.3%	; --%	;719	;Disminuir por56.9%	; --%	;641	;Disminuir por19.0%	; --%	;19	;Disminuir por95.7%	; --%	;20	;Disminuir por92.8%	; --%	;
16	;(Martes)2025/12/16	;314	;Disminuir por81.5%	; --%	;284	;Disminuir por79.1%	; --%	;717	;Disminuir por42.8%	; --%	;564	;Disminuir por32.0%	; --%	;46	;Disminuir por83.6%	; --%	;33	;Disminuir por85.1%	; --%	;
17	;(Miércoles)2025/12/17	;262	;Disminuir por69.8%	; --%	;273	;Disminuir por64.0%	; --%	;644	;Disminuir por47.3%	; --%	;621	;Disminuir por29.5%	; --%	;9	;Disminuir por96.7%	; --%	;17	;Disminuir por91.1%	; --%	;
18	;(Jueves)2025/12/18	;479	;Disminuir por33.1%	; --%	;343	;Disminuir por41.7%	; --%	;711	;Disminuir por24.7%	; --%	;612	;Disminuir por13.9%	; --%	;108	;Disminuir por56.1%	; --%	;90	;Disminuir por49.4%	; --%	;
19	;(Viernes)2025/12/19	;656	;Disminuir por21.7%	; --%	;451	;Disminuir por38.2%	; --%	;904	;Disminuir por16.0%	; --%	;756	;Disminuir por1.4%	; --%	;121	;Disminuir por52.4%	; --%	;99	;Disminuir por46.2%	; --%	;
20	;(Sábado)2025/12/20	;1355	;Aumentar por77.6%	; --%	;913	;Aumentar por19.3%	; --%	;1027	;Aumentar por7.7%	; --%	;785	;Aumentar por9.0%	; --%	;161	;Aumentar por2.5%	; --%	;104	;Disminuir por6.3%	; --%	;
21	;(Domingo)2025/12/21	;1183	;Aumentar por36.1%	; --%	;990	;Aumentar por32.4%	; --%	;965	;Disminuir por12.3%	; --%	;672	;Disminuir por0.1%	; --%	;118	;Disminuir por58.9%	; --%	;101	;Disminuir por50.0%	; --%	;
22	;(Lunes)2025/12/22	;625	;Disminuir por50.8%	; --%	;482	;Disminuir por45.1%	; --%	;1029	;Disminuir por13.2%	; --%	;719	;Disminuir por11.2%	; --%	;151	;Disminuir por30.4%	; --%	;102	;Disminuir por40.0%	; --%	;
23	;(Martes)2025/12/23	;537	;Disminuir por54.3%	; --%	;373	;Disminuir por62.3%	; --%	;871	;Disminuir por20.2%	; --%	;632	;Disminuir por5.4%	; --%	;81	;Disminuir por70.4%	; --%	;88	;Disminuir por56.4%	; --%	;
