Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:47:14	;
Operador: Touristcheck	;
Objetivo de estadísticas: Casco Antiguo - Marcelino Roca	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
494831	;Aumentar por14.5%	;Aumentar por214.0%	;600072	;Disminuir por5.3%	;Aumentar por159.8%	;47727	;Disminuir por13.0%	;Aumentar por142.5%	;554	;Disminuir por93.6%	;Aumentar por172.9%	;33978	;Disminuir por27.0%	;Aumentar por76.6%	;13537	;Disminuir por41.3%	;Aumentar por56.4%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;945	;Disminuir por78.4%	; --%	;1065	;Disminuir por86.2%	; --%	;213	;Aumentar por60.2%	; --%	;1	;Sin cambios	; --%	;107	;Disminuir por56.3%	; --%	;42	;Disminuir por67.4%	; --%	;
2	;(Martes)2025/12/02	;828	;Disminuir por78.4%	; --%	;954	;Disminuir por85.9%	; --%	;235	;Aumentar por135.0%	; --%	;1	;Sin cambios	; --%	;113	;Disminuir por50.2%	; --%	;38	;Disminuir por71.4%	; --%	;
3	;(Miércoles)2025/12/03	;1071	;Disminuir por62.3%	; --%	;1130	;Disminuir por73.9%	; --%	;252	;Aumentar por82.6%	; --%	;2	; --%	; --%	;102	;Disminuir por53.6%	; --%	;43	;Disminuir por64.8%	; --%	;
4	;(Jueves)2025/12/04	;953	;Disminuir por27.8%	; --%	;1056	;Disminuir por42.6%	; --%	;267	;Disminuir por8.9%	; --%	;1	;Sin cambios	; --%	;104	;Disminuir por20.6%	; --%	;41	;Disminuir por22.6%	; --%	;
5	;(Viernes)2025/12/05	;1811	;Aumentar por4.2%	; --%	;2025	;Disminuir por10.7%	; --%	;213	;Disminuir por17.1%	; --%	;0	; --%	; --%	;112	;Disminuir por46.9%	; --%	;54	;Disminuir por47.1%	; --%	;
6	;(Sábado)2025/12/06	;7132	;Aumentar por365.8%	; --%	;11137	;Aumentar por498.4%	; --%	;117	;Disminuir por53.0%	; --%	;6	; --%	; --%	;146	;Disminuir por34.5%	; --%	;73	;Disminuir por7.6%	; --%	;
7	;(Domingo)2025/12/07	;7804	;Aumentar por384.4%	; --%	;14156	;Aumentar por571.9%	; --%	;77	;Disminuir por71.9%	; --%	;8	; --%	; --%	;141	;Disminuir por39.2%	; --%	;88	;Aumentar por12.8%	; --%	;
8	;(Lunes)2025/12/08	;2835	;Aumentar por21.0%	; --%	;4151	;Aumentar por33.6%	; --%	;112	;Disminuir por42.9%	; --%	;3	; --%	; --%	;128	;Disminuir por41.3%	; --%	;65	;Disminuir por41.4%	; --%	;
9	;(Martes)2025/12/09	;1060	;Disminuir por51.7%	; --%	;1102	;Disminuir por63.9%	; --%	;229	;Aumentar por73.5%	; --%	;0	;Disminuir por100.0%	; --%	;116	;Disminuir por14.7%	; --%	;48	;Disminuir por47.3%	; --%	;
