Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2025/12/02 18:53:03	;
Operador: Touristcheck	;
Objetivo de estadísticas: Cruce CV-140 - Cami Vell	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/09/01 00:00:00 - 2025/09/30 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
4617	;Disminuir por40.0%	; --%	;4255	;Disminuir por35.0%	; --%	;87601	;Disminuir por27.9%	; --%	;89475	;Disminuir por26.7%	; --%	;12936	;Disminuir por18.8%	; --%	;19147	;Disminuir por20.3%	; --%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/09/01	;175	;Disminuir por28.9%	; --%	;176	;Disminuir por23.8%	; --%	;3472	;Disminuir por13.5%	; --%	;3551	;Disminuir por11.5%	; --%	;375	;Disminuir por22.0%	; --%	;625	;Disminuir por13.7%	; --%	;
2	;(Martes)2025/09/02	;171	;Disminuir por34.0%	; --%	;151	;Disminuir por32.6%	; --%	;3215	;Disminuir por24.8%	; --%	;3283	;Disminuir por18.2%	; --%	;409	;Disminuir por10.5%	; --%	;673	;Disminuir por6.5%	; --%	;
3	;(Miércoles)2025/09/03	;162	;Disminuir por34.9%	; --%	;157	;Disminuir por25.2%	; --%	;3171	;Disminuir por14.1%	; --%	;3227	;Disminuir por2.2%	; --%	;364	;Disminuir por36.5%	; --%	;617	;Disminuir por13.8%	; --%	;
4	;(Jueves)2025/09/04	;172	;Disminuir por37.2%	; --%	;162	;Disminuir por39.3%	; --%	;3212	;Disminuir por25.0%	; --%	;3255	;Disminuir por32.9%	; --%	;352	;Disminuir por35.9%	; --%	;562	;Disminuir por43.1%	; --%	;
5	;(Viernes)2025/09/05	;128	;Disminuir por52.8%	; --%	;106	;Disminuir por51.4%	; --%	;3536	;Disminuir por11.1%	; --%	;3546	;Disminuir por10.5%	; --%	;236	;Disminuir por56.5%	; --%	;326	;Disminuir por59.5%	; --%	;
6	;(Sábado)2025/09/06	;185	;Disminuir por30.7%	; --%	;149	;Disminuir por40.2%	; --%	;3289	;Disminuir por21.0%	; --%	;3113	;Disminuir por25.3%	; --%	;506	;Disminuir por13.7%	; --%	;677	;Disminuir por22.1%	; --%	;
7	;(Domingo)2025/09/07	;136	;Disminuir por48.9%	; --%	;129	;Disminuir por42.9%	; --%	;2419	;Disminuir por41.3%	; --%	;2639	;Disminuir por36.2%	; --%	;457	;Disminuir por15.1%	; --%	;647	;Disminuir por24.3%	; --%	;
8	;(Lunes)2025/09/08	;125	;Disminuir por54.4%	; --%	;123	;Disminuir por46.1%	; --%	;2986	;Disminuir por29.0%	; --%	;3285	;Disminuir por23.2%	; --%	;455	;Disminuir por13.8%	; --%	;645	;Disminuir por22.6%	; --%	;
9	;(Martes)2025/09/09	;134	;Disminuir por52.3%	; --%	;126	;Disminuir por54.7%	; --%	;2960	;Disminuir por30.0%	; --%	;3025	;Disminuir por26.3%	; --%	;418	;Disminuir por20.8%	; --%	;555	;Disminuir por33.8%	; --%	;
10	;(Miércoles)2025/09/10	;150	;Disminuir por44.6%	; --%	;142	;Disminuir por29.4%	; --%	;3141	;Disminuir por9.0%	; --%	;3322	;Disminuir por3.6%	; --%	;446	;Disminuir por15.4%	; --%	;656	;Disminuir por17.0%	; --%	;
11	;(Jueves)2025/09/11	;172	;Disminuir por33.6%	; --%	;137	;Disminuir por46.5%	; --%	;3158	;Disminuir por28.2%	; --%	;3285	;Disminuir por26.8%	; --%	;451	;Disminuir por24.8%	; --%	;767	;Disminuir por14.9%	; --%	;
12	;(Viernes)2025/09/12	;181	;Disminuir por29.3%	; --%	;147	;Disminuir por32.6%	; --%	;3458	;Disminuir por16.5%	; --%	;3508	;Disminuir por17.9%	; --%	;525	;Sin cambios	; --%	;784	;Disminuir por11.4%	; --%	;
13	;(Sábado)2025/09/13	;177	;Disminuir por34.7%	; --%	;157	;Disminuir por40.1%	; --%	;3502	;Disminuir por17.2%	; --%	;3299	;Disminuir por22.4%	; --%	;590	;Disminuir por11.1%	; --%	;771	;Disminuir por13.6%	; --%	;
14	;(Domingo)2025/09/14	;141	;Disminuir por48.4%	; --%	;167	;Disminuir por32.7%	; --%	;2517	;Disminuir por42.7%	; --%	;2954	;Disminuir por33.6%	; --%	;461	;Disminuir por13.8%	; --%	;746	;Disminuir por14.8%	; --%	;
15	;(Lunes)2025/09/15	;153	;Disminuir por43.3%	; --%	;154	;Disminuir por29.4%	; --%	;2919	;Disminuir por29.0%	; --%	;3101	;Disminuir por22.7%	; --%	;584	;Aumentar por3.4%	; --%	;782	;Disminuir por3.7%	; --%	;
16	;(Martes)2025/09/16	;147	;Disminuir por45.6%	; --%	;137	;Disminuir por38.8%	; --%	;2871	;Disminuir por33.7%	; --%	;2904	;Disminuir por33.5%	; --%	;487	;Disminuir por3.6%	; --%	;693	;Disminuir por16.3%	; --%	;
17	;(Miércoles)2025/09/17	;173	;Disminuir por26.4%	; --%	;141	;Disminuir por25.8%	; --%	;2825	;Disminuir por17.3%	; --%	;2873	;Disminuir por16.1%	; --%	;395	;Disminuir por26.3%	; --%	;627	;Disminuir por16.7%	; --%	;
18	;(Jueves)2025/09/18	;152	;Disminuir por32.4%	; --%	;140	;Disminuir por18.6%	; --%	;2936	;Disminuir por32.4%	; --%	;2996	;Disminuir por30.9%	; --%	;491	;Aumentar por0.4%	; --%	;721	;Disminuir por3.4%	; --%	;
19	;(Viernes)2025/09/19	;185	;Disminuir por17.8%	; --%	;162	;Disminuir por18.6%	; --%	;3168	;Disminuir por23.5%	; --%	;3235	;Disminuir por20.7%	; --%	;503	;Aumentar por8.2%	; --%	;757	;Aumentar por20.3%	; --%	;
20	;(Sábado)2025/09/20	;172	;Disminuir por34.6%	; --%	;157	;Disminuir por23.8%	; --%	;3544	;Disminuir por9.9%	; --%	;3518	;Disminuir por11.2%	; --%	;665	;Aumentar por15.7%	; --%	;876	;Aumentar por3.2%	; --%	;
21	;(Domingo)2025/09/21	;108	;Disminuir por62.8%	; --%	;123	;Disminuir por49.6%	; --%	;2287	;Disminuir por42.4%	; --%	;2631	;Disminuir por33.7%	; --%	;354	;Disminuir por32.7%	; --%	;523	;Disminuir por35.0%	; --%	;
22	;(Lunes)2025/09/22	;161	;Disminuir por32.9%	; --%	;154	;Disminuir por29.4%	; --%	;3045	;Disminuir por23.5%	; --%	;3058	;Disminuir por25.0%	; --%	;425	;Disminuir por21.3%	; --%	;671	;Disminuir por18.2%	; --%	;
23	;(Martes)2025/09/23	;171	;Disminuir por31.9%	; --%	;156	;Disminuir por22.4%	; --%	;2785	;Disminuir por29.9%	; --%	;2780	;Disminuir por30.4%	; --%	;416	;Disminuir por20.5%	; --%	;595	;Disminuir por18.7%	; --%	;
24	;(Miércoles)2025/09/24	;183	;Disminuir por19.4%	; --%	;169	;Disminuir por5.1%	; --%	;2855	;Disminuir por4.6%	; --%	;2843	;Disminuir por7.4%	; --%	;373	;Disminuir por12.9%	; --%	;585	;Disminuir por3.3%	; --%	;
25	;(Jueves)2025/09/25	;160	;Disminuir por28.9%	; --%	;142	;Disminuir por18.9%	; --%	;2792	;Disminuir por31.8%	; --%	;2767	;Disminuir por29.7%	; --%	;427	;Disminuir por17.1%	; --%	;656	;Disminuir por6.4%	; --%	;
26	;(Viernes)2025/09/26	;174	;Disminuir por20.2%	; --%	;150	;Disminuir por14.3%	; --%	;2909	;Disminuir por17.5%	; --%	;2936	;Disminuir por19.9%	; --%	;453	;Disminuir por5.8%	; --%	;703	;Aumentar por0.1%	; --%	;
27	;(Sábado)2025/09/27	;166	;Disminuir por30.0%	; --%	;136	;Disminuir por35.2%	; --%	;2708	;Disminuir por27.3%	; --%	;2650	;Disminuir por29.7%	; --%	;495	;Aumentar por6.9%	; --%	;708	;Aumentar por2.0%	; --%	;
28	;(Domingo)2025/09/28	;102	;Disminuir por52.1%	; --%	;105	;Disminuir por37.9%	; --%	;1775	;Disminuir por51.6%	; --%	;1813	;Disminuir por48.3%	; --%	;341	;Disminuir por21.8%	; --%	;489	;Disminuir por27.1%	; --%	;
29	;(Lunes)2025/09/29	;62	;Disminuir por70.3%	; --%	;68	;Disminuir por55.6%	; --%	;1542	;Disminuir por57.6%	; --%	;1452	;Disminuir por61.6%	; --%	;53	;Disminuir por87.5%	; --%	;65	;Disminuir por90.3%	; --%	;
30	;(Martes)2025/09/30	;139	;Disminuir por29.4%	; --%	;132	;Disminuir por15.9%	; --%	;2604	;Disminuir por24.9%	; --%	;2626	;Disminuir por25.2%	; --%	;429	;Aumentar por8.9%	; --%	;645	;Disminuir por2.3%	; --%	;

Exportar contenido:Subtipos de vehículos a motor	;
Hora del informe: 2025/09/01 00:00:00 - 2025/09/30 23:59:59	;

N.º	;Hora	;Autobuses	; 	; 	; 	; 	; 	;Monovolúmenes	; 	; 	; 	; 	; 	;Sedanes pequeños	; 	; 	; 	; 	; 	;Camiones	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/09/01	;22	;Aumentar por69.2%	; --%	;20	;Disminuir por9.1%	; --%	;299	;Disminuir por7.4%	; --%	;148	;Disminuir por8.1%	; --%	;3123	;Disminuir por14.3%	; --%	;3347	;Disminuir por11.4%	; --%	;27	;Disminuir por15.6%	; --%	;36	;Disminuir por28.0%	; --%	;
2	;(Martes)2025/09/02	;11	;Disminuir por42.1%	; --%	;14	;Sin cambios	; --%	;265	;Aumentar por14.7%	; --%	;145	;Aumentar por27.2%	; --%	;2913	;Disminuir por27.4%	; --%	;3088	;Disminuir por20.2%	; --%	;26	;Aumentar por73.3%	; --%	;36	;Aumentar por125.0%	; --%	;
3	;(Miércoles)2025/09/03	;17	;Aumentar por30.8%	; --%	;12	;Disminuir por29.4%	; --%	;271	;Aumentar por41.1%	; --%	;140	;Aumentar por79.5%	; --%	;2860	;Disminuir por17.8%	; --%	;3031	;Disminuir por5.1%	; --%	;22	;Aumentar por214.3%	; --%	;43	;Aumentar por437.5%	; --%	;
4	;(Jueves)2025/09/04	;10	;Disminuir por28.6%	; --%	;9	;Disminuir por50.0%	; --%	;251	;Disminuir por12.5%	; --%	;147	;Disminuir por16.9%	; --%	;2928	;Disminuir por25.9%	; --%	;3067	;Disminuir por33.6%	; --%	;24	;Disminuir por29.4%	; --%	;33	;Disminuir por10.8%	; --%	;
5	;(Viernes)2025/09/05	;12	;Aumentar por71.4%	; --%	;12	;Disminuir por14.3%	; --%	;250	;Disminuir por15.0%	; --%	;119	;Disminuir por22.2%	; --%	;3254	;Disminuir por10.8%	; --%	;3383	;Disminuir por10.0%	; --%	;20	;Disminuir por23.1%	; --%	;32	;Disminuir por17.9%	; --%	;
6	;(Sábado)2025/09/06	;13	;Aumentar por160.0%	; --%	;13	;Sin cambios	; --%	;202	;Disminuir por34.4%	; --%	;102	;Disminuir por42.7%	; --%	;3067	;Disminuir por19.7%	; --%	;2990	;Disminuir por24.1%	; --%	;7	;Disminuir por78.1%	; --%	;7	;Disminuir por81.1%	; --%	;
7	;(Domingo)2025/09/07	;15	;Sin cambios	; --%	;12	;Aumentar por9.1%	; --%	;131	;Disminuir por60.3%	; --%	;69	;Disminuir por61.2%	; --%	;2268	;Disminuir por39.4%	; --%	;2551	;Disminuir por34.9%	; --%	;5	;Disminuir por82.8%	; --%	;8	;Disminuir por71.4%	; --%	;
8	;(Lunes)2025/09/08	;25	;Aumentar por177.8%	; --%	;31	;Aumentar por158.3%	; --%	;261	;Disminuir por17.9%	; --%	;155	;Disminuir por13.9%	; --%	;2682	;Disminuir por30.2%	; --%	;3067	;Disminuir por24.1%	; --%	;18	;Disminuir por48.6%	; --%	;32	;Disminuir por25.6%	; --%	;
9	;(Martes)2025/09/09	;28	;Aumentar por250.0%	; --%	;24	;Aumentar por71.4%	; --%	;242	;Aumentar por3.0%	; --%	;132	;Aumentar por2.3%	; --%	;2670	;Disminuir por32.8%	; --%	;2840	;Disminuir por28.0%	; --%	;20	;Aumentar por53.8%	; --%	;29	;Aumentar por52.6%	; --%	;
10	;(Miércoles)2025/09/10	;34	;Aumentar por183.3%	; --%	;27	;Aumentar por145.5%	; --%	;266	;Aumentar por63.2%	; --%	;179	;Aumentar por105.7%	; --%	;2816	;Disminuir por13.9%	; --%	;3087	;Disminuir por7.6%	; --%	;25	;Aumentar por525.0%	; --%	;29	;Aumentar por222.2%	; --%	;
11	;(Jueves)2025/09/11	;21	;Aumentar por23.5%	; --%	;15	;Disminuir por25.0%	; --%	;279	;Disminuir por10.0%	; --%	;180	;Aumentar por9.1%	; --%	;2833	;Disminuir por29.9%	; --%	;3059	;Disminuir por28.3%	; --%	;25	;Disminuir por16.7%	; --%	;31	;Disminuir por18.4%	; --%	;
12	;(Viernes)2025/09/12	;23	;Aumentar por187.5%	; --%	;18	;Aumentar por28.6%	; --%	;282	;Disminuir por15.8%	; --%	;159	;Aumentar por3.2%	; --%	;3120	;Disminuir por17.2%	; --%	;3293	;Disminuir por18.9%	; --%	;33	;Aumentar por26.9%	; --%	;38	;Disminuir por13.6%	; --%	;
13	;(Sábado)2025/09/13	;29	;Aumentar por262.5%	; --%	;19	;Aumentar por35.7%	; --%	;229	;Disminuir por32.4%	; --%	;95	;Disminuir por42.1%	; --%	;3232	;Disminuir por16.1%	; --%	;3175	;Disminuir por21.4%	; --%	;12	;Disminuir por58.6%	; --%	;10	;Disminuir por69.7%	; --%	;
14	;(Domingo)2025/09/14	;20	;Aumentar por42.9%	; --%	;17	;Aumentar por21.4%	; --%	;169	;Disminuir por49.2%	; --%	;80	;Disminuir por56.8%	; --%	;2325	;Disminuir por42.1%	; --%	;2848	;Disminuir por32.4%	; --%	;3	;Disminuir por91.4%	; --%	;9	;Disminuir por76.3%	; --%	;
15	;(Lunes)2025/09/15	;37	;Aumentar por131.3%	; --%	;19	;Disminuir por5.0%	; --%	;294	;Aumentar por33.6%	; --%	;183	;Aumentar por83.0%	; --%	;2565	;Disminuir por33.6%	; --%	;2873	;Disminuir por25.7%	; --%	;23	;Aumentar por130.0%	; --%	;26	;Aumentar por23.8%	; --%	;
16	;(Martes)2025/09/16	;21	;Aumentar por90.9%	; --%	;22	;Aumentar por37.5%	; --%	;316	;Aumentar por42.3%	; --%	;145	;Aumentar por17.9%	; --%	;2503	;Disminuir por38.8%	; --%	;2711	;Disminuir por35.7%	; --%	;31	;Aumentar por210.0%	; --%	;26	;Aumentar por62.5%	; --%	;
17	;(Miércoles)2025/09/17	;17	;Aumentar por112.5%	; --%	;10	;Disminuir por9.1%	; --%	;266	;Aumentar por38.5%	; --%	;164	;Aumentar por90.7%	; --%	;2518	;Disminuir por21.7%	; --%	;2670	;Disminuir por19.6%	; --%	;24	;Aumentar por1100.0%	; --%	;29	;Aumentar por480.0%	; --%	;
18	;(Jueves)2025/09/18	;22	;Aumentar por120.0%	; --%	;18	;Aumentar por50.0%	; --%	;283	;Disminuir por1.7%	; --%	;150	;Disminuir por12.8%	; --%	;2604	;Disminuir por35.2%	; --%	;2795	;Disminuir por32.2%	; --%	;27	;Disminuir por6.9%	; --%	;33	;Sin cambios	; --%	;
19	;(Viernes)2025/09/19	;28	;Aumentar por133.3%	; --%	;21	;Aumentar por75.0%	; --%	;279	;Aumentar por2.2%	; --%	;159	;Aumentar por15.2%	; --%	;2835	;Disminuir por26.1%	; --%	;3017	;Disminuir por22.5%	; --%	;26	;Aumentar por8.3%	; --%	;38	;Aumentar por8.6%	; --%	;
20	;(Sábado)2025/09/20	;23	;Aumentar por155.6%	; --%	;21	;Aumentar por61.5%	; --%	;214	;Disminuir por21.9%	; --%	;97	;Disminuir por27.6%	; --%	;3298	;Disminuir por8.9%	; --%	;3390	;Disminuir por10.3%	; --%	;9	;Disminuir por70.0%	; --%	;10	;Disminuir por68.8%	; --%	;
21	;(Domingo)2025/09/21	;14	;Aumentar por55.6%	; --%	;28	;Aumentar por300.0%	; --%	;119	;Disminuir por55.9%	; --%	;66	;Disminuir por51.8%	; --%	;2150	;Disminuir por41.4%	; --%	;2529	;Disminuir por33.5%	; --%	;4	;Disminuir por82.6%	; --%	;7	;Disminuir por70.8%	; --%	;
22	;(Lunes)2025/09/22	;32	;Aumentar por166.7%	; --%	;22	;Aumentar por144.4%	; --%	;282	;Aumentar por1.4%	; --%	;150	;Disminuir por0.7%	; --%	;2717	;Disminuir por25.8%	; --%	;2857	;Disminuir por26.4%	; --%	;14	;Disminuir por50.0%	; --%	;30	;Disminuir por11.8%	; --%	;
23	;(Martes)2025/09/23	;25	;Aumentar por177.8%	; --%	;16	;Aumentar por77.8%	; --%	;261	;Aumentar por11.5%	; --%	;135	;Aumentar por19.5%	; --%	;2478	;Disminuir por33.4%	; --%	;2603	;Disminuir por32.6%	; --%	;21	;Aumentar por90.9%	; --%	;26	;Aumentar por100.0%	; --%	;
24	;(Miércoles)2025/09/24	;29	;Aumentar por262.5%	; --%	;19	;Aumentar por111.1%	; --%	;275	;Aumentar por109.9%	; --%	;152	;Aumentar por145.2%	; --%	;2534	;Disminuir por11.1%	; --%	;2645	;Disminuir por11.6%	; --%	;17	;Aumentar por240.0%	; --%	;27	;Aumentar por285.7%	; --%	;
25	;(Jueves)2025/09/25	;26	;Aumentar por136.4%	; --%	;13	;Aumentar por8.3%	; --%	;263	;Disminuir por12.0%	; --%	;127	;Disminuir por23.0%	; --%	;2487	;Disminuir por33.9%	; --%	;2600	;Disminuir por30.0%	; --%	;16	;Disminuir por15.8%	; --%	;27	;Disminuir por37.2%	; --%	;
26	;(Viernes)2025/09/26	;23	;Aumentar por91.7%	; --%	;9	;Disminuir por40.0%	; --%	;279	;Aumentar por3.0%	; --%	;162	;Disminuir por0.6%	; --%	;2572	;Disminuir por20.1%	; --%	;2727	;Disminuir por21.2%	; --%	;35	;Aumentar por59.1%	; --%	;38	;Aumentar por31.0%	; --%	;
27	;(Sábado)2025/09/27	;17	;Aumentar por112.5%	; --%	;9	;Disminuir por47.1%	; --%	;162	;Disminuir por32.5%	; --%	;93	;Disminuir por27.3%	; --%	;2516	;Disminuir por27.1%	; --%	;2536	;Disminuir por29.6%	; --%	;13	;Disminuir por50.0%	; --%	;12	;Disminuir por55.6%	; --%	;
28	;(Domingo)2025/09/28	;16	;Aumentar por60.0%	; --%	;15	;Aumentar por25.0%	; --%	;136	;Disminuir por51.1%	; --%	;55	;Disminuir por56.3%	; --%	;1618	;Disminuir por51.7%	; --%	;1739	;Disminuir por47.9%	; --%	;5	;Disminuir por79.2%	; --%	;4	;Disminuir por87.1%	; --%	;
29	;(Lunes)2025/09/29	;16	;Sin cambios	; --%	;8	;Disminuir por50.0%	; --%	;138	;Disminuir por44.6%	; --%	;71	;Disminuir por55.3%	; --%	;1375	;Disminuir por58.9%	; --%	;1362	;Disminuir por61.9%	; --%	;13	;Disminuir por43.5%	; --%	;11	;Disminuir por68.6%	; --%	;
30	;(Martes)2025/09/30	;30	;Aumentar por233.3%	; --%	;19	;Aumentar por90.0%	; --%	;261	;Aumentar por21.4%	; --%	;130	;Aumentar por25.0%	; --%	;2295	;Disminuir por28.9%	; --%	;2448	;Disminuir por27.7%	; --%	;18	;Aumentar por28.6%	; --%	;29	;Aumentar por107.1%	; --%	;
