Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:48:02	;
Operador: Touristcheck	;
Objetivo de estadísticas: Cruce CV-140 - Cami Vell	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
20351	;Disminuir por33.6%	;Aumentar por123.8%	;17635	;Disminuir por34.8%	;Aumentar por124.5%	;556664	;Disminuir por11.8%	;Aumentar por143.8%	;551955	;Disminuir por13.6%	;Aumentar por138.7%	;60169	;Disminuir por23.2%	;Aumentar por125.1%	;90813	;Disminuir por23.2%	;Aumentar por125.4%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;71	;Disminuir por69.8%	; --%	;68	;Disminuir por66.5%	; --%	;2269	;Disminuir por46.2%	; --%	;2254	;Disminuir por42.7%	; --%	;217	;Disminuir por63.3%	; --%	;302	;Disminuir por61.7%	; --%	;
2	;(Martes)2025/12/02	;62	;Disminuir por62.4%	; --%	;59	;Disminuir por66.1%	; --%	;2185	;Disminuir por19.7%	; --%	;2260	;Disminuir por21.9%	; --%	;180	;Disminuir por56.7%	; --%	;261	;Disminuir por51.7%	; --%	;
3	;(Miércoles)2025/12/03	;77	;Disminuir por42.5%	; --%	;72	;Disminuir por41.9%	; --%	;2194	;Disminuir por10.6%	; --%	;2291	;Disminuir por14.6%	; --%	;151	;Disminuir por60.7%	; --%	;246	;Disminuir por53.1%	; --%	;
4	;(Jueves)2025/12/04	;74	;Disminuir por34.5%	; --%	;58	;Disminuir por35.6%	; --%	;2347	;Disminuir por19.3%	; --%	;2329	;Disminuir por20.6%	; --%	;198	;Disminuir por15.0%	; --%	;256	;Disminuir por11.1%	; --%	;
5	;(Viernes)2025/12/05	;86	;Disminuir por39.0%	; --%	;66	;Disminuir por43.6%	; --%	;2571	;Disminuir por3.1%	; --%	;2531	;Disminuir por6.7%	; --%	;240	;Disminuir por25.7%	; --%	;324	;Disminuir por32.1%	; --%	;
6	;(Sábado)2025/12/06	;95	;Disminuir por25.2%	; --%	;94	;Disminuir por21.7%	; --%	;2858	;Aumentar por7.5%	; --%	;2705	;Aumentar por0.4%	; --%	;291	;Disminuir por19.2%	; --%	;402	;Disminuir por16.6%	; --%	;
7	;(Domingo)2025/12/07	;116	;Disminuir por0.9%	; --%	;81	;Disminuir por10.0%	; --%	;2699	;Sin cambios	; --%	;2716	;Disminuir por3.2%	; --%	;258	;Disminuir por29.1%	; --%	;340	;Disminuir por33.2%	; --%	;
8	;(Lunes)2025/12/08	;96	;Disminuir por12.7%	; --%	;93	;Aumentar por19.2%	; --%	;1740	;Disminuir por29.3%	; --%	;1746	;Disminuir por31.5%	; --%	;196	;Disminuir por41.0%	; --%	;278	;Disminuir por38.6%	; --%	;
9	;(Martes)2025/12/09	;81	;Disminuir por6.9%	; --%	;70	;Disminuir por20.5%	; --%	;2358	;Aumentar por32.0%	; --%	;2374	;Aumentar por29.3%	; --%	;230	;Aumentar por5.0%	; --%	;342	;Aumentar por2.1%	; --%	;
10	;(Miércoles)2025/12/10	;77	;Aumentar por113.9%	; --%	;74	;Aumentar por196.0%	; --%	;2311	;Aumentar por157.9%	; --%	;2318	;Aumentar por154.2%	; --%	;187	;Aumentar por22.2%	; --%	;289	;Aumentar por80.6%	; --%	;
11	;(Jueves)2025/12/11	;74	;Aumentar por54.2%	; --%	;55	;Aumentar por14.6%	; --%	;2191	;Aumentar por32.9%	; --%	;2257	;Aumentar por36.8%	; --%	;174	;Aumentar por16.8%	; --%	;291	;Aumentar por11.1%	; --%	;
12	;(Viernes)2025/12/12	;73	;Disminuir por9.9%	; --%	;45	;Disminuir por40.0%	; --%	;2506	;Disminuir por18.3%	; --%	;2407	;Disminuir por18.7%	; --%	;241	;Disminuir por17.2%	; --%	;350	;Disminuir por14.6%	; --%	;
13	;(Sábado)2025/12/13	;75	;Disminuir por31.2%	; --%	;55	;Disminuir por40.2%	; --%	;2027	;Disminuir por13.8%	; --%	;2013	;Disminuir por13.8%	; --%	;199	;Disminuir por37.0%	; --%	;253	;Disminuir por39.5%	; --%	;
14	;(Domingo)2025/12/14	;23	;Aumentar por666.7%	; --%	;16	;Aumentar por300.0%	; --%	;1104	;Aumentar por903.6%	; --%	;1107	;Aumentar por658.2%	; --%	;19	;Aumentar por375.0%	; --%	;35	;Aumentar por169.2%	; --%	;
15	;(Lunes)2025/12/15	;25	; --%	; --%	;29	; --%	; --%	;2085	; --%	; --%	;2035	; --%	; --%	;61	; --%	; --%	;70	; --%	; --%	;
16	;(Martes)2025/12/16	;40	; --%	; --%	;36	; --%	; --%	;2189	; --%	; --%	;2227	; --%	; --%	;88	; --%	; --%	;120	; --%	; --%	;
17	;(Miércoles)2025/12/17	;27	;Aumentar por8.0%	; --%	;20	;Disminuir por4.8%	; --%	;2131	;Aumentar por139.7%	; --%	;2027	;Aumentar por145.1%	; --%	;35	;Disminuir por35.2%	; --%	;51	;Disminuir por49.5%	; --%	;
18	;(Jueves)2025/12/18	;60	;Disminuir por22.1%	; --%	;67	;Disminuir por24.7%	; --%	;2252	;Disminuir por12.3%	; --%	;2345	;Disminuir por9.5%	; --%	;207	;Disminuir por26.3%	; --%	;295	;Disminuir por25.5%	; --%	;
19	;(Viernes)2025/12/19	;73	;Sin cambios	; --%	;59	;Disminuir por28.0%	; --%	;2437	;Disminuir por7.5%	; --%	;2443	;Disminuir por9.1%	; --%	;236	;Disminuir por14.2%	; --%	;317	;Disminuir por21.9%	; --%	;
20	;(Sábado)2025/12/20	;65	;Aumentar por8.3%	; --%	;52	;Aumentar por26.8%	; --%	;2140	;Disminuir por19.4%	; --%	;2028	;Disminuir por24.1%	; --%	;232	;Aumentar por16.0%	; --%	;270	;Aumentar por12.0%	; --%	;
