Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:48:44	;
Operador: Touristcheck	;
Objetivo de estadísticas: Estibaliz - Avda. Estacion	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
45943	;Disminuir por26.8%	;Aumentar por129.8%	;37592	;Disminuir por24.6%	;Aumentar por124.3%	;949058	;Disminuir por14.6%	;Aumentar por135.9%	;936029	;Disminuir por15.9%	;Aumentar por132.7%	;65543	;Disminuir por27.8%	;Aumentar por104.8%	;52972	;Disminuir por31.0%	;Aumentar por98.8%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;171	;Disminuir por67.6%	; --%	;145	;Disminuir por67.7%	; --%	;3605	;Disminuir por50.0%	; --%	;3685	;Disminuir por51.9%	; --%	;182	;Disminuir por61.0%	; --%	;146	;Disminuir por67.0%	; --%	;
2	;(Martes)2025/12/02	;138	;Disminuir por60.2%	; --%	;125	;Disminuir por62.0%	; --%	;3447	;Disminuir por48.9%	; --%	;3413	;Disminuir por59.1%	; --%	;167	;Disminuir por63.1%	; --%	;148	;Disminuir por59.2%	; --%	;
3	;(Miércoles)2025/12/03	;153	;Disminuir por48.3%	; --%	;122	;Disminuir por53.3%	; --%	;3683	;Disminuir por35.4%	; --%	;3493	;Disminuir por53.2%	; --%	;170	;Disminuir por61.5%	; --%	;133	;Disminuir por67.2%	; --%	;
4	;(Jueves)2025/12/04	;198	;Disminuir por6.2%	; --%	;177	;Disminuir por16.1%	; --%	;3738	;Disminuir por19.3%	; --%	;3685	;Disminuir por25.0%	; --%	;156	;Disminuir por16.6%	; --%	;136	;Disminuir por11.7%	; --%	;
5	;(Viernes)2025/12/05	;127	;Disminuir por60.4%	; --%	;114	;Disminuir por60.1%	; --%	;4951	;Aumentar por2.7%	; --%	;3929	;Disminuir por19.5%	; --%	;194	;Disminuir por48.1%	; --%	;157	;Disminuir por48.9%	; --%	;
6	;(Sábado)2025/12/06	;267	;Disminuir por1.1%	; --%	;215	;Disminuir por6.1%	; --%	;6695	;Aumentar por43.2%	; --%	;5579	;Aumentar por18.8%	; --%	;253	;Disminuir por25.8%	; --%	;221	;Disminuir por24.6%	; --%	;
7	;(Domingo)2025/12/07	;216	;Disminuir por24.7%	; --%	;186	;Disminuir por23.1%	; --%	;6648	;Aumentar por28.7%	; --%	;6734	;Aumentar por34.6%	; --%	;257	;Disminuir por30.9%	; --%	;219	;Disminuir por28.9%	; --%	;
8	;(Lunes)2025/12/08	;168	;Disminuir por31.1%	; --%	;154	;Disminuir por27.0%	; --%	;4515	;Disminuir por5.4%	; --%	;6029	;Aumentar por34.2%	; --%	;239	;Disminuir por36.9%	; --%	;197	;Disminuir por33.9%	; --%	;
9	;(Martes)2025/12/09	;110	;Disminuir por44.4%	; --%	;99	;Disminuir por40.7%	; --%	;3495	;Disminuir por8.6%	; --%	;3774	;Disminuir por15.2%	; --%	;159	;Disminuir por52.4%	; --%	;140	;Disminuir por38.6%	; --%	;
10	;(Miércoles)2025/12/10	;153	;Aumentar por45.7%	; --%	;123	;Aumentar por83.6%	; --%	;3372	;Aumentar por98.2%	; --%	;3541	;Aumentar por91.9%	; --%	;183	;Aumentar por7.0%	; --%	;152	;Aumentar por40.7%	; --%	;
11	;(Jueves)2025/12/11	;124	;Aumentar por11.7%	; --%	;102	;Aumentar por4.1%	; --%	;3444	;Aumentar por46.4%	; --%	;3418	;Aumentar por43.7%	; --%	;172	;Disminuir por9.0%	; --%	;142	;Disminuir por5.3%	; --%	;
12	;(Viernes)2025/12/12	;119	;Disminuir por51.6%	; --%	;103	;Disminuir por48.2%	; --%	;4012	;Disminuir por22.6%	; --%	;3765	;Disminuir por15.2%	; --%	;160	;Disminuir por44.6%	; --%	;144	;Disminuir por44.8%	; --%	;
13	;(Sábado)2025/12/13	;131	;Disminuir por56.2%	; --%	;99	;Disminuir por60.2%	; --%	;4104	;Disminuir por31.0%	; --%	;3789	;Disminuir por10.6%	; --%	;123	;Disminuir por61.8%	; --%	;112	;Disminuir por59.9%	; --%	;
14	;(Domingo)2025/12/14	;59	;Aumentar por1080.0%	; --%	;52	;Aumentar por477.8%	; --%	;1864	;Aumentar por896.8%	; --%	;2437	;Aumentar por752.1%	; --%	;27	;Aumentar por350.0%	; --%	;34	;Aumentar por142.9%	; --%	;
15	;(Lunes)2025/12/15	;108	; --%	; --%	;106	; --%	; --%	;3106	; --%	; --%	;3157	; --%	; --%	;25	; --%	; --%	;16	; --%	; --%	;
16	;(Martes)2025/12/16	;111	; --%	; --%	;95	; --%	; --%	;3180	; --%	; --%	;3131	; --%	; --%	;65	; --%	; --%	;58	; --%	; --%	;
17	;(Miércoles)2025/12/17	;55	;Disminuir por6.8%	; --%	;45	;Disminuir por27.4%	; --%	;3168	;Aumentar por178.9%	; --%	;3129	;Aumentar por191.1%	; --%	;21	;Disminuir por65.6%	; --%	;22	;Disminuir por60.7%	; --%	;
18	;(Jueves)2025/12/18	;143	;Disminuir por30.6%	; --%	;130	;Disminuir por18.2%	; --%	;3665	;Disminuir por10.0%	; --%	;3548	;Disminuir por13.1%	; --%	;146	;Disminuir por52.1%	; --%	;115	;Disminuir por47.2%	; --%	;
19	;(Viernes)2025/12/19	;136	;Disminuir por35.5%	; --%	;106	;Disminuir por40.4%	; --%	;3914	;Disminuir por5.7%	; --%	;3642	;Disminuir por11.9%	; --%	;178	;Disminuir por43.5%	; --%	;146	;Disminuir por44.3%	; --%	;
20	;(Sábado)2025/12/20	;124	;Disminuir por26.6%	; --%	;112	;Disminuir por17.6%	; --%	;4004	;Disminuir por5.5%	; --%	;3705	;Disminuir por12.2%	; --%	;166	;Disminuir por9.3%	; --%	;120	;Disminuir por21.1%	; --%	;
21	;(Domingo)2025/12/21	;95	;Disminuir por61.8%	; --%	;83	;Disminuir por58.9%	; --%	;3318	;Disminuir por29.4%	; --%	;3647	;Disminuir por18.0%	; --%	;176	;Disminuir por45.3%	; --%	;134	;Disminuir por48.1%	; --%	;
22	;(Lunes)2025/12/22	;137	;Disminuir por29.4%	; --%	;108	;Disminuir por26.0%	; --%	;3845	;Disminuir por9.2%	; --%	;3932	;Aumentar por0.5%	; --%	;176	;Disminuir por30.7%	; --%	;137	;Disminuir por30.8%	; --%	;
23	;(Martes)2025/12/23	;127	;Disminuir por15.9%	; --%	;105	;Disminuir por35.2%	; --%	;3830	;Aumentar por23.2%	; --%	;3848	;Aumentar por0.6%	; --%	;126	;Disminuir por62.3%	; --%	;97	;Disminuir por61.7%	; --%	;
24	;(Miércoles)2025/12/24	;159	;Disminuir por33.5%	; --%	;141	;Disminuir por26.6%	; --%	;3057	;Disminuir por25.4%	; --%	;2946	;Disminuir por31.6%	; --%	;182	;Disminuir por47.1%	; --%	;127	;Disminuir por46.9%	; --%	;
25	;(Jueves)2025/12/25	;58	;Disminuir por71.3%	; --%	;59	;Disminuir por61.2%	; --%	;2135	;Disminuir por45.6%	; --%	;2008	;Disminuir por49.2%	; --%	;31	;Disminuir por92.3%	; --%	;30	;Disminuir por88.3%	; --%	;
26	;(Viernes)2025/12/26	;91	;Disminuir por26.6%	; --%	;71	;Disminuir por37.7%	; --%	;3666	;Aumentar por20.7%	; --%	;3141	;Aumentar por1.0%	; --%	;56	;Disminuir por71.7%	; --%	;44	;Disminuir por72.3%	; --%	;
27	;(Sábado)2025/12/27	;40	; --%	; --%	;36	; --%	; --%	;3446	; --%	; --%	;3245	; --%	; --%	;36	; --%	; --%	;27	; --%	; --%	;
28	;(Domingo)2025/12/28	;121	;Aumentar por39.1%	; --%	;99	;Aumentar por37.5%	; --%	;2921	;Aumentar por53.4%	; --%	;3197	;Aumentar por109.2%	; --%	;67	;Disminuir por33.7%	; --%	;37	;Disminuir por55.4%	; --%	;
29	;(Lunes)2025/12/29	;122	;Disminuir por56.3%	; --%	;111	;Disminuir por56.6%	; --%	;4484	;Aumentar por0.7%	; --%	;4240	;Aumentar por2.5%	; --%	;124	;Disminuir por73.5%	; --%	;97	;Disminuir por73.0%	; --%	;
30	;(Martes)2025/12/30	;288	;Aumentar por60.0%	; --%	;223	;Aumentar por27.4%	; --%	;4858	;Aumentar por40.6%	; --%	;4644	;Aumentar por3.8%	; --%	;285	;Disminuir por27.5%	; --%	;200	;Disminuir por41.0%	; --%	;
