Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2025/12/02 18:55:28	;
Operador: Touristcheck	;
Objetivo de estadísticas: Estibaliz - CV-140	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/07/01 00:00:00 - 2025/07/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
5649	;Aumentar por67.2%	; --%	;7495	;Aumentar por60.9%	; --%	;138681	;Aumentar por34.3%	; --%	;165187	;Aumentar por29.9%	; --%	;11212	;Aumentar por15.0%	; --%	;16471	;Aumentar por19.0%	; --%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Martes)2025/07/01	;66	;Disminuir por20.5%	; --%	;81	;Disminuir por39.1%	; --%	;2505	;Aumentar por1.2%	; --%	;3003	;Aumentar por1.3%	; --%	;234	;Disminuir por10.3%	; --%	;349	;Disminuir por2.8%	; --%	;
2	;(Miércoles)2025/07/02	;89	;Disminuir por27.6%	; --%	;138	;Disminuir por6.1%	; --%	;2499	;Disminuir por29.4%	; --%	;3116	;Disminuir por30.4%	; --%	;219	;Disminuir por30.0%	; --%	;289	;Disminuir por32.3%	; --%	;
3	;(Jueves)2025/07/03	;120	;Aumentar por26.3%	; --%	;166	;Aumentar por31.7%	; --%	;4003	;Aumentar por30.4%	; --%	;4861	;Aumentar por22.1%	; --%	;382	;Aumentar por45.8%	; --%	;524	;Aumentar por38.3%	; --%	;
4	;(Viernes)2025/07/04	;142	;Aumentar por82.1%	; --%	;200	;Aumentar por61.3%	; --%	;4368	;Aumentar por45.1%	; --%	;5338	;Aumentar por37.8%	; --%	;417	;Aumentar por58.0%	; --%	;555	;Aumentar por35.0%	; --%	;
5	;(Sábado)2025/07/05	;176	;Aumentar por61.5%	; --%	;230	;Aumentar por105.4%	; --%	;4622	;Aumentar por51.6%	; --%	;5529	;Aumentar por43.0%	; --%	;363	;Aumentar por14.9%	; --%	;532	;Aumentar por25.8%	; --%	;
6	;(Domingo)2025/07/06	;140	;Aumentar por44.3%	; --%	;187	;Aumentar por32.6%	; --%	;3621	;Aumentar por2.5%	; --%	;4237	;Disminuir por6.2%	; --%	;354	;Aumentar por11.0%	; --%	;488	;Aumentar por2.5%	; --%	;
7	;(Lunes)2025/07/07	;155	;Disminuir por3.1%	; --%	;202	;Disminuir por9.0%	; --%	;4470	;Aumentar por14.5%	; --%	;5547	;Aumentar por14.7%	; --%	;420	;Aumentar por9.1%	; --%	;571	;Sin cambios	; --%	;
8	;(Martes)2025/07/08	;216	;Aumentar por127.4%	; --%	;231	;Aumentar por87.8%	; --%	;4263	;Aumentar por50.1%	; --%	;5178	;Aumentar por60.1%	; --%	;443	;Aumentar por46.7%	; --%	;550	;Aumentar por31.6%	; --%	;
9	;(Miércoles)2025/07/09	;180	;Aumentar por41.7%	; --%	;184	;Aumentar por4.0%	; --%	;4569	;Aumentar por14.9%	; --%	;5322	;Aumentar por11.5%	; --%	;135	;Disminuir por57.1%	; --%	;196	;Disminuir por52.8%	; --%	;
10	;(Jueves)2025/07/10	;154	;Aumentar por42.6%	; --%	;195	;Aumentar por39.3%	; --%	;4066	;Aumentar por25.0%	; --%	;4905	;Aumentar por19.0%	; --%	;340	;Aumentar por18.5%	; --%	;576	;Aumentar por41.9%	; --%	;
11	;(Viernes)2025/07/11	;193	;Aumentar por70.8%	; --%	;227	;Aumentar por43.7%	; --%	;4736	;Aumentar por46.5%	; --%	;5472	;Aumentar por30.6%	; --%	;314	;Sin cambios	; --%	;461	;Aumentar por2.4%	; --%	;
12	;(Sábado)2025/07/12	;149	;Aumentar por36.7%	; --%	;168	;Aumentar por25.4%	; --%	;4739	;Aumentar por49.4%	; --%	;5593	;Aumentar por35.4%	; --%	;166	;Disminuir por46.8%	; --%	;247	;Disminuir por49.1%	; --%	;
13	;(Domingo)2025/07/13	;165	;Aumentar por44.7%	; --%	;243	;Aumentar por68.8%	; --%	;3665	;Disminuir por4.9%	; --%	;4322	;Disminuir por7.0%	; --%	;349	;Disminuir por5.4%	; --%	;526	;Aumentar por1.2%	; --%	;
14	;(Lunes)2025/07/14	;239	;Aumentar por94.3%	; --%	;258	;Aumentar por52.7%	; --%	;4881	;Aumentar por29.2%	; --%	;5743	;Aumentar por24.3%	; --%	;380	;Aumentar por10.1%	; --%	;575	;Aumentar por21.6%	; --%	;
15	;(Martes)2025/07/15	;210	;Aumentar por107.9%	; --%	;247	;Aumentar por85.7%	; --%	;4366	;Aumentar por61.1%	; --%	;5251	;Aumentar por65.6%	; --%	;408	;Aumentar por36.5%	; --%	;630	;Aumentar por64.5%	; --%	;
16	;(Miércoles)2025/07/16	;208	;Aumentar por84.1%	; --%	;240	;Aumentar por64.4%	; --%	;4500	;Aumentar por20.6%	; --%	;5386	;Aumentar por15.7%	; --%	;406	;Aumentar por35.3%	; --%	;608	;Aumentar por39.8%	; --%	;
17	;(Jueves)2025/07/17	;176	;Aumentar por47.9%	; --%	;250	;Aumentar por76.1%	; --%	;4630	;Aumentar por39.9%	; --%	;5472	;Aumentar por31.1%	; --%	;411	;Aumentar por19.5%	; --%	;646	;Aumentar por22.3%	; --%	;
18	;(Viernes)2025/07/18	;166	;Aumentar por26.7%	; --%	;244	;Aumentar por52.5%	; --%	;4870	;Aumentar por45.5%	; --%	;5743	;Aumentar por38.1%	; --%	;389	;Aumentar por21.2%	; --%	;607	;Aumentar por23.4%	; --%	;
19	;(Sábado)2025/07/19	;198	;Aumentar por117.6%	; --%	;295	;Aumentar por165.8%	; --%	;5293	;Aumentar por51.1%	; --%	;6152	;Aumentar por44.7%	; --%	;407	;Aumentar por20.1%	; --%	;597	;Aumentar por13.9%	; --%	;
20	;(Domingo)2025/07/20	;158	;Aumentar por38.6%	; --%	;243	;Aumentar por65.3%	; --%	;4223	;Aumentar por9.1%	; --%	;4931	;Aumentar por1.8%	; --%	;383	;Aumentar por12.6%	; --%	;576	;Aumentar por12.5%	; --%	;
21	;(Lunes)2025/07/21	;191	;Aumentar por34.5%	; --%	;294	;Aumentar por38.0%	; --%	;5245	;Aumentar por23.4%	; --%	;6319	;Aumentar por24.0%	; --%	;404	;Aumentar por8.3%	; --%	;642	;Aumentar por23.5%	; --%	;
22	;(Martes)2025/07/22	;189	;Aumentar por80.0%	; --%	;246	;Aumentar por44.7%	; --%	;4502	;Aumentar por68.9%	; --%	;5442	;Aumentar por65.9%	; --%	;435	;Aumentar por36.4%	; --%	;635	;Aumentar por40.5%	; --%	;
23	;(Miércoles)2025/07/23	;177	;Aumentar por172.3%	; --%	;218	;Aumentar por103.7%	; --%	;4772	;Aumentar por215.8%	; --%	;5635	;Aumentar por178.3%	; --%	;304	;Aumentar por145.2%	; --%	;426	;Aumentar por130.3%	; --%	;
24	;(Jueves)2025/07/24	;256	;Aumentar por82.9%	; --%	;256	;Aumentar por24.3%	; --%	;5172	;Aumentar por33.4%	; --%	;6069	;Aumentar por34.9%	; --%	;239	;Disminuir por33.1%	; --%	;396	;Disminuir por21.1%	; --%	;
25	;(Viernes)2025/07/25	;193	;Aumentar por54.4%	; --%	;340	;Aumentar por107.3%	; --%	;4918	;Aumentar por25.6%	; --%	;6056	;Aumentar por28.2%	; --%	;384	;Aumentar por5.8%	; --%	;618	;Aumentar por21.4%	; --%	;
26	;(Sábado)2025/07/26	;286	;Aumentar por160.0%	; --%	;376	;Aumentar por114.9%	; --%	;5458	;Aumentar por39.6%	; --%	;6489	;Aumentar por38.1%	; --%	;454	;Aumentar por21.7%	; --%	;695	;Aumentar por26.1%	; --%	;
27	;(Domingo)2025/07/27	;200	;Aumentar por29.0%	; --%	;307	;Aumentar por55.8%	; --%	;4220	;Aumentar por1.9%	; --%	;4876	;Disminuir por4.9%	; --%	;383	;Disminuir por13.0%	; --%	;526	;Disminuir por7.6%	; --%	;
28	;(Lunes)2025/07/28	;203	;Aumentar por53.8%	; --%	;322	;Aumentar por76.0%	; --%	;5225	;Aumentar por21.2%	; --%	;6146	;Aumentar por18.6%	; --%	;403	;Aumentar por1.5%	; --%	;566	;Aumentar por7.6%	; --%	;
29	;(Martes)2025/07/29	;235	;Aumentar por150.0%	; --%	;313	;Aumentar por88.6%	; --%	;4698	;Aumentar por36.3%	; --%	;5627	;Aumentar por42.9%	; --%	;422	;Aumentar por25.6%	; --%	;623	;Aumentar por33.4%	; --%	;
30	;(Miércoles)2025/07/30	;230	;Aumentar por113.0%	; --%	;318	;Aumentar por70.1%	; --%	;4825	;Aumentar por17.5%	; --%	;5789	;Aumentar por13.6%	; --%	;429	;Aumentar por18.2%	; --%	;610	;Aumentar por29.0%	; --%	;
31	;(Jueves)2025/07/31	;189	; --%	; --%	;276	; --%	; --%	;4757	; --%	; --%	;5638	; --%	; --%	;435	; --%	; --%	;631	; --%	; --%	;

Exportar contenido:Subtipos de vehículos a motor	;
Hora del informe: 2025/07/01 00:00:00 - 2025/07/31 23:59:59	;

N.º	;Hora	;Autobuses	; 	; 	; 	; 	; 	;Monovolúmenes	; 	; 	; 	; 	; 	;Sedanes pequeños	; 	; 	; 	; 	; 	;Camiones	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Martes)2025/07/01	;24	;Disminuir por11.1%	; --%	;14	;Disminuir por12.5%	; --%	;320	;Aumentar por89.3%	; --%	;192	;Aumentar por67.0%	; --%	;2114	;Disminuir por6.8%	; --%	;2733	;Disminuir por2.9%	; --%	;45	;Aumentar por309.1%	; --%	;63	;Aumentar por231.6%	; --%	;
2	;(Miércoles)2025/07/02	;20	;Disminuir por51.2%	; --%	;7	;Disminuir por78.1%	; --%	;262	;Disminuir por45.1%	; --%	;145	;Disminuir por55.5%	; --%	;2194	;Disminuir por25.4%	; --%	;2941	;Disminuir por27.1%	; --%	;22	;Disminuir por73.5%	; --%	;23	;Disminuir por74.2%	; --%	;
3	;(Jueves)2025/07/03	;36	;Aumentar por50.0%	; --%	;20	;Sin cambios	; --%	;429	;Disminuir por1.8%	; --%	;269	;Disminuir por14.1%	; --%	;3471	;Aumentar por35.7%	; --%	;4487	;Aumentar por25.1%	; --%	;68	;Aumentar por36.0%	; --%	;85	;Aumentar por39.3%	; --%	;
4	;(Viernes)2025/07/04	;39	;Aumentar por56.0%	; --%	;20	;Disminuir por4.8%	; --%	;435	;Disminuir por0.5%	; --%	;278	;Disminuir por1.8%	; --%	;3829	;Aumentar por53.5%	; --%	;4970	;Aumentar por42.2%	; --%	;63	;Aumentar por14.5%	; --%	;70	;Disminuir por5.4%	; --%	;
5	;(Sábado)2025/07/05	;34	;Aumentar por6.3%	; --%	;11	;Disminuir por47.6%	; --%	;323	;Disminuir por26.1%	; --%	;210	;Disminuir por22.2%	; --%	;4236	;Aumentar por67.4%	; --%	;5267	;Aumentar por49.8%	; --%	;31	;Disminuir por38.0%	; --%	;41	;Disminuir por29.3%	; --%	;
6	;(Domingo)2025/07/06	;31	;Aumentar por19.2%	; --%	;13	;Disminuir por27.8%	; --%	;195	;Disminuir por52.2%	; --%	;126	;Disminuir por56.3%	; --%	;3369	;Aumentar por10.5%	; --%	;4069	;Disminuir por1.9%	; --%	;26	;Disminuir por49.0%	; --%	;29	;Disminuir por54.7%	; --%	;
7	;(Lunes)2025/07/07	;35	;Aumentar por25.0%	; --%	;15	;Disminuir por37.5%	; --%	;400	;Aumentar por30.7%	; --%	;249	;Aumentar por33.9%	; --%	;3979	;Aumentar por12.3%	; --%	;5212	;Aumentar por13.5%	; --%	;55	;Aumentar por103.7%	; --%	;71	;Aumentar por115.2%	; --%	;
8	;(Martes)2025/07/08	;25	;Disminuir por10.7%	; --%	;14	;Disminuir por39.1%	; --%	;391	;Aumentar por101.5%	; --%	;258	;Aumentar por92.5%	; --%	;3800	;Aumentar por46.3%	; --%	;4837	;Aumentar por58.1%	; --%	;47	;Aumentar por123.8%	; --%	;69	;Aumentar por283.3%	; --%	;
9	;(Miércoles)2025/07/09	;32	;Disminuir por5.9%	; --%	;8	;Disminuir por77.1%	; --%	;373	;Disminuir por25.3%	; --%	;277	;Disminuir por19.5%	; --%	;4122	;Aumentar por21.4%	; --%	;4963	;Aumentar por14.7%	; --%	;42	;Disminuir por14.3%	; --%	;73	;Aumentar por7.4%	; --%	;
10	;(Jueves)2025/07/10	;34	;Disminuir por17.1%	; --%	;25	;Disminuir por24.2%	; --%	;394	;Disminuir por11.1%	; --%	;258	;Disminuir por9.5%	; --%	;3582	;Aumentar por32.1%	; --%	;4553	;Aumentar por21.8%	; --%	;56	;Sin cambios	; --%	;70	;Aumentar por6.1%	; --%	;
11	;(Viernes)2025/07/11	;41	;Aumentar por95.2%	; --%	;19	;Disminuir por29.6%	; --%	;450	;Aumentar por13.4%	; --%	;283	;Aumentar por10.1%	; --%	;4180	;Aumentar por51.2%	; --%	;5106	;Aumentar por33.0%	; --%	;64	;Aumentar por30.6%	; --%	;64	;Disminuir por4.5%	; --%	;
12	;(Sábado)2025/07/12	;33	;Aumentar por22.2%	; --%	;23	;Disminuir por11.5%	; --%	;303	;Disminuir por27.0%	; --%	;171	;Disminuir por37.1%	; --%	;4368	;Aumentar por62.9%	; --%	;5366	;Aumentar por41.8%	; --%	;32	;Disminuir por36.0%	; --%	;33	;Disminuir por31.3%	; --%	;
13	;(Domingo)2025/07/13	;44	;Aumentar por51.7%	; --%	;27	;Aumentar por8.0%	; --%	;216	;Disminuir por53.1%	; --%	;143	;Disminuir por55.2%	; --%	;3385	;Aumentar por2.4%	; --%	;4129	;Disminuir por2.5%	; --%	;19	;Disminuir por66.7%	; --%	;23	;Disminuir por67.1%	; --%	;
14	;(Lunes)2025/07/14	;43	;Aumentar por19.4%	; --%	;21	;Aumentar por10.5%	; --%	;427	;Aumentar por58.1%	; --%	;299	;Aumentar por48.0%	; --%	;4346	;Aumentar por26.0%	; --%	;5352	;Aumentar por22.6%	; --%	;65	;Aumentar por160.0%	; --%	;71	;Aumentar por115.2%	; --%	;
15	;(Martes)2025/07/15	;39	;Aumentar por25.8%	; --%	;22	;Aumentar por37.5%	; --%	;410	;Aumentar por153.1%	; --%	;264	;Aumentar por153.8%	; --%	;3861	;Aumentar por54.4%	; --%	;4898	;Aumentar por61.9%	; --%	;57	;Aumentar por235.3%	; --%	;67	;Aumentar por168.0%	; --%	;
16	;(Miércoles)2025/07/16	;35	;Disminuir por22.2%	; --%	;19	;Disminuir por42.4%	; --%	;398	;Disminuir por5.7%	; --%	;273	;Disminuir por20.2%	; --%	;4010	;Aumentar por26.2%	; --%	;5030	;Aumentar por19.8%	; --%	;58	;Disminuir por30.1%	; --%	;63	;Disminuir por24.1%	; --%	;
17	;(Jueves)2025/07/17	;36	;Disminuir por21.7%	; --%	;20	;Disminuir por33.3%	; --%	;374	;Disminuir por12.8%	; --%	;242	;Disminuir por6.2%	; --%	;4155	;Aumentar por49.2%	; --%	;5129	;Aumentar por34.0%	; --%	;64	;Aumentar por25.5%	; --%	;80	;Aumentar por35.6%	; --%	;
18	;(Viernes)2025/07/18	;36	;Disminuir por12.2%	; --%	;24	;Disminuir por7.7%	; --%	;449	;Aumentar por15.7%	; --%	;286	;Aumentar por13.5%	; --%	;4329	;Aumentar por52.0%	; --%	;5367	;Aumentar por40.7%	; --%	;57	;Disminuir por17.4%	; --%	;67	;Sin cambios	; --%	;
19	;(Sábado)2025/07/19	;38	;Disminuir por19.1%	; --%	;21	;Sin cambios	; --%	;300	;Disminuir por28.7%	; --%	;166	;Disminuir por43.7%	; --%	;4927	;Aumentar por66.2%	; --%	;5933	;Aumentar por53.4%	; --%	;27	;Disminuir por61.4%	; --%	;32	;Disminuir por54.3%	; --%	;
20	;(Domingo)2025/07/20	;38	;Disminuir por5.0%	; --%	;26	;Disminuir por13.3%	; --%	;206	;Disminuir por52.6%	; --%	;146	;Disminuir por45.7%	; --%	;3955	;Aumentar por18.9%	; --%	;4738	;Aumentar por6.2%	; --%	;25	;Disminuir por65.8%	; --%	;21	;Disminuir por75.9%	; --%	;
21	;(Lunes)2025/07/21	;52	;Aumentar por4.0%	; --%	;28	;Sin cambios	; --%	;472	;Aumentar por59.5%	; --%	;331	;Aumentar por86.0%	; --%	;4642	;Aumentar por19.8%	; --%	;5888	;Aumentar por21.3%	; --%	;77	;Aumentar por165.5%	; --%	;72	;Aumentar por105.7%	; --%	;
22	;(Martes)2025/07/22	;30	;Disminuir por21.1%	; --%	;13	;Disminuir por31.6%	; --%	;381	;Aumentar por111.7%	; --%	;244	;Aumentar por159.6%	; --%	;4026	;Aumentar por65.2%	; --%	;5119	;Aumentar por62.5%	; --%	;64	;Aumentar por481.8%	; --%	;66	;Aumentar por312.5%	; --%	;
23	;(Miércoles)2025/07/23	;35	;Aumentar por169.2%	; --%	;16	;Aumentar por433.3%	; --%	;440	;Aumentar por199.3%	; --%	;306	;Aumentar por292.3%	; --%	;4242	;Aumentar por217.0%	; --%	;5242	;Aumentar por171.2%	; --%	;57	;Aumentar por280.0%	; --%	;71	;Aumentar por545.5%	; --%	;
24	;(Jueves)2025/07/24	;39	;Aumentar por5.4%	; --%	;18	;Aumentar por100.0%	; --%	;454	;Aumentar por14.4%	; --%	;275	;Aumentar por5.4%	; --%	;4631	;Aumentar por36.1%	; --%	;5719	;Aumentar por36.4%	; --%	;48	;Aumentar por23.1%	; --%	;57	;Aumentar por54.1%	; --%	;
25	;(Viernes)2025/07/25	;49	;Aumentar por2.1%	; --%	;32	;Aumentar por88.2%	; --%	;407	;Disminuir por5.1%	; --%	;281	;Disminuir por1.1%	; --%	;4401	;Aumentar por30.6%	; --%	;5687	;Aumentar por30.6%	; --%	;61	;Disminuir por12.9%	; --%	;56	;Disminuir por17.6%	; --%	;
26	;(Sábado)2025/07/26	;36	;Disminuir por7.7%	; --%	;20	;Disminuir por20.0%	; --%	;311	;Disminuir por22.6%	; --%	;218	;Disminuir por13.8%	; --%	;5078	;Aumentar por48.5%	; --%	;6210	;Aumentar por42.4%	; --%	;32	;Disminuir por36.0%	; --%	;41	;Disminuir por31.7%	; --%	;
27	;(Domingo)2025/07/27	;43	;Disminuir por2.3%	; --%	;20	;Disminuir por33.3%	; --%	;223	;Disminuir por50.2%	; --%	;152	;Disminuir por44.1%	; --%	;3931	;Aumentar por9.5%	; --%	;4686	;Disminuir por1.5%	; --%	;22	;Disminuir por62.1%	; --%	;18	;Disminuir por72.7%	; --%	;
28	;(Lunes)2025/07/28	;44	;Disminuir por6.4%	; --%	;21	;Disminuir por27.6%	; --%	;494	;Aumentar por47.9%	; --%	;316	;Aumentar por62.9%	; --%	;4637	;Aumentar por18.8%	; --%	;5748	;Aumentar por16.7%	; --%	;50	;Aumentar por92.3%	; --%	;61	;Aumentar por103.3%	; --%	;
29	;(Martes)2025/07/29	;31	;Sin cambios	; --%	;15	;Aumentar por15.4%	; --%	;397	;Aumentar por90.0%	; --%	;259	;Aumentar por142.1%	; --%	;4220	;Aumentar por32.5%	; --%	;5290	;Aumentar por39.2%	; --%	;49	;Aumentar por133.3%	; --%	;63	;Aumentar por231.6%	; --%	;
30	;(Miércoles)2025/07/30	;31	;Aumentar por3.3%	; --%	;14	;Aumentar por16.7%	; --%	;403	;Disminuir por4.7%	; --%	;283	;Aumentar por6.8%	; --%	;4320	;Aumentar por20.4%	; --%	;5416	;Aumentar por13.8%	; --%	;72	;Aumentar por9.1%	; --%	;75	;Aumentar por25.0%	; --%	;
31	;(Jueves)2025/07/31	;37	; --%	; --%	;18	; --%	; --%	;396	; --%	; --%	;228	; --%	; --%	;4271	; --%	; --%	;5329	; --%	; --%	;53	; --%	; --%	;63	; --%	; --%	;
