Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:49:15	;
Operador: Touristcheck	;
Objetivo de estadísticas: Estibaliz - CV-140	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
23844	;Disminuir por20.4%	;Aumentar por170.4%	;32151	;Disminuir por18.8%	;Aumentar por181.1%	;597716	;Disminuir por20.0%	;Aumentar por140.6%	;815175	;Disminuir por11.1%	;Aumentar por165.6%	;41588	;Disminuir por34.6%	;Aumentar por93.4%	;65223	;Disminuir por28.2%	;Aumentar por112.9%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;103	; --%	; --%	;110	; --%	; --%	;2388	; --%	; --%	;3253	; --%	; --%	;104	; --%	; --%	;164	; --%	; --%	;
2	;(Martes)2025/12/02	;91	; --%	; --%	;94	; --%	; --%	;2305	; --%	; --%	;3064	; --%	; --%	;114	; --%	; --%	;198	; --%	; --%	;
3	;(Miércoles)2025/12/03	;93	; --%	; --%	;136	; --%	; --%	;2356	; --%	; --%	;3116	; --%	; --%	;128	; --%	; --%	;171	; --%	; --%	;
4	;(Jueves)2025/12/04	;78	; --%	; --%	;80	; --%	; --%	;2442	; --%	; --%	;3251	; --%	; --%	;115	; --%	; --%	;191	; --%	; --%	;
5	;(Viernes)2025/12/05	;127	; --%	; --%	;163	; --%	; --%	;2815	; --%	; --%	;3783	; --%	; --%	;131	; --%	; --%	;213	; --%	; --%	;
6	;(Sábado)2025/12/06	;194	; --%	; --%	;223	; --%	; --%	;3199	; --%	; --%	;4243	; --%	; --%	;175	; --%	; --%	;277	; --%	; --%	;
7	;(Domingo)2025/12/07	;186	;Aumentar por35.8%	; --%	;301	;Aumentar por113.5%	; --%	;2708	;Disminuir por8.6%	; --%	;3625	;Aumentar por1.4%	; --%	;145	;Disminuir por35.0%	; --%	;233	;Disminuir por29.2%	; --%	;
8	;(Lunes)2025/12/08	;150	;Aumentar por13.6%	; --%	;183	;Aumentar por1.1%	; --%	;2077	;Disminuir por36.3%	; --%	;2707	;Disminuir por30.8%	; --%	;129	;Disminuir por51.7%	; --%	;196	;Disminuir por47.2%	; --%	;
9	;(Martes)2025/12/09	;91	;Disminuir por9.9%	; --%	;124	;Disminuir por8.8%	; --%	;2402	;Aumentar por9.0%	; --%	;3383	;Aumentar por27.0%	; --%	;135	;Disminuir por28.2%	; --%	;183	;Disminuir por23.8%	; --%	;
