Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2025/12/02 19:01:23	;
Operador: Touristcheck	;
Objetivo de estadísticas: Plaza Illueca - Avda- Papa Luna	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/11/01 00:00:00 - 2025/11/30 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
21093	;Disminuir por59.1%	; --%	;21434	;Disminuir por59.8%	; --%	;10951	;Disminuir por23.2%	; --%	;18315	;Disminuir por22.6%	; --%	;3027	;Disminuir por41.9%	; --%	;2443	;Disminuir por48.3%	; --%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Sábado)2025/11/01	;1354	;Disminuir por22.5%	; --%	;1582	;Disminuir por12.4%	; --%	;640	;Aumentar por33.1%	; --%	;617	;Disminuir por22.2%	; --%	;134	;Disminuir por33.7%	; --%	;95	;Disminuir por41.0%	; --%	;
2	;(Domingo)2025/11/02	;1174	;Disminuir por37.4%	; --%	;1080	;Disminuir por46.7%	; --%	;556	;Aumentar por5.7%	; --%	;571	;Disminuir por23.1%	; --%	;169	;Disminuir por13.3%	; --%	;74	;Disminuir por50.3%	; --%	;
3	;(Lunes)2025/11/03	;752	;Disminuir por68.7%	; --%	;671	;Disminuir por71.8%	; --%	;345	;Disminuir por36.0%	; --%	;686	;Disminuir por22.5%	; --%	;194	;Disminuir por23.3%	; --%	;116	;Disminuir por43.1%	; --%	;
4	;(Martes)2025/11/04	;604	;Disminuir por83.1%	; --%	;608	;Disminuir por82.5%	; --%	;316	;Disminuir por51.8%	; --%	;542	;Disminuir por33.0%	; --%	;105	;Disminuir por61.0%	; --%	;87	;Disminuir por54.9%	; --%	;
5	;(Miércoles)2025/11/05	;546	;Disminuir por74.5%	; --%	;497	;Disminuir por76.7%	; --%	;285	;Disminuir por56.9%	; --%	;584	;Disminuir por5.5%	; --%	;57	;Disminuir por70.6%	; --%	;93	;Disminuir por20.5%	; --%	;
6	;(Jueves)2025/11/06	;550	;Disminuir por72.8%	; --%	;478	;Disminuir por78.6%	; --%	;293	;Disminuir por44.2%	; --%	;664	;Disminuir por18.3%	; --%	;74	;Disminuir por73.4%	; --%	;102	;Disminuir por38.9%	; --%	;
7	;(Viernes)2025/11/07	;728	;Disminuir por56.5%	; --%	;721	;Disminuir por56.6%	; --%	;334	;Disminuir por22.0%	; --%	;643	;Disminuir por4.3%	; --%	;105	;Disminuir por50.5%	; --%	;120	;Disminuir por27.7%	; --%	;
8	;(Sábado)2025/11/08	;796	;Disminuir por34.3%	; --%	;1045	;Aumentar por3.5%	; --%	;446	;Aumentar por18.6%	; --%	;535	;Disminuir por21.3%	; --%	;62	;Disminuir por51.9%	; --%	;72	;Disminuir por42.9%	; --%	;
9	;(Domingo)2025/11/09	;821	;Disminuir por50.2%	; --%	;789	;Disminuir por53.3%	; --%	;425	;Disminuir por18.1%	; --%	;441	;Disminuir por15.4%	; --%	;117	;Disminuir por13.3%	; --%	;63	;Disminuir por25.0%	; --%	;
10	;(Lunes)2025/11/10	;694	;Disminuir por67.5%	; --%	;635	;Disminuir por72.0%	; --%	;335	;Disminuir por43.4%	; --%	;646	;Disminuir por33.0%	; --%	;210	;Aumentar por66.7%	; --%	;132	;Aumentar por17.9%	; --%	;
11	;(Martes)2025/11/11	;577	;Disminuir por59.9%	; --%	;556	;Disminuir por66.9%	; --%	;326	;Disminuir por52.0%	; --%	;560	;Disminuir por22.9%	; --%	;115	;Aumentar por475.0%	; --%	;81	;Aumentar por179.3%	; --%	;
12	;(Miércoles)2025/11/12	;558	;Disminuir por58.0%	; --%	;558	;Disminuir por56.9%	; --%	;278	;Disminuir por54.1%	; --%	;591	;Aumentar por6.3%	; --%	;117	;Aumentar por192.5%	; --%	;105	;Aumentar por183.8%	; --%	;
13	;(Jueves)2025/11/13	;572	;Disminuir por50.6%	; --%	;535	;Disminuir por57.4%	; --%	;304	;Disminuir por32.7%	; --%	;637	;Disminuir por25.8%	; --%	;94	;Aumentar por16.0%	; --%	;89	;Aumentar por58.9%	; --%	;
14	;(Viernes)2025/11/14	;686	;Disminuir por41.4%	; --%	;694	;Disminuir por46.0%	; --%	;361	;Disminuir por12.8%	; --%	;677	;Disminuir por8.8%	; --%	;114	;Disminuir por17.4%	; --%	;98	;Disminuir por25.2%	; --%	;
15	;(Sábado)2025/11/15	;884	;Disminuir por28.2%	; --%	;896	;Disminuir por33.6%	; --%	;395	;Aumentar por7.9%	; --%	;526	;Disminuir por30.5%	; --%	;114	;Disminuir por8.8%	; --%	;72	;Disminuir por40.0%	; --%	;
16	;(Domingo)2025/11/16	;746	;Disminuir por48.0%	; --%	;721	;Disminuir por48.1%	; --%	;385	;Aumentar por8.8%	; --%	;454	;Disminuir por53.6%	; --%	;116	;Sin cambios	; --%	;61	;Disminuir por57.3%	; --%	;
17	;(Lunes)2025/11/17	;577	;Disminuir por77.8%	; --%	;576	;Disminuir por75.8%	; --%	;279	;Disminuir por15.2%	; --%	;640	;Disminuir por45.7%	; --%	;166	;Disminuir por33.9%	; --%	;93	;Disminuir por74.6%	; --%	;
18	;(Martes)2025/11/18	;539	;Disminuir por86.9%	; --%	;557	;Disminuir por86.5%	; --%	;257	;Disminuir por26.6%	; --%	;620	;Disminuir por47.1%	; --%	;80	;Disminuir por77.5%	; --%	;70	;Disminuir por90.5%	; --%	;
19	;(Miércoles)2025/11/19	;542	;Disminuir por76.3%	; --%	;510	;Disminuir por80.8%	; --%	;269	;Disminuir por37.1%	; --%	;570	;Disminuir por43.8%	; --%	;77	;Disminuir por70.2%	; --%	;77	;Disminuir por77.1%	; --%	;
20	;(Jueves)2025/11/20	;467	;Disminuir por69.3%	; --%	;472	;Disminuir por72.0%	; --%	;259	;Disminuir por45.8%	; --%	;642	;Disminuir por20.8%	; --%	;50	;Disminuir por74.7%	; --%	;72	;Disminuir por51.7%	; --%	;
21	;(Viernes)2025/11/21	;481	;Disminuir por63.5%	; --%	;561	;Disminuir por59.0%	; --%	;323	;Disminuir por24.9%	; --%	;663	;Disminuir por14.2%	; --%	;24	;Disminuir por85.5%	; --%	;55	;Disminuir por63.3%	; --%	;
22	;(Sábado)2025/11/22	;815	;Disminuir por30.5%	; --%	;814	;Disminuir por37.5%	; --%	;575	;Aumentar por23.4%	; --%	;660	;Disminuir por17.0%	; --%	;61	;Disminuir por66.3%	; --%	;47	;Disminuir por63.0%	; --%	;
23	;(Domingo)2025/11/23	;625	;Disminuir por52.2%	; --%	;677	;Disminuir por50.0%	; --%	;373	;Disminuir por24.5%	; --%	;401	;Disminuir por48.0%	; --%	;132	;Disminuir por3.6%	; --%	;48	;Disminuir por66.7%	; --%	;
24	;(Lunes)2025/11/24	;582	;Disminuir por63.3%	; --%	;592	;Disminuir por63.3%	; --%	;270	;Disminuir por49.1%	; --%	;684	;Disminuir por23.7%	; --%	;148	;Disminuir por18.2%	; --%	;97	;Disminuir por29.2%	; --%	;
25	;(Martes)2025/11/25	;412	;Disminuir por81.3%	; --%	;461	;Disminuir por82.0%	; --%	;262	;Disminuir por54.0%	; --%	;608	;Disminuir por24.6%	; --%	;56	;Disminuir por73.5%	; --%	;74	;Disminuir por45.6%	; --%	;
26	;(Miércoles)2025/11/26	;386	;Disminuir por77.1%	; --%	;390	;Disminuir por77.7%	; --%	;252	;Disminuir por60.1%	; --%	;594	;Disminuir por4.8%	; --%	;37	;Disminuir por64.8%	; --%	;57	;Disminuir por1.7%	; --%	;
27	;(Jueves)2025/11/27	;458	;Disminuir por36.1%	; --%	;411	;Disminuir por37.0%	; --%	;284	;Disminuir por5.3%	; --%	;621	;Aumentar por8.9%	; --%	;53	;Disminuir por77.4%	; --%	;78	;Disminuir por3.7%	; --%	;
28	;(Viernes)2025/11/28	;1377	;Aumentar por15200.0%	; --%	;1301	; --%	; --%	;538	; --%	; --%	;1071	; --%	; --%	;107	; --%	; --%	;98	; --%	; --%	;
29	;(Sábado)2025/11/29	;1139	;Aumentar por45.8%	; --%	;1158	;Aumentar por38.7%	; --%	;494	;Aumentar por37.6%	; --%	;726	;Aumentar por12.0%	; --%	;94	;Disminuir por35.6%	; --%	;83	;Aumentar por1.2%	; --%	;
30	;(Domingo)2025/11/30	;651	;Disminuir por13.0%	; --%	;888	;Aumentar por15.9%	; --%	;492	;Aumentar por64.0%	; --%	;441	;Disminuir por28.1%	; --%	;45	;Disminuir por62.8%	; --%	;34	;Disminuir por65.3%	; --%	;

Exportar contenido:Subtipos de vehículos a motor	;
Hora del informe: 2025/11/01 00:00:00 - 2025/11/30 23:59:59	;

N.º	;Hora	;Autobuses	; 	; 	; 	; 	; 	;Monovolúmenes	; 	; 	; 	; 	; 	;Sedanes pequeños	; 	; 	; 	; 	; 	;Camiones	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Sábado)2025/11/01	;22	;Disminuir por15.4%	; --%	;3	;Disminuir por75.0%	; --%	;19	;Aumentar por58.3%	; --%	;65	;Disminuir por41.4%	; --%	;593	;Aumentar por39.9%	; --%	;541	;Disminuir por14.3%	; --%	;6	;Disminuir por68.4%	; --%	;8	;Disminuir por79.5%	; --%	;
2	;(Domingo)2025/11/02	;12	;Disminuir por53.8%	; --%	;5	;Aumentar por25.0%	; --%	;8	;Disminuir por57.9%	; --%	;47	;Disminuir por47.2%	; --%	;534	;Aumentar por14.1%	; --%	;511	;Disminuir por15.8%	; --%	;2	;Disminuir por84.6%	; --%	;8	;Disminuir por81.0%	; --%	;
3	;(Lunes)2025/11/03	;9	;Disminuir por72.7%	; --%	;3	;Disminuir por25.0%	; --%	;16	;Disminuir por5.9%	; --%	;94	;Disminuir por24.2%	; --%	;310	;Disminuir por34.6%	; --%	;558	;Disminuir por22.3%	; --%	;10	;Disminuir por33.3%	; --%	;31	;Disminuir por20.5%	; --%	;
4	;(Martes)2025/11/04	;17	;Disminuir por69.1%	; --%	;3	;Disminuir por25.0%	; --%	;8	;Disminuir por55.6%	; --%	;72	;Disminuir por16.3%	; --%	;283	;Disminuir por50.3%	; --%	;442	;Disminuir por34.2%	; --%	;8	;Disminuir por38.5%	; --%	;25	;Disminuir por16.7%	; --%	;
5	;(Miércoles)2025/11/05	;11	;Disminuir por73.2%	; --%	;2	;Disminuir por50.0%	; --%	;8	;Disminuir por52.9%	; --%	;82	;Aumentar por57.7%	; --%	;262	;Disminuir por56.0%	; --%	;496	;Disminuir por8.3%	; --%	;4	;Disminuir por50.0%	; --%	;4	;Disminuir por80.0%	; --%	;
6	;(Jueves)2025/11/06	;6	;Disminuir por64.7%	; --%	;5	;Disminuir por16.7%	; --%	;3	;Disminuir por76.9%	; --%	;105	;Sin cambios	; --%	;283	;Disminuir por42.0%	; --%	;544	;Disminuir por19.8%	; --%	;0	;Disminuir por100.0%	; --%	;10	;Disminuir por54.5%	; --%	;
7	;(Viernes)2025/11/07	;14	;Disminuir por57.6%	; --%	;3	;Disminuir por50.0%	; --%	;13	;Aumentar por8.3%	; --%	;107	;Aumentar por23.0%	; --%	;306	;Disminuir por16.4%	; --%	;512	;Disminuir por6.2%	; --%	;2	;Disminuir por88.2%	; --%	;21	;Disminuir por36.4%	; --%	;
8	;(Sábado)2025/11/08	;9	;Disminuir por64.0%	; --%	;4	;Disminuir por66.7%	; --%	;11	;Aumentar por37.5%	; --%	;51	;Disminuir por52.3%	; --%	;421	;Aumentar por29.5%	; --%	;472	;Disminuir por10.4%	; --%	;5	;Disminuir por70.6%	; --%	;8	;Disminuir por75.8%	; --%	;
9	;(Domingo)2025/11/09	;8	;Disminuir por76.5%	; --%	;3	;Disminuir por40.0%	; --%	;7	;Disminuir por56.3%	; --%	;48	;Disminuir por2.0%	; --%	;408	;Disminuir por11.9%	; --%	;381	;Disminuir por16.1%	; --%	;2	;Disminuir por66.7%	; --%	;9	;Disminuir por10.0%	; --%	;
10	;(Lunes)2025/11/10	;9	;Disminuir por79.5%	; --%	;1	;Disminuir por90.9%	; --%	;14	;Disminuir por12.5%	; --%	;89	;Disminuir por4.3%	; --%	;310	;Disminuir por41.2%	; --%	;532	;Disminuir por35.9%	; --%	;2	;Disminuir por60.0%	; --%	;24	;Disminuir por4.0%	; --%	;
11	;(Martes)2025/11/11	;17	;Disminuir por72.6%	; --%	;2	;Disminuir por81.8%	; --%	;13	;Disminuir por43.5%	; --%	;73	;Aumentar por23.7%	; --%	;291	;Disminuir por49.5%	; --%	;470	;Disminuir por26.4%	; --%	;5	;Disminuir por70.6%	; --%	;15	;Aumentar por36.4%	; --%	;
12	;(Miércoles)2025/11/12	;8	;Disminuir por65.2%	; --%	;4	;Disminuir por20.0%	; --%	;3	;Disminuir por50.0%	; --%	;84	;Aumentar por95.3%	; --%	;265	;Disminuir por54.1%	; --%	;491	;Disminuir por1.8%	; --%	;2	; --%	; --%	;12	;Aumentar por50.0%	; --%	;
13	;(Jueves)2025/11/13	;13	;Aumentar por18.2%	; --%	;0	;Disminuir por100.0%	; --%	;14	;Aumentar por7.7%	; --%	;96	;Aumentar por1.1%	; --%	;277	;Disminuir por35.0%	; --%	;532	;Disminuir por28.1%	; --%	;0	;Disminuir por100.0%	; --%	;9	;Disminuir por40.0%	; --%	;
14	;(Viernes)2025/11/14	;9	;Aumentar por28.6%	; --%	;4	;Disminuir por42.9%	; --%	;14	;Aumentar por7.7%	; --%	;87	;Disminuir por6.5%	; --%	;336	;Disminuir por13.2%	; --%	;572	;Disminuir por6.5%	; --%	;2	;Disminuir por71.4%	; --%	;14	;Disminuir por53.3%	; --%	;
15	;(Sábado)2025/11/15	;12	;Aumentar por33.3%	; --%	;0	;Disminuir por100.0%	; --%	;9	;Disminuir por35.7%	; --%	;48	;Disminuir por57.9%	; --%	;374	;Aumentar por11.6%	; --%	;467	;Disminuir por24.3%	; --%	;0	;Disminuir por100.0%	; --%	;11	;Disminuir por47.6%	; --%	;
16	;(Domingo)2025/11/16	;11	;Aumentar por266.7%	; --%	;5	;Sin cambios	; --%	;9	;Disminuir por25.0%	; --%	;41	;Disminuir por73.9%	; --%	;365	;Aumentar por9.3%	; --%	;402	;Disminuir por49.6%	; --%	;0	;Disminuir por100.0%	; --%	;6	;Disminuir por70.0%	; --%	;
17	;(Lunes)2025/11/17	;6	;Aumentar por20.0%	; --%	;5	;Aumentar por66.7%	; --%	;8	;Disminuir por27.3%	; --%	;93	;Disminuir por45.3%	; --%	;263	;Disminuir por15.2%	; --%	;532	;Disminuir por44.3%	; --%	;2	;Sin cambios	; --%	;10	;Disminuir por75.0%	; --%	;
18	;(Martes)2025/11/18	;8	;Disminuir por27.3%	; --%	;4	;Disminuir por75.0%	; --%	;8	;Aumentar por14.3%	; --%	;99	;Disminuir por1.0%	; --%	;236	;Disminuir por26.3%	; --%	;492	;Disminuir por48.8%	; --%	;5	;Aumentar por25.0%	; --%	;25	;Disminuir por37.5%	; --%	;
19	;(Miércoles)2025/11/19	;4	;Disminuir por63.6%	; --%	;2	;Disminuir por88.2%	; --%	;8	;Disminuir por20.0%	; --%	;73	;Disminuir por13.1%	; --%	;253	;Disminuir por36.4%	; --%	;483	;Disminuir por44.4%	; --%	;4	;Disminuir por42.9%	; --%	;12	;Disminuir por53.8%	; --%	;
20	;(Jueves)2025/11/20	;7	;Disminuir por22.2%	; --%	;4	;Disminuir por50.0%	; --%	;12	;Sin cambios	; --%	;96	;Disminuir por17.9%	; --%	;238	;Disminuir por47.2%	; --%	;523	;Disminuir por20.8%	; --%	;2	;Disminuir por66.7%	; --%	;19	;Disminuir por24.0%	; --%	;
21	;(Viernes)2025/11/21	;9	;Sin cambios	; --%	;3	;Disminuir por50.0%	; --%	;9	;Disminuir por47.1%	; --%	;96	;Disminuir por17.2%	; --%	;302	;Disminuir por24.5%	; --%	;534	;Disminuir por14.6%	; --%	;3	;Disminuir por25.0%	; --%	;30	;Aumentar por30.4%	; --%	;
22	;(Sábado)2025/11/22	;9	;Aumentar por12.5%	; --%	;3	;Disminuir por40.0%	; --%	;24	;Disminuir por17.2%	; --%	;81	;Disminuir por27.0%	; --%	;539	;Aumentar por26.2%	; --%	;563	;Disminuir por14.3%	; --%	;3	;Aumentar por50.0%	; --%	;13	;Disminuir por40.9%	; --%	;
23	;(Domingo)2025/11/23	;4	;Disminuir por69.2%	; --%	;3	;Disminuir por78.6%	; --%	;13	;Disminuir por31.6%	; --%	;43	;Disminuir por59.4%	; --%	;354	;Disminuir por22.5%	; --%	;348	;Disminuir por44.4%	; --%	;2	;Disminuir por60.0%	; --%	;7	;Disminuir por72.0%	; --%	;
24	;(Lunes)2025/11/24	;2	;Disminuir por80.0%	; --%	;1	;Disminuir por83.3%	; --%	;11	;Disminuir por54.2%	; --%	;104	;Disminuir por7.1%	; --%	;255	;Disminuir por48.3%	; --%	;567	;Disminuir por24.7%	; --%	;2	;Disminuir por33.3%	; --%	;12	;Disminuir por52.0%	; --%	;
25	;(Martes)2025/11/25	;3	;Disminuir por57.1%	; --%	;5	;Disminuir por37.5%	; --%	;8	;Disminuir por38.5%	; --%	;94	;Aumentar por4.4%	; --%	;246	;Disminuir por54.9%	; --%	;484	;Disminuir por30.0%	; --%	;5	;Aumentar por150.0%	; --%	;25	;Aumentar por66.7%	; --%	;
26	;(Miércoles)2025/11/26	;2	;Disminuir por83.3%	; --%	;5	;Disminuir por44.4%	; --%	;4	;Disminuir por50.0%	; --%	;82	;Aumentar por105.0%	; --%	;244	;Disminuir por60.1%	; --%	;484	;Disminuir por14.3%	; --%	;2	;Aumentar por100.0%	; --%	;23	;Aumentar por130.0%	; --%	;
27	;(Jueves)2025/11/27	;2	;Disminuir por50.0%	; --%	;6	;Aumentar por200.0%	; --%	;15	;Aumentar por25.0%	; --%	;70	;Disminuir por15.7%	; --%	;265	;Disminuir por5.7%	; --%	;519	;Aumentar por12.1%	; --%	;2	;Disminuir por33.3%	; --%	;26	;Aumentar por18.2%	; --%	;
28	;(Viernes)2025/11/28	;13	; --%	; --%	;14	; --%	; --%	;12	; --%	; --%	;118	; --%	; --%	;507	; --%	; --%	;897	; --%	; --%	;5	; --%	; --%	;27	; --%	; --%	;
29	;(Sábado)2025/11/29	;27	;Aumentar por107.7%	; --%	;4	;Disminuir por20.0%	; --%	;8	;Disminuir por11.1%	; --%	;75	;Disminuir por5.1%	; --%	;450	;Aumentar por34.7%	; --%	;636	;Aumentar por16.9%	; --%	;9	;Aumentar por200.0%	; --%	;12	;Disminuir por40.0%	; --%	;
30	;(Domingo)2025/11/30	;11	;Disminuir por15.4%	; --%	;1	;Disminuir por50.0%	; --%	;9	;Sin cambios	; --%	;36	;Disminuir por44.6%	; --%	;471	;Aumentar por73.8%	; --%	;397	;Disminuir por22.8%	; --%	;1	;Disminuir por85.7%	; --%	;7	;Disminuir por78.1%	; --%	;
