Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:49:50	;
Operador: Touristcheck	;
Objetivo de estadísticas: Plaza Illueca - Avda. Papa Luna	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
460514	;Disminuir por35.7%	;Aumentar por78.0%	;467360	;Disminuir por33.7%	;Aumentar por80.6%	;109637	;Disminuir por16.9%	;Aumentar por89.6%	;194570	;Disminuir por10.7%	;Aumentar por137.2%	;24556	;Disminuir por43.1%	;Aumentar por39.8%	;31151	;Disminuir por27.2%	;Aumentar por105.1%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;517	;Disminuir por92.5%	; --%	;517	;Disminuir por92.6%	; --%	;334	;Disminuir por60.2%	; --%	;669	;Disminuir por53.5%	; --%	;129	;Disminuir por59.8%	; --%	;81	;Disminuir por59.7%	; --%	;
2	;(Martes)2025/12/02	;533	;Disminuir por90.2%	; --%	;534	;Disminuir por90.1%	; --%	;315	;Disminuir por59.1%	; --%	;659	;Disminuir por50.7%	; --%	;59	;Disminuir por79.4%	; --%	;76	;Disminuir por65.8%	; --%	;
3	;(Miércoles)2025/12/03	;605	;Disminuir por84.3%	; --%	;605	;Disminuir por84.7%	; --%	;285	;Disminuir por66.5%	; --%	;612	;Disminuir por39.2%	; --%	;44	;Disminuir por85.1%	; --%	;65	;Disminuir por60.8%	; --%	;
4	;(Jueves)2025/12/04	;671	;Disminuir por68.2%	; --%	;674	;Disminuir por71.3%	; --%	;334	;Disminuir por45.1%	; --%	;725	;Disminuir por11.8%	; --%	;61	;Disminuir por44.5%	; --%	;71	;Disminuir por34.3%	; --%	;
5	;(Viernes)2025/12/05	;1022	;Disminuir por49.8%	; --%	;1046	;Disminuir por51.8%	; --%	;460	;Disminuir por23.7%	; --%	;840	;Aumentar por3.3%	; --%	;90	;Disminuir por61.7%	; --%	;95	;Disminuir por34.0%	; --%	;
6	;(Sábado)2025/12/06	;2867	;Aumentar por38.0%	; --%	;3123	;Aumentar por42.5%	; --%	;645	;Aumentar por14.2%	; --%	;1327	;Aumentar por55.9%	; --%	;164	;Disminuir por23.0%	; --%	;97	;Disminuir por37.8%	; --%	;
7	;(Domingo)2025/12/07	;3463	;Aumentar por63.7%	; --%	;3873	;Aumentar por80.1%	; --%	;499	;Disminuir por14.6%	; --%	;1451	;Aumentar por47.0%	; --%	;164	;Disminuir por14.1%	; --%	;143	;Disminuir por8.3%	; --%	;
8	;(Lunes)2025/12/08	;1554	;Disminuir por46.0%	; --%	;1661	;Disminuir por43.9%	; --%	;554	;Disminuir por17.7%	; --%	;897	;Aumentar por4.2%	; --%	;119	;Disminuir por39.6%	; --%	;83	;Disminuir por44.3%	; --%	;
9	;(Martes)2025/12/09	;639	;Disminuir por71.5%	; --%	;588	;Disminuir por75.8%	; --%	;331	;Disminuir por47.0%	; --%	;680	;Disminuir por0.6%	; --%	;99	;Disminuir por53.3%	; --%	;81	;Disminuir por31.4%	; --%	;
10	;(Miércoles)2025/12/10	;556	;Disminuir por13.9%	; --%	;539	;Aumentar por9.1%	; --%	;289	;Aumentar por33.8%	; --%	;574	;Aumentar por91.3%	; --%	;89	;Disminuir por8.2%	; --%	;77	;Aumentar por120.0%	; --%	;
11	;(Jueves)2025/12/11	;492	;Disminuir por37.9%	; --%	;485	;Disminuir por44.9%	; --%	;309	;Disminuir por19.1%	; --%	;687	;Aumentar por64.7%	; --%	;69	;Disminuir por33.7%	; --%	;71	;Disminuir por22.8%	; --%	;
12	;(Viernes)2025/12/12	;680	;Disminuir por55.1%	; --%	;645	;Disminuir por60.3%	; --%	;356	;Disminuir por45.8%	; --%	;667	;Disminuir por22.8%	; --%	;84	;Disminuir por46.2%	; --%	;72	;Disminuir por36.8%	; --%	;
13	;(Sábado)2025/12/13	;1129	;Disminuir por71.0%	; --%	;1314	;Disminuir por69.1%	; --%	;532	;Disminuir por37.9%	; --%	;697	;Disminuir por37.4%	; --%	;78	;Disminuir por66.7%	; --%	;70	;Disminuir por50.4%	; --%	;
14	;(Domingo)2025/12/14	;267	;Disminuir por93.3%	; --%	;305	;Disminuir por93.2%	; --%	;282	;Disminuir por67.4%	; --%	;345	;Disminuir por74.0%	; --%	;12	;Disminuir por90.1%	; --%	;14	;Disminuir por88.7%	; --%	;
15	;(Lunes)2025/12/15	;330	;Disminuir por91.2%	; --%	;310	;Disminuir por92.3%	; --%	;312	;Disminuir por57.7%	; --%	;623	;Disminuir por43.4%	; --%	;7	;Disminuir por97.4%	; --%	;21	;Disminuir por90.2%	; --%	;
16	;(Martes)2025/12/16	;428	;Disminuir por80.1%	; --%	;384	;Disminuir por82.6%	; --%	;258	;Disminuir por68.2%	; --%	;673	;Disminuir por6.0%	; --%	;30	;Disminuir por82.4%	; --%	;44	;Disminuir por57.7%	; --%	;
17	;(Miércoles)2025/12/17	;355	;Disminuir por73.3%	; --%	;342	;Disminuir por78.4%	; --%	;281	;Disminuir por51.4%	; --%	;631	;Disminuir por19.5%	; --%	;6	;Disminuir por97.1%	; --%	;28	;Disminuir por78.6%	; --%	;
18	;(Jueves)2025/12/18	;547	;Disminuir por58.6%	; --%	;463	;Disminuir por68.2%	; --%	;276	;Disminuir por50.6%	; --%	;616	;Disminuir por12.3%	; --%	;60	;Disminuir por62.7%	; --%	;75	;Disminuir por25.7%	; --%	;
19	;(Viernes)2025/12/19	;622	;Disminuir por54.0%	; --%	;537	;Disminuir por59.5%	; --%	;374	;Disminuir por28.2%	; --%	;674	;Disminuir por4.7%	; --%	;67	;Disminuir por47.7%	; --%	;100	;Aumentar por1.0%	; --%	;
20	;(Sábado)2025/12/20	;1053	;Disminuir por5.3%	; --%	;1018	;Disminuir por16.0%	; --%	;450	;Disminuir por15.1%	; --%	;620	;Disminuir por21.1%	; --%	;90	;Aumentar por9.8%	; --%	;50	;Disminuir por44.4%	; --%	;
21	;(Domingo)2025/12/21	;1005	;Disminuir por28.2%	; --%	;897	;Disminuir por41.2%	; --%	;430	;Disminuir por10.8%	; --%	;516	;Disminuir por35.4%	; --%	;76	;Disminuir por35.0%	; --%	;51	;Disminuir por58.9%	; --%	;
22	;(Lunes)2025/12/22	;724	;Disminuir por64.4%	; --%	;818	;Disminuir por63.0%	; --%	;337	;Disminuir por53.6%	; --%	;717	;Disminuir por0.1%	; --%	;170	;Aumentar por21.4%	; --%	;76	;Disminuir por39.2%	; --%	;
23	;(Martes)2025/12/23	;620	;Disminuir por61.7%	; --%	;618	;Disminuir por66.9%	; --%	;299	;Disminuir por54.8%	; --%	;696	;Aumentar por26.8%	; --%	;71	;Disminuir por67.1%	; --%	;61	;Disminuir por31.5%	; --%	;
24	;(Miércoles)2025/12/24	;623	;Disminuir por58.2%	; --%	;630	;Disminuir por61.3%	; --%	;291	;Disminuir por51.3%	; --%	;505	;Disminuir por31.7%	; --%	;90	;Disminuir por65.1%	; --%	;68	;Disminuir por50.4%	; --%	;
25	;(Jueves)2025/12/25	;427	;Disminuir por68.8%	; --%	;501	;Disminuir por63.7%	; --%	;363	;Disminuir por22.6%	; --%	;383	;Disminuir por36.5%	; --%	;3	;Disminuir por98.5%	; --%	;16	;Disminuir por86.4%	; --%	;
26	;(Viernes)2025/12/26	;723	;Disminuir por46.2%	; --%	;842	;Disminuir por39.4%	; --%	;418	;Disminuir por18.8%	; --%	;564	;Disminuir por14.7%	; --%	;22	;Disminuir por85.2%	; --%	;27	;Disminuir por69.7%	; --%	;
27	;(Sábado)2025/12/27	;525	;Disminuir por63.2%	; --%	;588	;Disminuir por62.5%	; --%	;493	;Disminuir por10.2%	; --%	;553	;Disminuir por27.2%	; --%	;10	;Disminuir por95.4%	; --%	;14	;Disminuir por86.9%	; --%	;
28	;(Domingo)2025/12/28	;895	;Disminuir por55.2%	; --%	;1140	;Disminuir por42.5%	; --%	;517	;Disminuir por11.6%	; --%	;488	;Disminuir por45.9%	; --%	;36	;Disminuir por82.5%	; --%	;19	;Disminuir por86.4%	; --%	;
