Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2025/12/02 19:14:41	;
Operador: Touristcheck	;
Objetivo de estadísticas: Rotonda 3 CV-140	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/07/01 00:00:00 - 2025/07/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
5619	;Aumentar por39.1%	; --%	;5324	;Aumentar por53.3%	; --%	;119484	;Aumentar por22.6%	; --%	;101397	;Aumentar por19.3%	; --%	;20400	;Aumentar por14.3%	; --%	;15585	;Aumentar por14.5%	; --%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Martes)2025/07/01	;148	;Aumentar por21.3%	; --%	;127	;Aumentar por17.6%	; --%	;3650	;Aumentar por66.3%	; --%	;3087	;Aumentar por55.3%	; --%	;614	;Aumentar por26.9%	; --%	;431	;Aumentar por8.6%	; --%	;
2	;(Miércoles)2025/07/02	;150	;Aumentar por21.0%	; --%	;147	;Aumentar por63.3%	; --%	;3655	;Aumentar por4.2%	; --%	;3176	;Aumentar por7.1%	; --%	;625	;Aumentar por9.1%	; --%	;483	;Aumentar por4.1%	; --%	;
3	;(Jueves)2025/07/03	;137	;Aumentar por20.2%	; --%	;133	;Aumentar por31.7%	; --%	;3418	;Aumentar por12.6%	; --%	;2795	;Aumentar por7.3%	; --%	;580	;Aumentar por12.6%	; --%	;425	;Aumentar por9.0%	; --%	;
4	;(Viernes)2025/07/04	;153	;Aumentar por41.7%	; --%	;147	;Aumentar por61.5%	; --%	;3713	;Aumentar por23.0%	; --%	;3286	;Aumentar por26.6%	; --%	;668	;Aumentar por18.0%	; --%	;537	;Aumentar por25.5%	; --%	;
5	;(Sábado)2025/07/05	;158	;Aumentar por42.3%	; --%	;158	;Aumentar por62.9%	; --%	;3735	;Aumentar por19.7%	; --%	;3348	;Aumentar por25.5%	; --%	;632	;Aumentar por14.9%	; --%	;504	;Aumentar por23.8%	; --%	;
6	;(Domingo)2025/07/06	;176	;Aumentar por49.2%	; --%	;143	;Aumentar por50.5%	; --%	;2967	;Disminuir por10.5%	; --%	;2731	;Disminuir por5.7%	; --%	;637	;Aumentar por8.3%	; --%	;484	;Aumentar por8.8%	; --%	;
7	;(Lunes)2025/07/07	;163	;Aumentar por28.3%	; --%	;152	;Aumentar por35.7%	; --%	;3923	;Aumentar por19.0%	; --%	;3375	;Aumentar por10.4%	; --%	;688	;Aumentar por11.0%	; --%	;513	;Aumentar por8.5%	; --%	;
8	;(Martes)2025/07/08	;191	;Aumentar por27.3%	; --%	;180	;Aumentar por39.5%	; --%	;3863	;Aumentar por44.7%	; --%	;3394	;Aumentar por47.2%	; --%	;767	;Aumentar por42.3%	; --%	;542	;Aumentar por20.7%	; --%	;
9	;(Miércoles)2025/07/09	;133	;Aumentar por18.8%	; --%	;106	;Disminuir por9.4%	; --%	;4166	;Aumentar por17.2%	; --%	;3514	;Aumentar por18.1%	; --%	;285	;Disminuir por52.5%	; --%	;194	;Disminuir por58.4%	; --%	;
10	;(Jueves)2025/07/10	;172	;Aumentar por50.9%	; --%	;175	;Aumentar por56.3%	; --%	;3642	;Aumentar por17.2%	; --%	;3108	;Aumentar por15.6%	; --%	;651	;Aumentar por25.9%	; --%	;569	;Aumentar por47.0%	; --%	;
11	;(Viernes)2025/07/11	;180	;Aumentar por33.3%	; --%	;172	;Aumentar por41.0%	; --%	;4075	;Aumentar por27.8%	; --%	;3406	;Aumentar por19.8%	; --%	;526	;Disminuir por16.4%	; --%	;414	;Disminuir por17.2%	; --%	;
12	;(Sábado)2025/07/12	;113	;Disminuir por11.7%	; --%	;85	;Disminuir por22.0%	; --%	;3612	;Aumentar por17.7%	; --%	;3269	;Aumentar por21.3%	; --%	;307	;Disminuir por45.0%	; --%	;227	;Disminuir por50.7%	; --%	;
13	;(Domingo)2025/07/13	;172	;Aumentar por48.3%	; --%	;157	;Aumentar por51.0%	; --%	;3046	;Disminuir por15.7%	; --%	;2685	;Disminuir por10.1%	; --%	;590	;Disminuir por8.5%	; --%	;480	;Disminuir por8.4%	; --%	;
14	;(Lunes)2025/07/14	;182	;Aumentar por42.2%	; --%	;157	;Aumentar por45.4%	; --%	;3997	;Aumentar por27.8%	; --%	;3406	;Aumentar por17.7%	; --%	;699	;Aumentar por21.6%	; --%	;553	;Aumentar por21.0%	; --%	;
15	;(Martes)2025/07/15	;187	;Aumentar por47.2%	; --%	;153	;Aumentar por37.8%	; --%	;3823	;Aumentar por51.9%	; --%	;3233	;Aumentar por44.5%	; --%	;737	;Aumentar por34.5%	; --%	;560	;Aumentar por31.8%	; --%	;
16	;(Miércoles)2025/07/16	;230	;Aumentar por74.2%	; --%	;206	;Aumentar por87.3%	; --%	;3904	;Aumentar por14.5%	; --%	;3235	;Aumentar por13.9%	; --%	;709	;Aumentar por27.5%	; --%	;516	;Aumentar por19.2%	; --%	;
17	;(Jueves)2025/07/17	;160	;Aumentar por6.7%	; --%	;182	;Aumentar por43.3%	; --%	;3985	;Aumentar por23.5%	; --%	;3294	;Aumentar por17.4%	; --%	;702	;Aumentar por11.8%	; --%	;534	;Aumentar por13.1%	; --%	;
18	;(Viernes)2025/07/18	;158	;Aumentar por16.2%	; --%	;175	;Aumentar por73.3%	; --%	;3838	;Aumentar por19.0%	; --%	;3073	;Aumentar por11.0%	; --%	;685	;Aumentar por11.0%	; --%	;497	;Aumentar por5.3%	; --%	;
19	;(Sábado)2025/07/19	;225	;Aumentar por94.0%	; --%	;203	;Aumentar por93.3%	; --%	;4082	;Aumentar por21.4%	; --%	;3559	;Aumentar por22.2%	; --%	;774	;Aumentar por31.4%	; --%	;580	;Aumentar por38.8%	; --%	;
20	;(Domingo)2025/07/20	;190	;Aumentar por38.7%	; --%	;181	;Aumentar por49.6%	; --%	;3376	;Disminuir por7.1%	; --%	;3035	;Disminuir por4.3%	; --%	;682	;Aumentar por12.4%	; --%	;559	;Aumentar por22.9%	; --%	;
21	;(Lunes)2025/07/21	;207	;Aumentar por29.4%	; --%	;196	;Aumentar por28.1%	; --%	;4310	;Aumentar por20.1%	; --%	;3610	;Aumentar por12.3%	; --%	;803	;Aumentar por26.3%	; --%	;617	;Aumentar por35.0%	; --%	;
22	;(Martes)2025/07/22	;196	;Aumentar por14.6%	; --%	;191	;Aumentar por64.7%	; --%	;4056	;Aumentar por46.5%	; --%	;3418	;Aumentar por38.0%	; --%	;767	;Aumentar por24.7%	; --%	;592	;Aumentar por29.8%	; --%	;
23	;(Miércoles)2025/07/23	;166	;Aumentar por21.2%	; --%	;144	;Aumentar por2.9%	; --%	;4095	;Aumentar por7.0%	; --%	;3398	;Aumentar por2.3%	; --%	;507	;Disminuir por21.5%	; --%	;379	;Disminuir por19.0%	; --%	;
24	;(Jueves)2025/07/24	;189	;Aumentar por27.7%	; --%	;186	;Aumentar por39.8%	; --%	;4366	;Aumentar por32.2%	; --%	;3631	;Aumentar por28.3%	; --%	;479	;Disminuir por25.4%	; --%	;393	;Disminuir por19.3%	; --%	;
25	;(Viernes)2025/07/25	;196	;Aumentar por14.0%	; --%	;186	;Aumentar por40.9%	; --%	;4316	;Aumentar por20.3%	; --%	;3619	;Aumentar por17.0%	; --%	;715	;Aumentar por3.8%	; --%	;553	;Aumentar por8.2%	; --%	;
26	;(Sábado)2025/07/26	;239	;Aumentar por55.2%	; --%	;224	;Aumentar por77.8%	; --%	;4454	;Aumentar por22.2%	; --%	;3715	;Aumentar por17.1%	; --%	;817	;Aumentar por28.5%	; --%	;603	;Aumentar por26.9%	; --%	;
27	;(Domingo)2025/07/27	;186	;Aumentar por27.4%	; --%	;198	;Aumentar por42.4%	; --%	;3238	;Disminuir por14.4%	; --%	;2846	;Disminuir por12.7%	; --%	;718	;Aumentar por5.1%	; --%	;520	;Aumentar por6.1%	; --%	;
28	;(Lunes)2025/07/28	;213	;Aumentar por23.1%	; --%	;208	;Aumentar por56.4%	; --%	;4171	;Aumentar por27.2%	; --%	;3379	;Aumentar por13.6%	; --%	;722	;Aumentar por31.0%	; --%	;563	;Aumentar por37.0%	; --%	;
29	;(Martes)2025/07/29	;219	;Aumentar por62.2%	; --%	;232	;Aumentar por100.0%	; --%	;3946	;Aumentar por38.7%	; --%	;3188	;Aumentar por23.7%	; --%	;771	;Aumentar por36.0%	; --%	;600	;Aumentar por31.0%	; --%	;
30	;(Miércoles)2025/07/30	;219	;Aumentar por58.7%	; --%	;206	;Aumentar por80.7%	; --%	;4068	;Aumentar por12.0%	; --%	;3394	;Aumentar por6.3%	; --%	;776	;Aumentar por15.1%	; --%	;609	;Aumentar por27.4%	; --%	;
31	;(Jueves)2025/07/31	;211	; --%	; --%	;214	; --%	; --%	;3994	; --%	; --%	;3190	; --%	; --%	;767	; --%	; --%	;554	; --%	; --%	;

Exportar contenido:Subtipos de vehículos a motor	;
Hora del informe: 2025/07/01 00:00:00 - 2025/07/31 23:59:59	;

N.º	;Hora	;Autobuses	; 	; 	; 	; 	; 	;Monovolúmenes	; 	; 	; 	; 	; 	;Sedanes pequeños	; 	; 	; 	; 	; 	;Camiones	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Martes)2025/07/01	;28	;Aumentar por115.4%	; --%	;12	;Aumentar por20.0%	; --%	;433	;Aumentar por167.3%	; --%	;103	;Aumentar por98.1%	; --%	;3133	;Aumentar por55.6%	; --%	;2962	;Aumentar por54.0%	; --%	;53	;Aumentar por657.1%	; --%	;10	;Aumentar por400.0%	; --%	;
2	;(Miércoles)2025/07/02	;27	;Disminuir por34.1%	; --%	;9	;Disminuir por18.2%	; --%	;452	;Disminuir por13.9%	; --%	;121	;Aumentar por6.1%	; --%	;3127	;Aumentar por8.8%	; --%	;3034	;Aumentar por7.1%	; --%	;48	;Disminuir por27.3%	; --%	;12	;Aumentar por71.4%	; --%	;
3	;(Jueves)2025/07/03	;24	;Disminuir por7.7%	; --%	;10	;Disminuir por16.7%	; --%	;411	;Disminuir por9.1%	; --%	;119	;Aumentar por26.6%	; --%	;2929	;Aumentar por16.0%	; --%	;2654	;Aumentar por6.6%	; --%	;54	;Aumentar por68.8%	; --%	;12	;Aumentar por33.3%	; --%	;
4	;(Viernes)2025/07/04	;28	;Aumentar por47.4%	; --%	;7	;Disminuir por22.2%	; --%	;418	;Disminuir por7.1%	; --%	;111	;Aumentar por1.8%	; --%	;3217	;Aumentar por28.7%	; --%	;3163	;Aumentar por28.0%	; --%	;52	;Aumentar por6.1%	; --%	;5	;Sin cambios	; --%	;
5	;(Sábado)2025/07/05	;20	;Disminuir por16.7%	; --%	;17	;Aumentar por240.0%	; --%	;286	;Disminuir por37.6%	; --%	;95	;Disminuir por12.8%	; --%	;3408	;Aumentar por31.2%	; --%	;3226	;Aumentar por26.7%	; --%	;19	;Disminuir por53.7%	; --%	;10	;Aumentar por42.9%	; --%	;
6	;(Domingo)2025/07/06	;30	;Aumentar por76.5%	; --%	;11	;Sin cambios	; --%	;184	;Disminuir por54.5%	; --%	;54	;Disminuir por37.9%	; --%	;2744	;Disminuir por3.6%	; --%	;2664	;Disminuir por4.7%	; --%	;10	;Disminuir por78.3%	; --%	;2	;Disminuir por33.3%	; --%	;
7	;(Lunes)2025/07/07	;28	;Aumentar por133.3%	; --%	;5	;Disminuir por68.8%	; --%	;419	;Aumentar por45.5%	; --%	;123	;Aumentar por73.2%	; --%	;3437	;Aumentar por15.5%	; --%	;3244	;Aumentar por9.6%	; --%	;39	;Aumentar por95.0%	; --%	;3	;Disminuir por70.0%	; --%	;
8	;(Martes)2025/07/08	;22	;Aumentar por15.8%	; --%	;8	;Aumentar por14.3%	; --%	;413	;Aumentar por134.7%	; --%	;118	;Aumentar por145.8%	; --%	;3379	;Aumentar por37.3%	; --%	;3262	;Aumentar por45.5%	; --%	;49	;Aumentar por345.5%	; --%	;6	;Disminuir por33.3%	; --%	;
9	;(Miércoles)2025/07/09	;31	;Aumentar por24.0%	; --%	;16	;Aumentar por60.0%	; --%	;410	;Disminuir por16.5%	; --%	;134	;Aumentar por7.2%	; --%	;3688	;Aumentar por22.8%	; --%	;3358	;Aumentar por18.5%	; --%	;36	;Sin cambios	; --%	;6	;Disminuir por14.3%	; --%	;
10	;(Jueves)2025/07/10	;29	;Aumentar por20.8%	; --%	;11	;Disminuir por15.4%	; --%	;442	;Disminuir por2.2%	; --%	;133	;Aumentar por43.0%	; --%	;3117	;Aumentar por21.0%	; --%	;2957	;Aumentar por14.9%	; --%	;54	;Disminuir por3.6%	; --%	;7	;Disminuir por22.2%	; --%	;
11	;(Viernes)2025/07/11	;30	;Aumentar por66.7%	; --%	;6	;Disminuir por45.5%	; --%	;448	;Aumentar por9.3%	; --%	;126	;Aumentar por9.6%	; --%	;3533	;Aumentar por30.3%	; --%	;3269	;Aumentar por20.8%	; --%	;63	;Aumentar por28.6%	; --%	;5	;Disminuir por44.4%	; --%	;
12	;(Sábado)2025/07/12	;26	;Aumentar por30.0%	; --%	;3	;Disminuir por81.3%	; --%	;270	;Disminuir por38.5%	; --%	;80	;Disminuir por27.9%	; --%	;3292	;Aumentar por28.1%	; --%	;3179	;Aumentar por24.0%	; --%	;23	;Disminuir por43.9%	; --%	;7	;Aumentar por16.7%	; --%	;
13	;(Domingo)2025/07/13	;39	;Aumentar por69.6%	; --%	;2	;Disminuir por87.5%	; --%	;188	;Disminuir por60.6%	; --%	;87	;Disminuir por24.3%	; --%	;2810	;Disminuir por8.3%	; --%	;2594	;Disminuir por8.8%	; --%	;7	;Disminuir por86.0%	; --%	;2	;Disminuir por80.0%	; --%	;
14	;(Lunes)2025/07/14	;35	;Aumentar por75.0%	; --%	;2	;Disminuir por93.3%	; --%	;448	;Aumentar por57.7%	; --%	;129	;Aumentar por61.3%	; --%	;3472	;Aumentar por23.6%	; --%	;3270	;Aumentar por17.5%	; --%	;42	;Aumentar por162.5%	; --%	;5	;Aumentar por66.7%	; --%	;
15	;(Martes)2025/07/15	;35	;Aumentar por40.0%	; --%	;1	;Disminuir por95.0%	; --%	;398	;Aumentar por135.5%	; --%	;122	;Aumentar por269.7%	; --%	;3338	;Aumentar por44.3%	; --%	;3104	;Aumentar por42.4%	; --%	;51	;Aumentar por537.5%	; --%	;6	;Aumentar por20.0%	; --%	;
16	;(Miércoles)2025/07/16	;35	;Aumentar por2.9%	; --%	;6	;Disminuir por60.0%	; --%	;381	;Disminuir por12.2%	; --%	;130	;Aumentar por12.1%	; --%	;3428	;Aumentar por19.2%	; --%	;3096	;Aumentar por14.8%	; --%	;60	;Disminuir por7.7%	; --%	;3	;Disminuir por76.9%	; --%	;
17	;(Jueves)2025/07/17	;35	;Disminuir por12.5%	; --%	;5	;Disminuir por70.6%	; --%	;380	;Disminuir por13.2%	; --%	;114	;Aumentar por4.6%	; --%	;3514	;Aumentar por30.0%	; --%	;3166	;Aumentar por18.6%	; --%	;56	;Aumentar por24.4%	; --%	;9	;Sin cambios	; --%	;
18	;(Viernes)2025/07/18	;27	;Disminuir por22.9%	; --%	;5	;Disminuir por61.5%	; --%	;398	;Disminuir por14.4%	; --%	;107	;Disminuir por5.3%	; --%	;3379	;Aumentar por26.0%	; --%	;2957	;Aumentar por12.0%	; --%	;35	;Disminuir por20.5%	; --%	;4	;Aumentar por33.3%	; --%	;
19	;(Sábado)2025/07/19	;33	;Disminuir por5.7%	; --%	;6	;Disminuir por53.8%	; --%	;265	;Disminuir por38.5%	; --%	;90	;Disminuir por10.0%	; --%	;3757	;Aumentar por32.6%	; --%	;3459	;Aumentar por23.8%	; --%	;27	;Disminuir por56.5%	; --%	;4	;Disminuir por20.0%	; --%	;
20	;(Domingo)2025/07/20	;26	;Disminuir por13.3%	; --%	;3	;Disminuir por80.0%	; --%	;187	;Disminuir por53.7%	; --%	;67	;Disminuir por40.7%	; --%	;3145	;Aumentar por0.1%	; --%	;2962	;Disminuir por2.5%	; --%	;16	;Disminuir por72.4%	; --%	;3	;Disminuir por57.1%	; --%	;
21	;(Lunes)2025/07/21	;31	;Aumentar por29.2%	; --%	;1	;Disminuir por92.3%	; --%	;432	;Aumentar por48.5%	; --%	;127	;Aumentar por92.4%	; --%	;3800	;Aumentar por16.7%	; --%	;3478	;Aumentar por11.2%	; --%	;49	;Aumentar por188.2%	; --%	;4	;Disminuir por50.0%	; --%	;
22	;(Martes)2025/07/22	;27	;Aumentar por17.4%	; --%	;6	;Disminuir por62.5%	; --%	;411	;Aumentar por103.5%	; --%	;129	;Aumentar por115.0%	; --%	;3565	;Aumentar por40.6%	; --%	;3278	;Aumentar por36.8%	; --%	;53	;Aumentar por960.0%	; --%	;5	;Sin cambios	; --%	;
23	;(Miércoles)2025/07/23	;33	;Sin cambios	; --%	;3	;Disminuir por78.6%	; --%	;425	;Disminuir por8.4%	; --%	;116	;Disminuir por12.1%	; --%	;3603	;Aumentar por9.8%	; --%	;3277	;Aumentar por3.4%	; --%	;34	;Disminuir por33.3%	; --%	;2	;Disminuir por66.7%	; --%	;
24	;(Jueves)2025/07/24	;29	;Aumentar por11.5%	; --%	;5	;Sin cambios	; --%	;441	;Aumentar por14.5%	; --%	;107	;Aumentar por9.2%	; --%	;3841	;Aumentar por34.3%	; --%	;3511	;Aumentar por28.8%	; --%	;54	;Aumentar por68.8%	; --%	;8	;Aumentar por300.0%	; --%	;
25	;(Viernes)2025/07/25	;38	;Aumentar por58.3%	; --%	;4	;Disminuir por60.0%	; --%	;422	;Aumentar por0.2%	; --%	;134	;Sin cambios	; --%	;3809	;Aumentar por23.6%	; --%	;3474	;Aumentar por18.1%	; --%	;48	;Disminuir por22.6%	; --%	;7	;Aumentar por16.7%	; --%	;
26	;(Sábado)2025/07/26	;27	;Disminuir por15.6%	; --%	;6	;Disminuir por33.3%	; --%	;341	;Disminuir por16.2%	; --%	;119	;Sin cambios	; --%	;4060	;Aumentar por28.5%	; --%	;3587	;Aumentar por18.1%	; --%	;24	;Disminuir por47.8%	; --%	;3	;Disminuir por57.1%	; --%	;
27	;(Domingo)2025/07/27	;31	;Aumentar por6.9%	; --%	;4	;Disminuir por75.0%	; --%	;186	;Disminuir por59.8%	; --%	;84	;Disminuir por27.6%	; --%	;3010	;Disminuir por6.9%	; --%	;2755	;Disminuir por11.6%	; --%	;13	;Disminuir por76.8%	; --%	;3	;Disminuir por75.0%	; --%	;
28	;(Lunes)2025/07/28	;26	;Disminuir por3.7%	; --%	;2	;Disminuir por80.0%	; --%	;456	;Aumentar por64.0%	; --%	;129	;Aumentar por50.0%	; --%	;3648	;Aumentar por23.7%	; --%	;3246	;Aumentar por13.0%	; --%	;41	;Aumentar por78.3%	; --%	;2	;Disminuir por60.0%	; --%	;
29	;(Martes)2025/07/29	;32	;Aumentar por60.0%	; --%	;5	;Disminuir por44.4%	; --%	;420	;Aumentar por121.1%	; --%	;116	;Aumentar por81.3%	; --%	;3444	;Aumentar por31.2%	; --%	;3063	;Aumentar por22.6%	; --%	;50	;Aumentar por400.0%	; --%	;4	;Disminuir por33.3%	; --%	;
30	;(Miércoles)2025/07/30	;25	;Aumentar por4.2%	; --%	;9	;Disminuir por25.0%	; --%	;422	;Disminuir por3.4%	; --%	;142	;Aumentar por9.2%	; --%	;3573	;Aumentar por14.6%	; --%	;3236	;Aumentar por6.2%	; --%	;48	;Disminuir por9.4%	; --%	;7	;Aumentar por40.0%	; --%	;
31	;(Jueves)2025/07/31	;24	; --%	; --%	;6	; --%	; --%	;405	; --%	; --%	;109	; --%	; --%	;3515	; --%	; --%	;3072	; --%	; --%	;49	; --%	; --%	;3	; --%	; --%	;
