Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:50:22	;
Operador: Touristcheck	;
Objetivo de estadísticas: Rotonda 3 CV-140	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
26468	;Disminuir por20.2%	;Aumentar por141.4%	;21142	;Disminuir por25.4%	;Aumentar por118.2%	;544454	;Disminuir por23.0%	;Aumentar por101.0%	;387951	;Disminuir por32.6%	;Aumentar por64.6%	;77935	;Disminuir por35.6%	;Aumentar por69.3%	;54200	;Disminuir por40.1%	;Aumentar por51.0%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;112	;Disminuir por38.8%	; --%	;72	;Disminuir por63.1%	; --%	;2393	;Disminuir por42.4%	; --%	;1566	;Disminuir por57.3%	; --%	;213	;Disminuir por73.2%	; --%	;159	;Disminuir por75.7%	; --%	;
2	;(Martes)2025/12/02	;82	;Disminuir por59.6%	; --%	;55	;Disminuir por68.9%	; --%	;2420	;Disminuir por20.4%	; --%	;1576	;Disminuir por39.6%	; --%	;245	;Disminuir por57.9%	; --%	;164	;Disminuir por68.5%	; --%	;
3	;(Miércoles)2025/12/03	;84	;Disminuir por45.1%	; --%	;63	;Disminuir por47.5%	; --%	;2446	;Disminuir por14.2%	; --%	;1594	;Disminuir por35.2%	; --%	;238	;Disminuir por59.0%	; --%	;161	;Disminuir por66.9%	; --%	;
4	;(Jueves)2025/12/04	;72	;Disminuir por20.0%	; --%	;61	;Disminuir por32.2%	; --%	;2536	;Disminuir por18.7%	; --%	;1900	;Disminuir por29.8%	; --%	;239	;Disminuir por16.7%	; --%	;163	;Disminuir por30.3%	; --%	;
5	;(Viernes)2025/12/05	;104	;Disminuir por18.8%	; --%	;70	;Disminuir por45.7%	; --%	;2712	;Disminuir por5.8%	; --%	;1880	;Disminuir por24.5%	; --%	;251	;Disminuir por50.1%	; --%	;166	;Disminuir por64.1%	; --%	;
6	;(Sábado)2025/12/06	;153	;Aumentar por25.4%	; --%	;57	;Disminuir por52.1%	; --%	;2687	;Disminuir por5.8%	; --%	;1900	;Disminuir por23.8%	; --%	;337	;Disminuir por40.5%	; --%	;255	;Disminuir por43.6%	; --%	;
7	;(Domingo)2025/12/07	;142	;Aumentar por34.0%	; --%	;117	;Aumentar por8.3%	; --%	;2665	;Disminuir por10.4%	; --%	;1819	;Disminuir por28.9%	; --%	;325	;Disminuir por39.4%	; --%	;263	;Disminuir por36.8%	; --%	;
8	;(Lunes)2025/12/08	;132	;Aumentar por20.0%	; --%	;71	;Disminuir por34.9%	; --%	;1731	;Disminuir por34.8%	; --%	;1199	;Disminuir por49.6%	; --%	;254	;Disminuir por46.2%	; --%	;167	;Disminuir por56.8%	; --%	;
9	;(Martes)2025/12/09	;88	;Disminuir por3.3%	; --%	;61	;Disminuir por37.1%	; --%	;2509	;Aumentar por28.4%	; --%	;1676	;Disminuir por7.6%	; --%	;295	;Disminuir por17.1%	; --%	;190	;Disminuir por38.3%	; --%	;
10	;(Miércoles)2025/12/10	;118	;Aumentar por218.9%	; --%	;74	;Aumentar por80.5%	; --%	;2470	;Aumentar por156.2%	; --%	;1599	;Aumentar por95.7%	; --%	;251	;Aumentar por47.6%	; --%	;190	;Aumentar por13.8%	; --%	;
11	;(Jueves)2025/12/11	;90	;Aumentar por210.3%	; --%	;64	;Aumentar por106.5%	; --%	;2407	;Aumentar por61.1%	; --%	;1730	;Aumentar por38.0%	; --%	;250	;Aumentar por22.0%	; --%	;172	;Disminuir por1.1%	; --%	;
