Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:50:59	;
Operador: Touristcheck	;
Objetivo de estadísticas: Rotonda Avda. Papa Luna Sur	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
503253	;Disminuir por40.8%	;Aumentar por86.5%	;597568	;Disminuir por37.1%	;Aumentar por98.4%	;389492	;Aumentar por57.3%	;Aumentar por309.3%	;686814	;Aumentar por30.1%	;Aumentar por239.4%	;103295	;Disminuir por7.0%	;Aumentar por176.8%	;133992	;Disminuir por17.9%	;Aumentar por136.3%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;681	; --%	; --%	;669	; --%	; --%	;912	; --%	; --%	;1893	; --%	; --%	;303	; --%	; --%	;359	; --%	; --%	;
2	;(Martes)2025/12/02	;626	; --%	; --%	;694	; --%	; --%	;824	; --%	; --%	;1842	; --%	; --%	;186	; --%	; --%	;272	; --%	; --%	;
3	;(Miércoles)2025/12/03	;589	; --%	; --%	;611	; --%	; --%	;945	; --%	; --%	;2136	; --%	; --%	;177	; --%	; --%	;256	; --%	; --%	;
4	;(Jueves)2025/12/04	;755	; --%	; --%	;776	; --%	; --%	;870	; --%	; --%	;1966	; --%	; --%	;158	; --%	; --%	;305	; --%	; --%	;
5	;(Viernes)2025/12/05	;1385	; --%	; --%	;1464	; --%	; --%	;1236	; --%	; --%	;2195	; --%	; --%	;228	; --%	; --%	;362	; --%	; --%	;
6	;(Sábado)2025/12/06	;4346	; --%	; --%	;4865	; --%	; --%	;1854	; --%	; --%	;2967	; --%	; --%	;436	; --%	; --%	;549	; --%	; --%	;
7	;(Domingo)2025/12/07	;5109	;Aumentar por99.2%	; --%	;5940	;Aumentar por115.5%	; --%	;1446	;Aumentar por60.0%	; --%	;3123	;Aumentar por65.2%	; --%	;413	;Aumentar por3.5%	; --%	;503	;Disminuir por11.4%	; --%	;
8	;(Lunes)2025/12/08	;2083	;Disminuir por44.7%	; --%	;2712	;Disminuir por33.5%	; --%	;1306	;Aumentar por22.2%	; --%	;2233	;Aumentar por7.3%	; --%	;353	;Disminuir por19.0%	; --%	;433	;Disminuir por29.9%	; --%	;
9	;(Martes)2025/12/09	;741	;Disminuir por74.1%	; --%	;783	;Disminuir por75.9%	; --%	;1019	;Aumentar por5.9%	; --%	;1858	;Aumentar por1.7%	; --%	;252	;Disminuir por32.3%	; --%	;324	;Disminuir por43.2%	; --%	;
10	;(Miércoles)2025/12/10	;608	;Disminuir por25.4%	; --%	;656	;Disminuir por2.8%	; --%	;914	;Aumentar por107.3%	; --%	;1781	;Aumentar por82.9%	; --%	;228	;Aumentar por16.3%	; --%	;319	;Aumentar por45.7%	; --%	;
11	;(Jueves)2025/12/11	;583	;Disminuir por28.8%	; --%	;605	;Disminuir por45.3%	; --%	;960	;Aumentar por56.9%	; --%	;1769	;Aumentar por17.9%	; --%	;207	;Disminuir por5.5%	; --%	;273	;Disminuir por28.3%	; --%	;
12	;(Viernes)2025/12/12	;892	;Disminuir por51.3%	; --%	;833	;Disminuir por59.5%	; --%	;1160	;Disminuir por8.7%	; --%	;1965	;Disminuir por31.2%	; --%	;252	;Disminuir por22.5%	; --%	;291	;Disminuir por45.9%	; --%	;
13	;(Sábado)2025/12/13	;1676	;Disminuir por65.2%	; --%	;1875	;Disminuir por64.6%	; --%	;1204	;Disminuir por8.9%	; --%	;2007	;Disminuir por19.1%	; --%	;240	;Disminuir por41.9%	; --%	;314	;Disminuir por44.9%	; --%	;
14	;(Domingo)2025/12/14	;300	;Disminuir por93.5%	; --%	;392	;Disminuir por92.6%	; --%	;687	;Disminuir por59.6%	; --%	;1165	;Disminuir por61.6%	; --%	;50	;Disminuir por79.6%	; --%	;62	;Disminuir por83.8%	; --%	;
15	;(Lunes)2025/12/15	;318	;Disminuir por94.0%	; --%	;356	;Disminuir por94.2%	; --%	;946	;Disminuir por13.7%	; --%	;1740	;Disminuir por23.5%	; --%	;40	;Disminuir por92.3%	; --%	;52	;Disminuir por93.7%	; --%	;
16	;(Martes)2025/12/16	;387	;Disminuir por85.9%	; --%	;362	;Disminuir por89.2%	; --%	;889	;Disminuir por28.4%	; --%	;1655	;Disminuir por39.1%	; --%	;95	;Disminuir por72.8%	; --%	;125	;Disminuir por80.3%	; --%	;
17	;(Miércoles)2025/12/17	;320	;Disminuir por79.6%	; --%	;318	;Disminuir por82.6%	; --%	;952	;Disminuir por17.2%	; --%	;1536	;Disminuir por42.2%	; --%	;44	;Disminuir por88.8%	; --%	;34	;Disminuir por94.2%	; --%	;
18	;(Jueves)2025/12/18	;625	;Disminuir por55.9%	; --%	;550	;Disminuir por65.8%	; --%	;939	;Disminuir por11.7%	; --%	;1816	;Disminuir por23.9%	; --%	;198	;Disminuir por36.5%	; --%	;260	;Disminuir por50.7%	; --%	;
19	;(Viernes)2025/12/19	;700	;Disminuir por55.1%	; --%	;727	;Disminuir por56.3%	; --%	;1182	;Aumentar por11.8%	; --%	;1988	;Disminuir por16.0%	; --%	;217	;Disminuir por32.8%	; --%	;268	;Disminuir por50.0%	; --%	;
20	;(Sábado)2025/12/20	;1335	;Aumentar por5.5%	; --%	;1589	;Aumentar por18.2%	; --%	;1134	;Aumentar por6.4%	; --%	;1909	;Disminuir por21.0%	; --%	;249	;Aumentar por29.0%	; --%	;359	;Disminuir por1.4%	; --%	;
21	;(Domingo)2025/12/21	;1209	;Disminuir por20.6%	; --%	;1350	;Disminuir por20.4%	; --%	;894	;Aumentar por10.0%	; --%	;1615	;Disminuir por5.9%	; --%	;216	;Disminuir por25.5%	; --%	;296	;Disminuir por34.1%	; --%	;
22	;(Lunes)2025/12/22	;813	;Disminuir por67.5%	; --%	;964	;Disminuir por65.5%	; --%	;1093	;Disminuir por2.9%	; --%	;2195	;Disminuir por7.5%	; --%	;338	;Aumentar por7.6%	; --%	;348	;Disminuir por29.7%	; --%	;
23	;(Martes)2025/12/23	;782	;Disminuir por62.4%	; --%	;810	;Disminuir por67.6%	; --%	;1024	;Aumentar por16.2%	; --%	;1886	;Aumentar por1.1%	; --%	;212	;Disminuir por45.1%	; --%	;285	;Disminuir por49.6%	; --%	;
24	;(Miércoles)2025/12/24	;713	;Disminuir por61.9%	; --%	;775	;Disminuir por62.0%	; --%	;911	;Disminuir por15.6%	; --%	;1711	;Disminuir por31.2%	; --%	;225	;Disminuir por59.4%	; --%	;322	;Disminuir por58.3%	; --%	;
