Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/07/14 13:51:29	;
Operador: Touristcheck	;
Objetivo de estadísticas: Rotonda Venus	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2025/12/01 00:00:00 - 2026/07/14 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
30336	;Disminuir por25.0%	;Aumentar por97.0%	;17752	;Disminuir por7.9%	;Aumentar por160.4%	;315683	;Disminuir por25.5%	;Aumentar por108.3%	;278200	;Disminuir por27.0%	;Aumentar por94.7%	;49226	;Disminuir por31.0%	;Aumentar por92.9%	;8433	;Disminuir por61.0%	;Disminuir por8.9%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
1	;(Lunes)2025/12/01	;69	;Disminuir por83.6%	; --%	;40	;Disminuir por80.6%	; --%	;1169	;Disminuir por59.5%	; --%	;1102	;Disminuir por58.6%	; --%	;124	;Disminuir por73.8%	; --%	;23	;Disminuir por94.1%	; --%	;
2	;(Martes)2025/12/02	;41	;Disminuir por89.4%	; --%	;40	;Disminuir por79.2%	; --%	;1114	;Disminuir por56.3%	; --%	;1047	;Disminuir por52.0%	; --%	;148	;Disminuir por63.3%	; --%	;41	;Disminuir por89.4%	; --%	;
3	;(Miércoles)2025/12/03	;46	;Disminuir por81.4%	; --%	;52	;Disminuir por56.7%	; --%	;1145	;Disminuir por46.6%	; --%	;1058	;Disminuir por38.4%	; --%	;120	;Disminuir por70.1%	; --%	;20	;Disminuir por93.0%	; --%	;
4	;(Jueves)2025/12/04	;41	;Disminuir por66.1%	; --%	;35	;Disminuir por34.0%	; --%	;1153	;Disminuir por31.3%	; --%	;1116	;Disminuir por25.9%	; --%	;115	;Disminuir por30.7%	; --%	;30	;Disminuir por76.4%	; --%	;
5	;(Viernes)2025/12/05	;72	;Disminuir por70.1%	; --%	;65	;Disminuir por49.2%	; --%	;1277	;Disminuir por26.1%	; --%	;1364	;Disminuir por14.1%	; --%	;158	;Disminuir por51.8%	; --%	;38	;Disminuir por81.8%	; --%	;
6	;(Sábado)2025/12/06	;151	;Disminuir por28.1%	; --%	;132	;Aumentar por144.4%	; --%	;1422	;Disminuir por19.3%	; --%	;1408	;Disminuir por12.5%	; --%	;278	;Disminuir por5.4%	; --%	;40	;Disminuir por64.0%	; --%	;
7	;(Domingo)2025/12/07	;167	;Disminuir por7.2%	; --%	;172	;Aumentar por126.3%	; --%	;1488	;Disminuir por15.9%	; --%	;1376	;Disminuir por19.0%	; --%	;250	;Aumentar por3.3%	; --%	;61	;Disminuir por46.0%	; --%	;
8	;(Lunes)2025/12/08	;108	;Disminuir por60.0%	; --%	;94	;Disminuir por4.1%	; --%	;1438	;Disminuir por13.1%	; --%	;1051	;Disminuir por33.7%	; --%	;207	;Disminuir por37.8%	; --%	;17	;Disminuir por87.8%	; --%	;
9	;(Martes)2025/12/09	;39	;Disminuir por88.1%	; --%	;40	;Disminuir por76.5%	; --%	;1319	;Disminuir por29.3%	; --%	;1178	;Disminuir por30.2%	; --%	;112	;Disminuir por66.6%	; --%	;34	;Disminuir por73.4%	; --%	;
10	;(Miércoles)2025/12/10	;48	;Disminuir por26.2%	; --%	;47	;Aumentar por123.8%	; --%	;1154	;Aumentar por91.7%	; --%	;1032	;Aumentar por138.3%	; --%	;127	;Aumentar por42.7%	; --%	;36	;Aumentar por56.5%	; --%	;
11	;(Jueves)2025/12/11	;44	;Disminuir por24.1%	; --%	;48	;Aumentar por60.0%	; --%	;1126	;Aumentar por36.7%	; --%	;1038	;Aumentar por9.7%	; --%	;117	;Disminuir por30.4%	; --%	;32	;Disminuir por62.8%	; --%	;
12	;(Viernes)2025/12/12	;47	;Disminuir por57.3%	; --%	;41	;Disminuir por31.7%	; --%	;1220	;Disminuir por21.6%	; --%	;1189	;Disminuir por25.6%	; --%	;115	;Disminuir por41.0%	; --%	;39	;Disminuir por56.2%	; --%	;
13	;(Sábado)2025/12/13	;38	;Disminuir por82.6%	; --%	;41	;Disminuir por61.0%	; --%	;1022	;Disminuir por40.0%	; --%	;950	;Disminuir por48.4%	; --%	;118	;Disminuir por62.7%	; --%	;21	;Disminuir por84.9%	; --%	;
14	;(Domingo)2025/12/14	;12	;Aumentar por300.0%	; --%	;11	;Aumentar por22.2%	; --%	;643	;Aumentar por937.1%	; --%	;542	;Aumentar por1190.5%	; --%	;19	;Aumentar por216.7%	; --%	;5	;Disminuir por16.7%	; --%	;
15	;(Lunes)2025/12/15	;8	; --%	; --%	;9	; --%	; --%	;993	; --%	; --%	;940	; --%	; --%	;27	; --%	; --%	;9	; --%	; --%	;
16	;(Martes)2025/12/16	;28	; --%	; --%	;30	; --%	; --%	;950	; --%	; --%	;872	; --%	; --%	;48	; --%	; --%	;18	; --%	; --%	;
17	;(Miércoles)2025/12/17	;7	; --%	; --%	;11	; --%	; --%	;921	; --%	; --%	;859	; --%	; --%	;24	; --%	; --%	;13	; --%	; --%	;
18	;(Jueves)2025/12/18	;39	;Disminuir por61.8%	; --%	;25	;Disminuir por34.2%	; --%	;1043	;Aumentar por44.3%	; --%	;918	;Aumentar por12.5%	; --%	;120	;Aumentar por30.4%	; --%	;35	;Disminuir por25.5%	; --%	;
19	;(Viernes)2025/12/19	;42	;Disminuir por65.6%	; --%	;38	;Disminuir por11.6%	; --%	;1026	;Disminuir por28.5%	; --%	;932	;Disminuir por33.4%	; --%	;114	;Disminuir por53.7%	; --%	;31	;Disminuir por64.0%	; --%	;
20	;(Sábado)2025/12/20	;38	;Disminuir por44.9%	; --%	;53	;Aumentar por103.8%	; --%	;981	;Disminuir por29.5%	; --%	;948	;Disminuir por27.5%	; --%	;162	;Aumentar por32.8%	; --%	;58	;Disminuir por1.7%	; --%	;
21	;(Domingo)2025/12/21	;45	;Disminuir por59.8%	; --%	;49	;Aumentar por14.0%	; --%	;899	;Disminuir por28.3%	; --%	;835	;Disminuir por31.7%	; --%	;138	;Disminuir por27.0%	; --%	;51	;Disminuir por32.0%	; --%	;
22	;(Lunes)2025/12/22	;59	;Disminuir por57.9%	; --%	;58	;Disminuir por7.9%	; --%	;1091	;Disminuir por16.2%	; --%	;1006	;Disminuir por21.1%	; --%	;123	;Disminuir por53.6%	; --%	;42	;Disminuir por52.8%	; --%	;
23	;(Martes)2025/12/23	;32	;Disminuir por72.2%	; --%	;40	;Disminuir por42.0%	; --%	;1113	;Disminuir por5.7%	; --%	;1045	;Disminuir por1.4%	; --%	;115	;Disminuir por48.9%	; --%	;37	;Disminuir por54.3%	; --%	;
24	;(Miércoles)2025/12/24	;41	;Disminuir por73.4%	; --%	;38	;Disminuir por33.3%	; --%	;1049	;Disminuir por21.6%	; --%	;891	;Disminuir por29.6%	; --%	;155	;Disminuir por37.0%	; --%	;41	;Disminuir por38.8%	; --%	;
25	;(Jueves)2025/12/25	;13	;Disminuir por92.2%	; --%	;17	;Disminuir por70.2%	; --%	;604	;Disminuir por54.6%	; --%	;577	;Disminuir por55.6%	; --%	;23	;Disminuir por88.6%	; --%	;10	;Disminuir por86.8%	; --%	;
26	;(Viernes)2025/12/26	;33	;Disminuir por80.0%	; --%	;29	;Disminuir por65.1%	; --%	;963	;Disminuir por24.1%	; --%	;914	;Disminuir por27.2%	; --%	;46	;Disminuir por80.1%	; --%	;12	;Disminuir por85.2%	; --%	;
27	;(Sábado)2025/12/27	;10	;Disminuir por95.4%	; --%	;11	;Disminuir por89.4%	; --%	;935	;Disminuir por31.9%	; --%	;866	;Disminuir por35.4%	; --%	;16	;Disminuir por93.5%	; --%	;3	;Disminuir por97.0%	; --%	;
28	;(Domingo)2025/12/28	;41	;Disminuir por73.7%	; --%	;33	;Disminuir por40.0%	; --%	;897	;Disminuir por39.7%	; --%	;858	;Disminuir por41.2%	; --%	;43	;Disminuir por81.7%	; --%	;10	;Disminuir por85.1%	; --%	;
29	;(Lunes)2025/12/29	;16	;Disminuir por91.9%	; --%	;25	;Disminuir por67.5%	; --%	;1298	;Disminuir por11.0%	; --%	;1252	;Disminuir por11.5%	; --%	;58	;Disminuir por80.9%	; --%	;13	;Disminuir por86.0%	; --%	;
30	;(Martes)2025/12/30	;73	;Disminuir por44.7%	; --%	;51	;Disminuir por22.7%	; --%	;1431	;Aumentar por14.0%	; --%	;1138	;Aumentar por3.9%	; --%	;231	;Disminuir por22.5%	; --%	;54	;Disminuir por28.0%	; --%	;
31	;(Miércoles)2025/12/31	;82	;Disminuir por39.3%	; --%	;66	;Aumentar por22.2%	; --%	;1328	;Disminuir por4.6%	; --%	;1132	;Disminuir por15.5%	; --%	;160	;Disminuir por34.7%	; --%	;32	;Disminuir por57.3%	; --%	;
32	;(Jueves)2026/01/01	;77	;Disminuir por32.5%	; --%	;91	;Aumentar por111.6%	; --%	;1028	;Disminuir por12.6%	; --%	;964	;Disminuir por13.3%	; --%	;168	;Disminuir por24.7%	; --%	;34	;Disminuir por50.0%	; --%	;
33	;(Viernes)2026/01/02	;65	;Disminuir por55.8%	; --%	;63	;Disminuir por19.2%	; --%	;1308	;Disminuir por5.7%	; --%	;1149	;Disminuir por11.3%	; --%	;151	;Disminuir por35.5%	; --%	;50	;Disminuir por30.6%	; --%	;
34	;(Sábado)2026/01/03	;52	;Disminuir por52.7%	; --%	;79	;Aumentar por54.9%	; --%	;1217	;Disminuir por15.7%	; --%	;1069	;Disminuir por23.5%	; --%	;177	;Disminuir por24.4%	; --%	;46	;Disminuir por25.8%	; --%	;
35	;(Domingo)2026/01/04	;16	;Disminuir por88.1%	; --%	;18	;Disminuir por62.5%	; --%	;772	;Disminuir por48.9%	; --%	;634	;Disminuir por57.2%	; --%	;34	;Disminuir por86.6%	; --%	;11	;Disminuir por88.5%	; --%	;
36	;(Lunes)2026/01/05	;50	;Disminuir por72.7%	; --%	;57	;Disminuir por5.0%	; --%	;1050	;Disminuir por33.2%	; --%	;954	;Disminuir por36.9%	; --%	;59	;Disminuir por80.4%	; --%	;18	;Disminuir por72.7%	; --%	;
37	;(Martes)2026/01/06	;34	;Disminuir por76.6%	; --%	;24	;Disminuir por61.3%	; --%	;749	;Disminuir por47.7%	; --%	;656	;Disminuir por47.6%	; --%	;107	;Disminuir por64.1%	; --%	;27	;Disminuir por69.3%	; --%	;
38	;(Miércoles)2026/01/07	;29	;Disminuir por66.7%	; --%	;29	;Disminuir por45.3%	; --%	;1065	;Disminuir por26.7%	; --%	;867	;Disminuir por37.3%	; --%	;115	;Disminuir por55.4%	; --%	;31	;Disminuir por56.3%	; --%	;
39	;(Jueves)2026/01/08	;29	;Disminuir por82.5%	; --%	;60	;Aumentar por30.4%	; --%	;1021	;Disminuir por28.0%	; --%	;894	;Disminuir por33.3%	; --%	;191	;Disminuir por27.7%	; --%	;64	;Disminuir por12.3%	; --%	;
40	;(Viernes)2026/01/09	;55	;Disminuir por64.3%	; --%	;41	;Disminuir por22.6%	; --%	;1126	;Disminuir por26.0%	; --%	;854	;Disminuir por41.3%	; --%	;140	;Disminuir por42.9%	; --%	;26	;Disminuir por68.7%	; --%	;
41	;(Sábado)2026/01/10	;62	;Disminuir por44.1%	; --%	;49	;Aumentar por32.4%	; --%	;998	;Disminuir por36.7%	; --%	;861	;Disminuir por41.2%	; --%	;150	;Disminuir por44.2%	; --%	;30	;Disminuir por54.5%	; --%	;
42	;(Domingo)2026/01/11	;45	;Disminuir por64.3%	; --%	;85	;Aumentar por41.7%	; --%	;842	;Disminuir por49.8%	; --%	;622	;Disminuir por63.1%	; --%	;260	;Disminuir por13.0%	; --%	;33	;Disminuir por65.3%	; --%	;
43	;(Lunes)2026/01/12	;38	;Disminuir por78.3%	; --%	;40	;Disminuir por50.0%	; --%	;973	;Disminuir por48.8%	; --%	;842	;Disminuir por54.5%	; --%	;132	;Disminuir por65.2%	; --%	;39	;Disminuir por67.5%	; --%	;
